Symbol,Date,Open,High,Low,Close,Percent Change,Volume
RBBD83,2025-01-15,"1,025.10","1,025.10",990.00,990.00,-5.35 %,485.00
RBBD83,2025-01-19,995.10,"1,015.00",995.10,"1,015.00",2.53 %,180.00
RBBD83,2025-01-22,"1,015.00","1,015.00","1,015.00","1,015.00",0.00 %,20.00
RBBD83,2025-02-02,"1,016.30","1,031.00","1,016.30","1,031.00",1.58 %,165.00
RBBD83,2025-02-03,"1,032.00","1,032.00","1,031.10","1,031.20",0.02 %,249.00
RBBD83,2025-02-04,"1,030.00","1,030.00","1,030.00","1,030.00",-0.12 %,100.00
RBBD83,2025-02-20,"1,021.00","1,021.00","1,021.00","1,021.00",-0.87 %,25.00
RBBD83,2025-02-23,"1,026.10","1,026.10","1,026.10","1,026.10",0.50 %,5.00
RBBD83,2025-02-24,"1,026.10","1,042.00","1,026.10","1,030.00",0.38 %,152.00
RBBD83,2025-03-06,"1,025.00","1,025.00","1,025.00","1,025.00",-0.49 %,"3,643.00"
RBBD83,2025-03-09,"1,020.00","1,020.00","1,020.00","1,020.00",-0.49 %,29.00
RBBD83,2025-03-10,"1,016.30","1,030.00","1,015.00","1,029.80",0.96 %,625.00
RBBD83,2025-03-16,"1,016.30","1,016.30","1,016.30","1,016.30",-1.31 %,25.00
