Symbol,Date,Open,High,Low,Close,Percent Change,Volume
RBCLPO,2025-01-08,"12,200.00","12,200.00","11,900.00","12,000.00",-0.04 %,385.00
RBCLPO,2025-01-09,"11,801.00","12,036.00","11,405.00","11,405.00",-4.96 %,365.00
RBCLPO,2025-01-12,"11,633.00","11,633.00","11,442.10","11,442.10",0.33 %,30.00
RBCLPO,2025-01-13,"11,670.90","11,670.90","11,215.00","11,439.30",-0.02 %,170.00
RBCLPO,2025-01-15,"11,222.00","11,399.00","11,210.60","11,210.60",-2.00 %,200.00
RBCLPO,2025-01-16,"11,130.00","11,533.00","11,101.00","11,101.00",-0.98 %,400.00
RBCLPO,2025-01-19,"11,008.00","11,227.20","11,007.10","11,227.20",1.14 %,40.00
RBCLPO,2025-01-20,"11,438.00","11,450.00","11,230.00","11,230.00",0.02 %,70.00
RBCLPO,2025-01-21,"11,452.00","11,452.00","11,250.00","11,250.00",0.18 %,73.00
RBCLPO,2025-01-22,"11,444.90","11,500.00","11,444.00","11,500.00",2.22 %,170.00
RBCLPO,2025-01-23,"11,310.00","11,310.00","11,275.00","11,275.00",-1.96 %,87.00
RBCLPO,2025-01-26,"11,111.30","11,322.00","11,100.00","11,151.10",-1.10 %,180.00
RBCLPO,2025-01-27,"11,200.00","11,600.00","11,150.00","11,150.00",-0.01 %,220.00
RBCLPO,2025-01-28,"11,200.00","11,340.00","11,177.00","11,180.00",0.27 %,320.00
RBCLPO,2025-02-02,"11,402.00","11,445.00","11,216.10","11,430.00",2.24 %,"1,300.00"
RBCLPO,2025-02-03,"11,300.00","11,600.00","11,300.00","11,380.00",-0.44 %,520.00
RBCLPO,2025-02-04,"11,400.00","11,490.00","11,300.00","11,300.00",-0.70 %,140.00
RBCLPO,2025-02-05,"11,300.00","11,300.00","11,235.00","11,250.00",-0.44 %,202.00
RBCLPO,2025-02-06,"11,251.00","11,251.10","11,251.00","11,251.00",0.01 %,144.00
RBCLPO,2025-02-09,"11,230.00","11,322.00","11,028.00","11,245.00",-0.05 %,700.00
RBCLPO,2025-02-10,"11,200.00","11,200.00","11,030.00","11,030.00",-1.91 %,860.00
RBCLPO,2025-02-11,"11,250.00","11,250.00","11,199.00","11,200.00",1.54 %,120.00
RBCLPO,2025-02-12,"11,200.00","11,200.00","11,100.10","11,100.10",-0.89 %,350.00
RBCLPO,2025-02-13,"11,299.00","11,321.00","11,149.00","11,149.00",0.44 %,220.00
RBCLPO,2025-02-16,"11,300.00","11,300.00","11,150.00","11,160.00",0.10 %,434.00
RBCLPO,2025-02-17,"11,340.00","11,344.00","11,160.00","11,181.00",0.19 %,390.00
RBCLPO,2025-02-18,"11,205.00","11,400.00","11,200.00","11,275.00",0.84 %,580.00
RBCLPO,2025-02-20,"11,399.90","11,860.00","11,399.90","11,800.00",4.66 %,814.00
RBCLPO,2025-02-23,"11,600.00","12,240.00","11,564.00","12,000.00",1.69 %,725.00
RBCLPO,2025-02-24,"12,000.00","12,230.00","12,000.00","12,000.00",0.00 %,230.00
RBCLPO,2025-02-25,"11,768.00","11,768.00","11,760.00","11,760.00",-2.00 %,260.00
RBCLPO,2025-02-27,"11,995.20","12,000.00","11,995.20","12,000.00",2.04 %,60.00
RBCLPO,2025-03-02,"11,990.00","12,250.00","11,900.00","12,250.00",2.08 %,100.00
RBCLPO,2025-03-03,"12,020.00","12,300.00","12,020.00","12,100.00",-1.22 %,260.00
RBCLPO,2025-03-04,"11,950.00","12,001.00","11,950.00","12,001.00",-0.82 %,170.00
RBCLPO,2025-03-05,"11,876.00","11,876.00","11,850.00","11,850.00",-1.26 %,20.00
RBCLPO,2025-03-06,"11,780.00","11,780.00","11,777.70","11,777.70",-0.61 %,35.00
RBCLPO,2025-03-09,"11,551.00","11,798.00","11,551.00","11,557.00",-1.87 %,55.00
RBCLPO,2025-03-10,"11,787.00","11,787.90","11,561.00","11,735.00",1.54 %,60.00
RBCLPO,2025-03-11,"11,735.00","11,760.00","11,600.00","11,600.00",-1.15 %,340.00
RBCLPO,2025-03-12,"11,500.00","11,500.00","11,500.00","11,500.00",-0.86 %,50.00
RBCLPO,2025-03-16,"11,271.10","11,271.10","11,270.10","11,270.10",-2.00 %,70.00
