"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"RMF2","2025-01-07","8.84","9.05","8.84","9.05","1.00 %","800.00"
"RMF2","2025-01-06","8.88","8.96","8.88","8.96","-0.99 %","510.00"
"RMF2","2025-01-05","9","9.05","9","9.05","0.33 %","9,700.00"
"RMF2","2025-01-02","9","9.02","9","9.02","-0.66 %","700.00"
"RMF2","2025-01-01","9.3","9.3","9.08","9.08","-3.71 %","1,000.00"
"RMF2","2024-12-29","9.09","9.43","9.09","9.43","1.95 %","300.00"
"RMF2","2024-12-26","9.25","9.25","9.25","9.25","-1.49 %","100.00"
"RMF2","2024-12-24","8.87","9.39","8.87","9.39","4.33 %","30,600.00"
"RMF2","2024-12-23","8.96","9","8.96","9","0.67 %","300.00"
"RMF2","2024-12-22","8.94","8.95","8.94","8.94","-1.87 %","700.00"
"RMF2","2024-12-19","9.06","9.11","9.06","9.11","-0.65 %","300.00"
"RMF2","2024-12-18","9.15","9.17","9.15","9.17","-1.50 %","1,200.00"
"RMF2","2024-12-17","9.67","9.67","9.31","9.31","-5.48 %","51,000.00"
"RMF2","2024-12-16","9.9","10.05","9.85","9.85","0.72 %","357,200.00"
"RMF2","2024-12-12","9.12","9.78","9.12","9.78","7.24 %","102,101.00"
"RMF2","2024-12-11","9.45","9.45","9.12","9.12","-5.39 %","450,200.00"
"RMF2","2024-12-09","9.69","9.69","9.4","9.64","1.47 %","517,400.00"
"RMF2","2024-12-08","9.69","9.69","9.5","9.5","-1.86 %","50,300.00"
"RMF2","2024-12-05","9.66","9.68","9.66","9.68","-0.21 %","450.00"
"RMF2","2024-12-04","9.65","9.7","9.65","9.7","-0.61 %","2,600.00"
"RMF2","2024-12-03","9.57","9.76","9.57","9.76","2.85 %","900.00"
"RMF2","2024-12-02","9.31","9.49","9.13","9.49","-0.11 %","400.00"
"RMF2","2024-12-01","9.44","9.5","9.43","9.5","0.00 %","800.00"
"RMF2","2024-11-27","9.5","9.5","9.5","9.5","-1.14 %","100.00"
"RMF2","2024-11-26","9.44","9.61","9.44","9.61","0.42 %","300.00"
"RMF2","2024-11-25","9.6","9.6","9.55","9.57","-2.25 %","400.00"
"RMF2","2024-11-24","9.79","9.79","9.6","9.79","0.00 %","1,100.00"
"RMF2","2024-11-21","9.62","9.79","9.6","9.79","-0.10 %","400.00"
"RMF2","2024-11-20","9.44","9.8","9.44","9.8","1.98 %","5,600.00"
"RMF2","2024-11-19","9.61","9.61","9.61","9.61","0.00 %","1,800.00"
"RMF2","2024-11-17","9.67","9.8","9.61","9.61","-2.54 %","1,600.00"
"RMF2","2024-11-14","9.67","9.86","9.67","9.86","1.96 %","200.00"
"RMF2","2024-11-12","9.99","10","9.67","9.67","-1.33 %","1,300.00"
"RMF2","2024-11-11","9.5","9.98","9.5","9.8","2.08 %","70,450.00"
"RMF2","2024-11-10","9.38","9.76","9.38","9.6","0.31 %","2,850.00"
"RMF2","2024-11-06","9.7","9.7","9.57","9.57","-0.42 %","9,400.00"
"RMF2","2024-11-05","9.5","9.61","9.5","9.61","0.00 %","300.00"
"RMF2","2024-10-30","9.61","9.61","9.61","9.61","-1.94 %","100.00"
"RMF2","2024-10-29","9.43","9.8","9.42","9.8","5.95 %","10,200.00"
"RMF2","2024-10-28","9.1","9.25","9.1","9.25","0.00 %","2,100.00"
"RMF2","2024-10-27","9.3","9.3","9.23","9.25","-1.49 %","300.00"
"RMF2","2024-10-24","9.39","9.39","9.39","9.39","1.95 %","100.00"
"RMF2","2024-10-23","9.21","9.21","9.21","9.21","-1.39 %","100.00"
"RMF2","2024-10-22","9.32","9.34","9.14","9.34","-1.79 %","1,600.00"
"RMF2","2024-10-21","9.51","9.7","9.51","9.51","0.00 %","3,600.00"
"RMF2","2024-10-20","9.5","9.63","9.45","9.51","-1.25 %","6,450.00"
"RMF2","2024-10-17","9.27","9.63","9.27","9.63","3.88 %","2,100.00"
"RMF2","2024-10-16","8.92","9.27","8.92","9.27","5.94 %","9,250.00"
"RMF2","2024-10-15","8.7","8.75","8.7","8.75","-0.57 %","900.00"
"RMF2","2024-10-09","8.78","8.8","8.63","8.8","2.21 %","1,550.00"
"RMF2","2024-10-08","8.5","8.61","8.5","8.61","-0.58 %","400.00"
"RMF2","2024-10-07","8.66","8.66","8.66","8.66","0.12 %","100.00"
"RMF2","2024-10-02","8.65","8.65","8.65","8.65","-0.12 %","100.00"
"RMF2","2024-10-01","8.65","8.66","8.65","8.66","-1.70 %","8,800.00"
"RMF2","2024-09-30","9.12","9.12","8.81","8.81","-3.40 %","3,400.00"
"RMF2","2024-09-29","9.12","9.12","9.12","9.12","-1.94 %","400.00"
"RMF2","2024-09-26","9.3","9.3","9.3","9.3","0.00 %","800.00"
"RMF2","2024-09-25","9.22","9.3","9.22","9.3","-0.53 %","3,500.00"
"RMF2","2024-09-24","9.35","9.35","9.35","9.35","-1.79 %","2,000.00"
"RMF2","2024-09-23","9.53","9.55","9.52","9.52","-1.96 %","36,200.00"
"RMF2","2024-09-22","9.9","9.9","9.71","9.71","-2.41 %","1,350.00"
"RMF2","2024-09-18","9.95","9.95","9.95","9.95","-1.87 %","600.00"
"RMF2","2024-09-16","10.09","10.14","10.09","10.14","-1.46 %","90,039.00"
"RMF2","2024-09-15","10.3","10.7","10.29","10.29","-0.10 %","12,830.00"
"RMF2","2024-09-12","10.52","10.52","10.3","10.3","-4.01 %","2,600.00"
