"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"RSDC","2025-01-07","685","696","679","682","-0.44 %","9,357.00"
"RSDC","2025-01-06","667","685","667","685","0.75 %","6,946.00"
"RSDC","2025-01-05","677","680","665","679.9","0.28 %","5,959.00"
"RSDC","2025-01-02","671","678","666","678","0.59 %","7,063.00"
"RSDC","2025-01-01","678","678","666","674","-0.15 %","3,022.00"
"RSDC","2024-12-31","665","675","653","675","0.00 %","8,723.00"
"RSDC","2024-12-29","674","685","662.5","675","0.15 %","11,478.00"
"RSDC","2024-12-26","675","685","671.5","674","0.14 %","6,133.00"
"RSDC","2024-12-24","727","738.8","727","737","2.36 %","18,073.00"
"RSDC","2024-12-23","709","724","709","720","1.05 %","8,341.00"
"RSDC","2024-12-22","711","725.2","707.6","712.5","1.32 %","6,374.00"
"RSDC","2024-12-19","718","720","703","703.2","-2.06 %","8,598.00"
"RSDC","2024-12-18","713","725.9","710.1","718","0.84 %","9,212.00"
"RSDC","2024-12-17","709","732","706.6","712","-1.25 %","7,011.00"
"RSDC","2024-12-16","723.1","726","713.1","721","-1.70 %","6,890.00"
"RSDC","2024-12-12","736.9","744","726.2","733.5","0.48 %","7,704.00"
"RSDC","2024-12-11","741","741","718","730","0.00 %","6,472.00"
"RSDC","2024-12-10","725","730","715","730","0.93 %","5,986.00"
"RSDC","2024-12-09","733.9","733.9","720","723.3","0.04 %","5,204.00"
"RSDC","2024-12-08","730.1","744","719.1","723","-1.63 %","14,671.00"
"RSDC","2024-12-05","730","741","725","735","0.68 %","10,136.00"
"RSDC","2024-12-04","741","745","730","730","-1.22 %","18,531.00"
"RSDC","2024-12-03","764","764","739","739","-1.86 %","9,205.00"
"RSDC","2024-12-02","762.2","762.2","747.2","753","0.27 %","11,456.00"
"RSDC","2024-12-01","750","760","740.1","751","-0.04 %","9,412.00"
"RSDC","2024-11-28","748","762.9","748","751.3","-1.01 %","8,626.00"
"RSDC","2024-11-27","765","770","750","759","0.53 %","11,121.00"
"RSDC","2024-11-26","760","764","740","755","-0.66 %","15,055.00"
"RSDC","2024-11-25","752","760","742.5","760","1.06 %","5,198.00"
"RSDC","2024-11-24","767","767","748","752","0.00 %","9,707.00"
"RSDC","2024-11-21","765.9","765.9","740","752","0.13 %","13,947.00"
"RSDC","2024-11-20","769","769","742","751","-0.40 %","20,665.00"
"RSDC","2024-11-19","783","783","750","754","-1.82 %","21,678.00"
"RSDC","2024-11-17","787","787","760.5","768","-0.53 %","12,922.00"
"RSDC","2024-11-14","751.2","784.7","751.2","772.1","1.59 %","49,535.00"
"RSDC","2024-11-13","775","775","750.5","760","-0.18 %","6,724.00"
"RSDC","2024-11-12","779","780","761.4","761.4","-0.86 %","8,650.00"
"RSDC","2024-11-11","766","779","750","768","2.26 %","25,370.00"
"RSDC","2024-11-10","751","752.7","736","751","1.76 %","8,355.00"
"RSDC","2024-11-06","745","745","730.2","738","0.41 %","5,945.00"
"RSDC","2024-11-05","740","740","728","735","0.66 %","4,369.00"
