"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SBD89","2025-01-05","1202.6","1202.6","1202.6","1203","0.03 %","5.00"
"SBD89","2024-12-23","1134","1202.6","1134","1202.6","6.05 %","65.00"
"SBD89","2024-12-18","1134","1134","1134","1134","-0.10 %","30.00"
"SBD89","2024-12-16","1135.1","1135.1","1135.1","1135.1","-0.43 %","60.00"
"SBD89","2024-11-26","1161","1161","1140","1140","-3.72 %","50.00"
"SBD89","2024-10-29","1178","1184","1178","1184","1.98 %","40.00"
"SBD89","2024-10-16","1161","1161","1161","1161","0.96 %","65.00"
"SBD89","2024-10-02","1146","1150","1146","1150","1.07 %","100.00"
"SBD89","2024-09-30","1128","1161","1128","1137.8","2.88 %","305.00"
"SBD89","2024-09-29","1106","1106","1106","1106","-1.69 %","50.00"
"SBD89","2024-09-26","1125","1125","1125","1125","0.00 %","25.00"
"SBD89","2024-09-25","1103.6","1125","1103.6","1125","1.94 %","250.00"
"SBD89","2024-09-24","1103","1103.6","1103","1103.6","2.00 %","278.00"
"SBD89","2024-09-22","1082","1082","1082","1082","0.00 %","25.00"
"SBD89","2024-09-15","1061","1082","1061","1082","2.94 %","150.00"
"SBD89","2024-09-10","1055","1055","1051","1051.1","0.96 %","175.00"
"SBD89","2024-09-08","1041.1","1041.1","1041.1","1041.1","-0.18 %","25.00"
"SBD89","2024-08-27","1050","1050","1043","1043","0.29 %","125.00"
"SBD89","2024-08-21","1040","1040","1040","1040","-0.01 %","25.00"
"SBD89","2024-08-15","1037","1040.1","1037","1040.1","0.01 %","50.00"
"SBD89","2024-08-14","1033.3","1040","1033.3","1040","0.67 %","50.00"
"SBD89","2024-08-11","1033.1","1033.1","1033.1","1033.1","0.01 %","25.00"
"SBD89","2024-08-07","1033","1033","1033","1033","0.18 %","25.00"
"SBD89","2024-08-05","1035","1035","1035","1031.1","-0.38 %","50.00"
"SBD89","2024-07-29","1021.1","1041.5","1021.1","1035","1.74 %","100.00"
"SBD89","2024-07-22","1038","1038","1017.3","1017.3","-3.89 %","75.00"
"SBD89","2024-07-11","1058.5","1058.5","1058.5","1058.5","0.42 %","25.00"
"SBD89","2024-07-08","1054.1","1054.1","1054.1","1054.1","0.39 %","25.00"
"SBD89","2024-07-07","1056.5","1056.5","1050","1050","-2.60 %","50.00"
"SBD89","2024-07-04","1100","1100","1078","1078","-3.75 %","50.00"
"SBD89","2024-07-01","1046","1120","1046","1120","7.07 %","85.00"
"SBD89","2024-06-26","1046","1046","1046","1046","-0.38 %","25.00"
"SBD89","2024-06-25","1000","1050.5","1000","1050","0.00 %","150.00"
SBD89,2025-01-19,"1,179.00","1,179.00","1,179.00","1,179.00",-2.00 %,20.00
SBD89,2025-02-04,"1,155.50","1,155.50","1,155.50","1,155.50",-1.99 %,60.00
SBD89,2025-02-06,"1,132.40","1,132.40","1,132.40","1,132.40",-2.00 %,100.00
SBD89,2025-02-18,"1,120.00","1,120.00","1,120.00","1,120.00",-1.10 %,25.00
SBD89,2025-02-23,"1,148.00","1,148.00","1,148.00","1,148.00",2.50 %,25.00
SBD89,2025-03-12,"1,115.00","1,148.00","1,115.00","1,115.00",-2.87 %,9.00
