Symbol,Date,Open,High,Low,Close,Percent Change,Volume
SBIBD86,2025-01-13,"1,154.90","1,154.90","1,154.90","1,154.90",1.61 %,3.00
SBIBD86,2025-01-19,"1,131.90","1,131.90","1,131.90","1,131.90",-1.99 %,50.00
SBIBD86,2025-01-20,"1,120.00","1,120.00","1,120.00","1,120.00",-1.05 %,25.00
SBIBD86,2025-02-04,"1,100.00","1,100.00","1,100.00","1,100.00",-1.79 %,100.00
SBIBD86,2025-02-09,"1,078.00","1,078.00","1,078.00","1,078.00",-2.00 %,15.00
SBIBD86,2025-02-10,"1,078.00","1,078.00","1,078.00","1,078.00",0.00 %,18.00
SBIBD86,2025-02-24,"1,079.00","1,079.00","1,075.00","1,075.00",-0.28 %,50.00
SBIBD86,2025-03-03,"1,078.00","1,078.00","1,078.00","1,078.00",0.28 %,25.00
SBIBD86,2025-03-06,"1,078.10","1,078.10","1,078.10","1,078.10",0.01 %,25.00
SBIBD86,2025-03-10,"1,077.20","1,077.20","1,070.00","1,070.00",-0.75 %,225.00
SBIBD86,2025-03-12,"1,073.20","1,073.20","1,073.20","1,073.20",0.30 %,2.00
