"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SBID83","2025-01-07","1125","1125","1125","1125","-1.95 %","200.00"
"SBID83","2025-01-06","1147.4","1147.4","1147.4","1147.4","1.99 %","10.00"
"SBID83","2025-01-05","1130","1130","1115","1125","0.90 %","100.00"
"SBID83","2025-01-01","1115","1115","1115","1115","0.45 %","120.00"
"SBID83","2024-12-31","1110","1110","1110","1110","-1.77 %","1,600.00"
"SBID83","2024-12-29","1130","1130","1130","1130","0.00 %","25.00"
"SBID83","2024-12-26","1130","1130","1130","1130","-0.70 %","25.00"
"SBID83","2024-12-24","1116","1138","1116","1138","2.34 %","180.00"
"SBID83","2024-12-22","1100","1112","1100","1112","-0.71 %","100.00"
"SBID83","2024-12-19","1120","1120","1120","1120","-1.75 %","70.00"
"SBID83","2024-12-17","1140","1140","1140","1140","-0.44 %","240.00"
"SBID83","2024-12-16","1130","1145","1130","1145","1.09 %","189.00"
"SBID83","2024-12-12","1132.6","1132.6","1132.6","1132.6","2.00 %","10.00"
"SBID83","2024-12-11","1110.4","1110.4","1110.4","1110.4","-1.99 %","20.00"
"SBID83","2024-12-10","1134","1134","1123","1133","1.82 %","55.00"
"SBID83","2024-12-08","1112.8","1112.8","1112.8","1112.8","2.00 %","10.00"
"SBID83","2024-12-01","1091","1091","1091","1091","0.00 %","50.00"
"SBID83","2024-11-27","1091","1091","1091","1091","-1.99 %","300.00"
"SBID83","2024-11-26","1091.4","1113.2","1091.4","1113.2","4.04 %","50.00"
"SBID83","2024-11-25","1110","1110","1070","1070","-5.31 %","200.00"
"SBID83","2024-11-24","1110","1130","1110","1130","1.16 %","185.00"
"SBID83","2024-11-20","1117","1117","1117","1117","0.00 %","25.00"
"SBID83","2024-11-19","1105","1117","1105","1117","-0.27 %","150.00"
"SBID83","2024-11-14","1116.9","1120","1115","1120","2.28 %","930.00"
"SBID83","2024-11-13","1118","1122","1095","1095","-0.45 %","596.00"
"SBID83","2024-11-12","1090","1111.8","1090","1100","1.29 %","75.00"
"SBID83","2024-11-10","1086","1086","1086","1086","1.40 %","25.00"
"SBID83","2024-10-30","1085","1085","1071","1071","-1.29 %","210.00"
"SBID83","2024-10-29","1075","1103","1075","1085","0.32 %","690.00"
"SBID83","2024-10-28","1081.5","1081.5","1070","1081.5","-1.99 %","698.00"
"SBID83","2024-10-27","1082","1103.5","1082","1103.5","0.50 %","112.00"
"SBID83","2024-10-24","1098","1098","1098","1098","0.00 %","50.00"
"SBID83","2024-10-23","1068.8","1098","1068.8","1098","0.80 %","60.00"
"SBID83","2024-10-22","1079.7","1079.7","1063.1","1089.3","1.99 %","360.00"
"SBID83","2024-10-21","1068","1068","1068","1068","0.08 %","15.00"
"SBID83","2024-10-20","1067.3","1067.3","1066","1067.1","-1.65 %","100.00"
"SBID83","2024-10-17","1064","1085","1064","1085","0.00 %","75.00"
"SBID83","2024-10-15","1085","1085","1085","1085","1.40 %","50.00"
"SBID83","2024-10-09","1070","1070","1070","1070","0.47 %","50.00"
"SBID83","2024-10-08","1065","1065","1065","1065","0.38 %","100.00"
"SBID83","2024-10-06","1061","1061","1061","1061","-1.70 %","25.00"
"SBID83","2024-10-01","1079","1079.3","1079","1079.3","1.99 %","45.00"
"SBID83","2024-09-29","1054.5","1058.3","1054.5","1058.2","-1.59 %","75.00"
"SBID83","2024-09-26","1075.3","1075.3","1075.3","1075.3","-1.98 %","325.00"
"SBID83","2024-09-25","1055.2","1076.3","1055.2","1097","2.05 %","101.00"
"SBID83","2024-09-24","1075","1075","1075","1075","0.00 %","125.00"
"SBID83","2024-09-23","1092","1093.2","1050","1075","-1.38 %","2,525.00"
"SBID83","2024-09-16","1073","1090","1073","1090","2.83 %","200.00"
"SBID83","2024-09-12","1080","1080","1060","1060","0.00 %","75.00"
"SBID83","2024-09-11","1060","1060","1060","1060","0.00 %","25.00"
"SBID83","2024-09-10","1075","1075","1060","1060","0.47 %","215.00"
"SBID83","2024-09-08","1046","1055","1040","1055","0.48 %","485.00"
"SBID83","2024-09-05","1050","1050","1050","1050","0.00 %","25.00"
"SBID83","2024-09-03","1052","1052","1048.6","1050","-1.87 %","505.00"
"SBID83","2024-09-02","1049","1070","1049","1070","2.20 %","465.00"
"SBID83","2024-09-01","1050","1050","1047","1047","-0.29 %","200.00"
"SBID83","2024-08-29","1050","1050","1050","1050","0.67 %","25.00"
"SBID83","2024-08-28","1041","1043","1040","1043","-1.60 %","125.00"
"SBID83","2024-08-27","1059","1060","1059","1060","1.92 %","100.00"
"SBID83","2024-08-25","1040","1040","1031","1040","-0.95 %","525.00"
"SBID83","2024-08-21","1040","1050","1040","1050","0.96 %","175.00"
"SBID83","2024-08-18","1038","1040","1038","1040","0.39 %","150.00"
"SBID83","2024-08-15","1036","1036","1036","1036","-0.01 %","25.00"
"SBID83","2024-08-14","1035.1","1037","1035.1","1036.1","0.10 %","30.00"
"SBID83","2024-08-13","1030","1036","1030","1035.1","-0.47 %","100.00"
"SBID83","2024-08-12","1036","1040","1035.1","1040","0.39 %","1,000.00"
"SBID83","2024-08-11","1036","1037.1","1036","1036","0.00 %","250.00"
"SBID83","2024-08-08","1036","1036","1036","1036","-1.89 %","25.00"
"SBID83","2024-08-07","1056","1056","1056","1056","1.93 %","50.00"
"SBID83","2024-08-05","1040","1040","1036","1036","-0.40 %","50.00"
"SBID83","2024-08-01","1040.8","1040.8","1040.2","1040.2","0.02 %","75.00"
"SBID83","2024-07-31","1040","1040","1040","1040","-0.95 %","25.00"
"SBID83","2024-07-30","1050","1050","1050","1050","0.00 %","100.00"
"SBID83","2024-07-29","1045","1050","1045","1050","0.00 %","150.00"
"SBID83","2024-07-24","1050","1050","1050","1050","0.43 %","100.00"
"SBID83","2024-07-23","1045.5","1045.5","1045.5","1045.5","2.00 %","25.00"
"SBID83","2024-07-22","1020","1027","1020","1025","0.39 %","275.00"
"SBID83","2024-07-21","1074.1","1074.1","1015.1","1021","-6.84 %","185.00"
"SBID83","2024-07-15","1096","1096","1096","1096","-1.97 %","25.00"
"SBID83","2024-07-14","1099.1","1118","1099","1118","-0.18 %","120.00"
"SBID83","2024-07-11","1120","1120","1120","1120","-1.15 %","225.00"
"SBID83","2024-07-07","1133","1133","1133","1133","0.76 %","10.00"
"SBID83","2024-07-01","1100","1124.5","1100","1124.5","2.00 %","1,170.00"
"SBID83","2024-06-30","1102.5","1102.5","1102.5","1102.5","-2.00 %","50.00"
"SBID83","2024-06-27","1090.3","1125","1090.3","1125","5.24 %","1,215.00"
"SBID83","2024-06-26","1069","1069","1069","1069","-1.93 %","25.00"
"SBID83","2024-06-25","1068","1090","1068","1090","0.11 %","990.00"
"SBID83","2024-06-24","1068.1","1088.8","1068.1","1088.8","0.23 %","260.00"
"SBID83","2024-06-19","1080","1086.3","1080","1086.3","2.00 %","295.00"
"SBID83","2024-06-18","1065","1065","1065","1065","-1.48 %","10.00"
"SBID83","2024-06-16","1089.9","1089.9","1060","1081","1.03 %","525.00"
"SBID83","2024-06-13","1070","1070","1070","1070","0.94 %","300.00"
"SBID83","2024-06-12","1042","1060","1042","1060","0.95 %","265.00"
"SBID83","2024-06-11","1051","1051","1050","1050","0.00 %","300.00"
"SBID83","2024-06-09","1050","1050","1050","1050","0.38 %","10.00"
"SBID83","2024-06-06","1042.1","1046","1041.6","1046","-0.38 %","75.00"
"SBID83","2024-06-04","1050","1050","1050","1050","-1.87 %","500.00"
"SBID83","2024-06-03","1048.6","1070","1048.6","1070","0.00 %","735.00"
"SBID83","2024-06-02","1050","1070","1050","1070","2.39 %","150.00"
"SBID83","2024-05-30","1053.5","1053.5","1040","1045","-2.79 %","65.00"
"SBID83","2024-05-27","1090.8","1090.8","1075","1075","-3.41 %","30.00"
"SBID83","2024-05-19","1070.7","1113","1070.7","1113","3.92 %","510.00"
"SBID83","2024-05-15","1041","1071","1041","1071","2.88 %","155.00"
"SBID83","2024-05-14","1043","1043","1041","1041","-0.01 %","200.00"
