"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SBLD2082","2025-01-07","1114.6","1136.8","1114.6","1136.8","4.03 %","70.00"
"SBLD2082","2025-01-06","1133.3","1133.3","1115","1092.8","-5.50 %","47.00"
"SBLD2082","2025-01-05","1156.4","1156.4","1156.4","1156.4","-2.00 %","10.00"
"SBLD2082","2024-12-31","1160","1180","1160","1180","1.72 %","92.00"
"SBLD2082","2024-12-29","1160","1160","1160","1160","0.22 %","70.00"
"SBLD2082","2024-12-26","1150","1157.5","1150","1157.5","1.98 %","30.00"
"SBLD2082","2024-12-24","1135","1135","1135","1135","0.89 %","100.00"
"SBLD2082","2024-12-23","1125","1125","1125","1125","1.99 %","25.00"
"SBLD2082","2024-12-16","1103","1103","1103","1103","-1.83 %","1,034.00"
"SBLD2082","2024-12-12","1123.5","1123.6","1123.5","1123.6","2.00 %","45.00"
"SBLD2082","2024-12-09","1101.6","1101.6","1101.6","1101.6","2.00 %","198.00"
"SBLD2082","2024-12-05","1076.2","1080","1076","1080","0.28 %","950.00"
"SBLD2082","2024-12-04","1078.5","1078.5","1077","1077","-0.74 %","50.00"
"SBLD2082","2024-12-03","1085","1085","1085","1085","0.93 %","25.00"
"SBLD2082","2024-11-24","1075","1075","1075","1075","0.28 %","50.00"
"SBLD2082","2024-11-19","1072","1072","1072","1072","-1.28 %","25.00"
"SBLD2082","2024-11-17","1100","1108","1085.9","1085.9","-0.38 %","550.00"
"SBLD2082","2024-11-14","1095","1095","1095","1090","-0.46 %","1.00"
"SBLD2082","2024-11-13","1095","1095","1095","1095","0.64 %","34.00"
"SBLD2082","2024-11-12","1088","1088","1088","1088","-1.81 %","500.00"
"SBLD2082","2024-11-10","1108","1108","1108","1108","2.00 %","100.00"
"SBLD2082","2024-10-28","1086.3","1086.3","1086.3","1086.3","2.00 %","10.00"
"SBLD2082","2024-10-24","1065","1086.3","1065","1065","0.00 %","296.00"
"SBLD2082","2024-10-21","1065","1065","1065","1065","-0.61 %","25.00"
"SBLD2082","2024-10-17","1071.5","1071.5","1071.5","1071.5","2.00 %","25.00"
"SBLD2082","2024-10-09","1050.5","1050.5","1050.5","1050.5","-0.05 %","25.00"
"SBLD2082","2024-09-25","1051","1051","1051","1051","-1.31 %","25.00"
"SBLD2082","2024-09-24","1065","1065","1065","1065","1.43 %","25.00"
"SBLD2082","2024-09-23","1050","1050","1050","1050","-0.29 %","25.00"
"SBLD2082","2024-09-10","1053.1","1053.1","1053.1","1053.1","0.00 %","25.00"
"SBLD2082","2024-09-02","1053.1","1053.1","1053.1","1053.1","-0.65 %","15.00"
"SBLD2082","2024-08-29","1060","1060","1060","1060","0.95 %","25.00"
"SBLD2082","2024-08-14","1050","1050","1050","1050","0.00 %","171.00"
"SBLD2082","2024-08-13","1050.1","1050.1","1050","1050","-0.47 %","25.00"
"SBLD2082","2024-08-12","1055","1055","1055","1055","0.48 %","140.00"
"SBLD2082","2024-08-11","1050","1050","1050","1050","0.38 %","25.00"
"SBLD2082","2024-08-08","1046","1046","1046","1046","-1.32 %","25.00"
"SBLD2082","2024-08-06","1050","1060","1050","1060","0.95 %","26.00"
"SBLD2082","2024-07-31","1071.1","1071.1","1050","1050","-3.93 %","50.00"
"SBLD2082","2024-07-30","1071.6","1071.6","1071.6","1092.9","1.99 %","1.00"
"SBLD2082","2024-07-29","1050.6","1050.6","1050.6","1071.6","2.00 %","1.00"
"SBLD2082","2024-07-25","1030.1","1050.6","1030","1050.6","2.00 %","35.00"
"SBLD2082","2024-07-18","1030","1030","1030","1030","-1.91 %","24.00"
"SBLD2082","2024-07-17","1116.1","1116.1","1050.1","1050.1","-5.91 %","33.00"
"SBLD2082","2024-07-16","1234.4","1234.4","1234.4","1116.1","-9.58 %","5.00"
"SBLD2082","2024-07-15","1149.5","1259.5","1149.5","1234.4","7.81 %","450.00"
"SBLD2082","2024-07-14","1129.1","1145","1129.1","1145","3.43 %","20.00"
"SBLD2082","2024-07-11","1086.3","1151","1086.3","1107","3.94 %","125.00"
"SBLD2082","2024-07-04","1065","1065","1065","1065","-1.84 %","15.00"
"SBLD2082","2024-06-30","1085","1085","1085","1085","1.40 %","25.00"
"SBLD2082","2024-06-26","1070","1070","1070","1070","-1.83 %","70.00"
"SBLD2082","2024-06-23","1090","1090","1090","1090","-0.46 %","100.00"
"SBLD2082","2024-06-20","1095","1095","1095","1095","1.39 %","25.00"
"SBLD2082","2024-06-16","1085","1085","1080","1080","-0.46 %","100.00"
"SBLD2082","2024-06-06","1085","1085","1085","1085","0.00 %","25.00"
"SBLD2082","2024-06-04","1085","1085","1085","1085","1.40 %","25.00"
"SBLD2082","2024-05-30","1070","1070","1070","1070","0.19 %","50.00"
"SBLD2082","2024-05-29","1068","1068","1068","1068","0.07 %","25.00"
"SBLD2082","2024-05-27","1089","1089","1067.3","1067.3","-2.30 %","275.00"
"SBLD2082","2024-05-22","1071","1071","1071","1092.4","2.00 %","1.00"
"SBLD2082","2024-05-15","1071","1071","1071","1071","2.00 %","25.00"
"SBLD2082","2024-05-12","1052","1052","1050","1050","-1.96 %","110.00"
"SBLD2082","2024-05-09","1050","1071","1050","1071","2.33 %","490.00"
"SBLD2082","2024-05-06","1048","1048","1046.6","1046.6","-1.82 %","118.00"
"SBLD2082","2024-04-29","1065","1066","1065","1066","1.95 %","35.00"
"SBLD2082","2024-04-28","1045.6","1045.6","1045.6","1045.6","2.00 %","10.00"
"SBLD2082","2024-04-21","1025.5","1025.5","1025.1","1025.1","-1.05 %","60.00"
"SBLD2082","2024-04-01","1036","1036","1036","1036","-1.89 %","50.00"
"SBLD2082","2024-03-28","1055","1055","1055","1056","2.00 %","15.00"
"SBLD2082","2024-03-26","1030","1030","1030","1035.3","2.00 %","153.00"
"SBLD2082","2024-03-12","1015","1015","1015","1015","0.28 %","25.00"
"SBLD2082","2024-02-22","1012.2","1012.2","1012.2","1012.2","-0.76 %","25.00"
"SBLD2082","2024-02-21","1020","1020","1020","1020","0.99 %","150.00"
"SBLD2082","2024-02-15","1010","1010","1010","1010","-0.58 %","50.00"
"SBLD2082","2024-02-13","1015.9","1015.9","1015.9","1015.9","2.00 %","25.00"
"SBLD2082","2024-02-12","996","996","996","996","-1.39 %","25.00"
"SBLD2082","2024-02-08","1010","1010","1010","1010","0.00 %","25.00"
"SBLD2082","2024-02-05","1010","1010","1010","1010","0.80 %","50.00"
"SBLD2082","2024-01-24","1003","1003","1002","1002","-0.79 %","190.00"
"SBLD2082","2024-01-17","1017.3","1017.3","1010","1010","-2.70 %","140.00"
"SBLD2082","2024-01-14","1038","1038","1038","1038","1.97 %","10.00"
"SBLD2082","2024-01-11","1017.9","1017.9","1017.9","1017.9","1.99 %","85.00"
"SBLD2082","2024-01-10","998","998","998","998","-0.72 %","25.00"
"SBLD2082","2024-01-09","1005.2","1005.2","1005.2","1005.2","-0.34 %","25.00"
"SBLD2082","2024-01-04","1008.6","1008.6","1008.6","1008.6","-1.98 %","25.00"
"SBLD2082","2024-01-01","1029","1029","1029","1029","1.18 %","20.00"
"SBLD2082","2023-12-19","1017","1017","1017","1017","0.00 %","25,225.00"
"SBLD2082","2023-12-12","1017","1017","1017","1017","1.90 %","10.00"
"SBLD2082","2023-12-04","998","998","998","998","-0.22 %","25.00"
"SBLD2082","2023-11-30","1000.2","1000.2","1000.2","1000.2","-0.93 %","25.00"
"SBLD2082","2023-11-28","1009.6","1009.6","1009.6","1009.6","-2.00 %","25.00"
"SBLD2082","2023-11-27","1030.2","1030.2","1030.2","1030.2","2.00 %","10.00"
"SBLD2082","2023-11-26","1020","1020","1010","1010","-0.98 %","50.00"
"SBLD2082","2023-11-23","1020","1020","1020","1020","2.00 %","12.00"
"SBLD2082","2023-11-22","1059.4","1059.4","1000","1000","-7.49 %","205.00"
"SBLD2082","2023-08-15","1081","1081","1081","1081","0.00 %","463.00"
"SBLD2082","2023-08-14","1081","1081","1081","1081","0.00 %","462.00"
"SBLD2082","2023-07-27","1039","1081","1039","1081","1.96 %","70.00"
"SBLD2082","2023-07-16","1039.5","1060.2","1019","1060.2","4.02 %","180.00"
"SBLD2082","2023-07-13","1019.2","1019.2","1019.2","1019.2","-2.00 %","10.00"
"SBLD2082","2023-07-11","1040","1040","1040","1040","1.96 %","10.00"
"SBLD2082","2023-07-10","1020","1020","1020","1020","2.00 %","22.00"
"SBLD2082","2023-07-04","1000","1000","1000","1000","-1.96 %","25.00"
"SBLD2082","2023-07-02","1020","1020","1020","1020","2.00 %","25.00"
"SBLD2082","2023-06-28","1000","1000","1000","1000","-0.99 %","25.00"
"SBLD2082","2023-06-22","1010","1010","1010","1010","1.00 %","10.00"
"SBLD2082","2023-06-19","1000","1000","1000","1000","1.07 %","35.00"
"SBLD2082","2023-06-12","989.4","991","989.4","989.4","2.00 %","35.00"
"SBLD2082","2023-06-08","970","970","970","970","0.00 %","50.00"
"SBLD2082","2023-05-10","970","970","970","970","-1.02 %","25.00"
"SBLD2082","2023-05-09","980","980","980","980","0.00 %","25.00"
"SBLD2082","2023-05-08","980","980","980","980","0.10 %","25.00"
"SBLD2082","2023-04-27","974.1","979","974.1","979","2.51 %","50.00"
"SBLD2082","2023-04-23","955","955","955","955","1.36 %","10.00"
"SBLD2082","2023-04-20","942.5","942.5","942.2","942.2","-1.83 %","100.00"
"SBLD2082","2023-04-17","959.8","959.8","959.8","959.8","2.00 %","10.00"
"SBLD2082","2023-04-06","941","941","941","941","0.28 %","25.00"
"SBLD2082","2023-01-31","938.4","938.4","938.4","938.4","2.00 %","105.00"
"SBLD2082","2023-01-29","920","920","920","920","0.00 %","50.00"
"SBLD2082","2023-01-26","920","920","920","920","-1.71 %","27.00"
"SBLD2082","2023-01-19","936","936","936","936","-1.99 %","15.00"
"SBLD2082","2023-01-10","955","955","955","955","0.53 %","25.00"
"SBLD2082","2023-01-08","950","950","950","950","-0.21 %","25.00"
"SBLD2082","2023-01-05","950.1","952","950.1","952","0.21 %","40.00"
"SBLD2082","2022-12-28","941.1","950","941.1","950","0.87 %","35.00"
"SBLD2082","2022-12-26","941.8","941.8","941.8","941.8","-2.00 %","90.00"
"SBLD2082","2022-12-21","961","961","961","961","-1.98 %","15.00"
"SBLD2082","2022-12-13","980.4","980.4","980.4","980.4","-2.00 %","50.00"
"SBLD2082","2022-11-08","1000.4","1000.4","1000.4","1000.4","-2.00 %","15.00"
"SBLD2082","2022-09-27","1020.8","1020.8","1020.8","1020.8","-2.00 %","10.00"
"SBLD2082","2022-07-15","1041.6","1041.6","1041.6","1041.6","2.00 %","10.00"
"SBLD2082","2022-07-14","1021.2","1021.2","1021.2","1021.2","-2.00 %","25.00"
"SBLD2082","2022-07-11","1042","1042","1042","1042","-1.37 %","30.00"
"SBLD2082","2022-03-09","1056.5","1056.5","1056.5","1056.5","-1.99 %","10.00"
"SBLD2082","2022-02-17","1078","1078","1078","1078","-2.00 %","60.00"
"SBLD2082","2022-01-11","1089","1100","1089","1100","0.98 %","250.00"
"SBLD2082","2022-01-09","1088","1089.3","1088","1089.3","1.99 %","770.00"
"SBLD2082","2022-01-04","1068","1068","1068","1068","1.91 %","100.00"
"SBLD2082","2022-01-03","1048","1048","1048","1048","1.95 %","25.00"
"SBLD2082","2021-12-22","1028","1028","1028","1028","1.78 %","25.00"
"SBLD2082","2021-12-13","1010","1010","1010","1010","-0.01 %","100.00"
"SBLD2082","2021-12-09","1010.1","1010.1","1010.1","1010.1","-0.09 %","145.00"
"SBLD2082","2021-12-07","1011","1011","1011","1011","0.09 %","25.00"
"SBLD2082","2021-12-06","1010.1","1010.1","1010.1","1010.1","0.00 %","30.00"
"SBLD2082","2021-11-17","1010.1","1010.1","1010.1","1010.1","-1.93 %","25.00"
