Symbol,Date,Open,High,Low,Close,Percent Change,Volume
SBLD84,2025-01-09,"1,050.00","1,050.00","1,050.00","1,050.00",-0.85 %,100.00
SBLD84,2025-01-12,"1,050.00","1,050.00","1,050.00","1,050.00",0.00 %,30.00
SBLD84,2025-01-15,"1,029.00","1,029.00","1,029.00","1,029.00",-2.00 %,75.00
SBLD84,2025-01-19,"1,029.00","1,029.00","1,029.00","1,029.00",0.00 %,85.00
SBLD84,2025-01-21,"1,029.00","1,029.00","1,029.00","1,029.00",0.00 %,50.00
SBLD84,2025-01-22,"1,029.00","1,029.00","1,029.00","1,029.00",0.00 %,25.00
SBLD84,2025-01-23,"1,008.50","1,008.50","1,008.50","1,008.50",-1.99 %,25.00
SBLD84,2025-01-27,"1,028.60","1,028.60","1,028.60","1,028.60",1.99 %,25.00
SBLD84,2025-01-28,"1,028.60","1,028.60","1,028.60","1,028.60",0.00 %,205.00
SBLD84,2025-02-02,"1,028.60","1,028.60","1,028.60","1,028.60",0.00 %,10.00
SBLD84,2025-02-04,"1,030.00","1,030.00","1,030.00","1,030.00",0.14 %,25.00
SBLD84,2025-02-11,"1,015.00","1,015.00","1,015.00","1,015.00",-1.46 %,25.00
SBLD84,2025-02-18,"1,035.00","1,035.00","1,035.00","1,035.00",1.97 %,50.00
SBLD84,2025-03-04,"1,035.00","1,035.00","1,035.00","1,035.00",0.00 %,25.00
SBLD84,2025-03-06,"1,015.00","1,050.00","1,015.00","1,050.00",1.45 %,60.00
