Symbol,Date,Open,High,Low,Close,Percent Change,Volume
SCBD,2025-01-19,"1,110.00","1,110.00","1,110.00","1,110.00",-3.26 %,27.00
SCBD,2025-01-20,"1,100.00","1,100.00","1,080.00","1,080.10",-2.69 %,125.00
SCBD,2025-01-21,"1,081.10","1,081.10","1,062.00","1,062.00",-1.68 %,100.00
SCBD,2025-01-22,"1,060.90","1,081.00","1,060.90","1,081.00",1.79 %,48.00
SCBD,2025-01-23,"1,086.30","1,086.30","1,086.30","1,086.30",0.49 %,26.00
SCBD,2025-02-03,"1,086.30","1,086.30","1,086.30","1,086.30",0.00 %,25.00
SCBD,2025-02-04,"1,080.00","1,085.00","1,080.00","1,085.00",-0.12 %,125.00
SCBD,2025-02-20,"1,064.50","1,064.50","1,064.50","1,064.50",-1.89 %,25.00
SCBD,2025-02-25,"1,064.10","1,064.10","1,064.00","1,064.00",-0.05 %,25.00
SCBD,2025-03-12,"1,070.00","1,070.00","1,070.00","1,070.00",0.56 %,1.00
SCBD,2025-03-16,"1,070.00","1,070.00","1,070.00","1,070.00",0.00 %,25.00
