"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SDBD87","2025-01-07","1099.9","1100","1099.9","1100","0.00 %","620.00"
"SDBD87","2025-01-06","1096.6","1100","1096.6","1100","0.31 %","363.00"
"SDBD87","2025-01-05","1100","1105","1075.1","1096.6","0.15 %","825.00"
"SDBD87","2025-01-01","1085","1085","1085","1095","0.92 %","10.00"
"SDBD87","2024-12-31","1085","1085","1085","1085","-0.28 %","25.00"
"SDBD87","2024-12-26","1088","1088","1088","1088","-1.98 %","25.00"
"SDBD87","2024-12-23","1098.5","1110","1098.5","1110","2.30 %","2,022.00"
"SDBD87","2024-12-22","1065","1085","1065","1085","1.97 %","225.00"
"SDBD87","2024-12-19","1062","1064","1062","1064","0.09 %","77.00"
"SDBD87","2024-12-18","1063","1063","1063","1063","0.00 %","100.00"
"SDBD87","2024-12-17","1062","1063","1062","1063","0.28 %","100.00"
"SDBD87","2024-12-16","1063","1063","1060","1060","-0.93 %","50.00"
"SDBD87","2024-12-11","1070","1070","1070","1070","-1.96 %","25.00"
"SDBD87","2024-12-10","1090","1091.4","1090","1091.4","2.00 %","275.00"
"SDBD87","2024-12-04","1065","1070","1065","1070","-1.38 %","55.00"
"SDBD87","2024-12-02","1084.8","1085","1084.8","1085","0.00 %","215.00"
"SDBD87","2024-11-26","1080","1085","1080","1085","2.46 %","100.00"
"SDBD87","2024-11-25","1079","1079.9","1059","1059","-1.49 %","80.00"
"SDBD87","2024-11-24","1053","1075","1050","1075","2.09 %","405.00"
"SDBD87","2024-11-21","1053","1053","1053","1053","-1.50 %","25.00"
"SDBD87","2024-11-20","1048.1","1069","1048.1","1069","0.75 %","35.00"
"SDBD87","2024-11-17","1040.6","1061","1040.6","1061","2.19 %","80.00"
"SDBD87","2024-11-14","1038.3","1038.3","1038.3","1038.3","-1.11 %","25.00"
"SDBD87","2024-11-12","1050","1050","1050","1050","0.48 %","25.00"
"SDBD87","2024-11-11","1060","1060","1045","1045","-0.95 %","65.00"
"SDBD87","2024-11-10","1055","1055","1055","1055","-0.07 %","60.00"
"SDBD87","2024-11-06","1035","1055.7","1035","1055.7","2.93 %","85.00"
"SDBD87","2024-10-29","1025.6","1025.6","1025.6","1025.6","-1.86 %","10.00"
"SDBD87","2024-10-28","1045","1050","1045","1045","-0.57 %","220.00"
"SDBD87","2024-10-27","1049","1051","1049","1051","1.94 %","1,230.00"
"SDBD87","2024-10-24","1031","1031","1031","1031","-0.39 %","25.00"
"SDBD87","2024-10-23","1035","1035","1035","1035","0.39 %","50.00"
"SDBD87","2024-10-21","1031","1031","1031","1031","1.08 %","25.00"
"SDBD87","2024-10-20","1020","1020","1020","1020","-0.97 %","25.00"
"SDBD87","2024-10-15","1030.1","1030.1","1030","1030","-2.00 %","75.00"
"SDBD87","2024-10-01","1031","1051","1031","1051","-0.10 %","75.00"
"SDBD87","2024-09-30","1042","1052","1042","1052","2.63 %","542.00"
"SDBD87","2024-09-29","1034","1037","1025","1025","0.78 %","325.00"
"SDBD87","2024-09-26","1013.4","1017.1","1013.4","1017.1","0.10 %","55.00"
"SDBD87","2024-09-25","1016.1","1016.1","1016.1","1016.1","-1.06 %","25.00"
"SDBD87","2024-09-23","1011.3","1027","1011.3","1027","-0.39 %","283.00"
"SDBD87","2024-09-22","1030","1031","1030","1031","0.15 %","317.00"
"SDBD87","2024-09-18","1013.1","1029.5","1013.1","1029.5","1.99 %","50.00"
"SDBD87","2024-09-16","1007.3","1009.4","1007.3","1009.4","-1.23 %","51.00"
"SDBD87","2024-09-12","1002","1022","1002","1022","0.20 %","35.00"
"SDBD87","2024-09-09","1022","1022","1020","1020","1.80 %","125.00"
"SDBD87","2024-09-08","1004.1","1004.1","1002","1002","-2.15 %","255.00"
"SDBD87","2024-09-05","993.5","1024","993.5","1024","1.39 %","368.00"
"SDBD87","2024-09-03","1020","1020","1010","1010","-0.98 %","50.00"
"SDBD87","2024-09-02","1005","1020","1005","1020","0.99 %","200.00"
"SDBD87","2024-09-01","1010","1010","1010","1010","-0.49 %","160.00"
"SDBD87","2024-08-29","1010","1015","996.3","1015","0.00 %","243.00"
"SDBD87","2024-08-28","1007","1015","1007","1015","-0.49 %","245.00"
"SDBD87","2024-08-27","1010","1020","1010","1020","2.00 %","315.00"
"SDBD87","2024-08-25","1007","1007","1000","1000","-0.70 %","75.00"
"SDBD87","2024-08-22","1000","1007","990","1007","1.81 %","275.00"
"SDBD87","2024-08-21","989.1","989.1","989.1","989.1","0.16 %","25.00"
"SDBD87","2024-08-18","987.1","987.5","987.1","987.5","0.04 %","50.00"
"SDBD87","2024-08-15","986.1","1005.8","986.1","987.1","-0.82 %","125.00"
"SDBD87","2024-08-14","995","995.3","995","995.3","-1.46 %","50.00"
"SDBD87","2024-08-13","995","1010","995","1010","1.51 %","100.00"
"SDBD87","2024-08-12","981.1","995","981.1","995","0.49 %","99.00"
"SDBD87","2024-08-11","990","990.1","990","990.1","-0.99 %","75.00"
"SDBD87","2024-08-07","980.9","1000","980.9","1000","1.98 %","600.00"
"SDBD87","2024-08-06","980.3","980.6","980.3","980.6","-0.93 %","45.00"
"SDBD87","2024-08-05","1009.9","1010","989.8","989.8","-0.42 %","125.00"
"SDBD87","2024-08-01","974.6","994","974.6","994","1.94 %","45.00"
"SDBD87","2024-07-31","975.1","975.1","975.1","975.1","-0.19 %","25.00"
"SDBD87","2024-07-30","970","985","970","977","-0.31 %","100.00"
"SDBD87","2024-07-29","980","980","980","980","-0.81 %","25.00"
"SDBD87","2024-07-28","1008","1008","988","988","-2.42 %","175.00"
"SDBD87","2024-07-25","1002","1012.5","1002","1012.5","1.05 %","310.00"
"SDBD87","2024-07-24","993","1008","993","1002","2.76 %","137.00"
"SDBD87","2024-07-23","985.2","985.2","975","975.1","0.95 %","75.00"
"SDBD87","2024-07-22","947","980","947","965.9","0.04 %","200.00"
"SDBD87","2024-07-21","965.5","965.5","965.5","965.5","-0.97 %","25.00"
"SDBD87","2024-07-16","980","980","975","975","-2.50 %","650.00"
"SDBD87","2024-07-11","1000","1000","1000","1000","1.80 %","500.00"
"SDBD87","2024-07-08","982.3","982.3","982.3","982.3","-1.29 %","25.00"
"SDBD87","2024-07-07","995.1","995.1","995.1","995.1","-0.29 %","200.00"
"SDBD87","2024-07-02","998","998","998","998","-1.94 %","25.00"
"SDBD87","2024-06-30","1005","1017.7","1005","1017.7","1.97 %","125.00"
"SDBD87","2024-06-25","998","998","998","998","-0.20 %","50.00"
"SDBD87","2024-06-23","1000","1000","1000","1000","0.00 %","58.00"
"SDBD87","2024-06-20","1000","1000","1000","1000","1.83 %","22.00"
"SDBD87","2024-06-18","982.1","982.1","982","982","0.08 %","25.00"
"SDBD87","2024-06-13","981.2","981.2","981.2","981.2","0.02 %","110.00"
"SDBD87","2024-06-12","981","981","981","981","-1.66 %","100.00"
"SDBD87","2024-06-10","997.6","997.6","997.6","997.6","1.99 %","10.00"
"SDBD87","2024-06-06","988","988","978.1","978.1","-1.18 %","75.00"
"SDBD87","2024-06-04","989.8","989.8","989.8","989.8","-2.00 %","50.00"
