"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SFEF","2025-01-07","9.56","9.56","9.4","9.41","-3.49 %","700.00"
"SFEF","2025-01-06","9.6","9.75","9.6","9.75","1.99 %","12,781.00"
"SFEF","2025-01-05","9.2","9.56","9.2","9.56","1.92 %","7,137.00"
"SFEF","2025-01-02","9.19","9.38","9.19","9.38","2.07 %","3,600.00"
"SFEF","2025-01-01","9.01","9.19","9.01","9.19","1.43 %","200.00"
"SFEF","2024-12-31","9.02","9.06","9.02","9.06","-1.20 %","200.00"
"SFEF","2024-12-29","9.1","9.17","9.1","9.17","0.66 %","1,610.00"
"SFEF","2024-12-26","9.06","9.11","9.06","9.11","0.00 %","300.00"
"SFEF","2024-12-24","9.06","9.2","9.03","9.11","0.55 %","2,675.00"
"SFEF","2024-12-23","8.95","9.06","8.95","9.06","-0.44 %","800.00"
"SFEF","2024-12-22","9.09","9.28","9.09","9.1","-0.76 %","1,183.00"
"SFEF","2024-12-19","9.17","9.17","9.17","9.17","-0.43 %","100.00"
"SFEF","2024-12-18","9.2","9.21","9.2","9.21","0.66 %","2,300.00"
"SFEF","2024-12-17","9.25","9.33","9.15","9.15","-1.61 %","1,700.00"
"SFEF","2024-12-16","9.25","9.3","9.25","9.3","-1.17 %","300.00"
"SFEF","2024-12-12","9.41","9.41","9.41","9.41","0.00 %","600.00"
"SFEF","2024-12-11","9.41","9.41","9.41","9.41","-1.98 %","100.00"
"SFEF","2024-12-10","9.6","9.6","9.6","9.6","1.69 %","500.00"
"SFEF","2024-12-08","9.25","9.44","9.25","9.44","0.43 %","2,400.00"
"SFEF","2024-12-05","9.37","9.4","9.37","9.4","-1.26 %","400.00"
"SFEF","2024-12-04","9.45","9.63","9.45","9.52","-0.83 %","1,900.00"
"SFEF","2024-12-03","9.49","9.6","9.49","9.6","1.05 %","800.00"
"SFEF","2024-12-02","9.5","9.5","9.5","9.5","0.21 %","100.00"
"SFEF","2024-12-01","9.47","9.48","9.47","9.48","-0.42 %","300.00"
