"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SIGS2","2025-01-07","9.81","9.94","9.75","9.75","-2.50 %","2,900.00"
"SIGS2","2025-01-06","9.61","10","9.61","10","4.06 %","216,500.00"
"SIGS2","2025-01-05","9.62","9.62","9.61","9.61","-1.94 %","1,500.00"
"SIGS2","2025-01-02","9.46","9.8","9.46","9.8","3.59 %","600.00"
"SIGS2","2025-01-01","9.78","9.78","9.46","9.46","-1.46 %","1,700.00"
"SIGS2","2024-12-31","9.6","9.6","9.6","9.6","1.91 %","400.00"
"SIGS2","2024-12-29","9.37","9.55","9.37","9.42","-1.46 %","600.00"
"SIGS2","2024-12-26","9.35","9.56","9.35","9.56","0.53 %","13,830.00"
"SIGS2","2024-12-24","9.6","9.6","9.51","9.51","-1.86 %","6,000.00"
"SIGS2","2024-12-23","9.84","9.87","9.5","9.69","0.10 %","149,646.00"
"SIGS2","2024-12-19","9.68","9.68","9.68","9.68","1.89 %","100.00"
"SIGS2","2024-12-18","9.6","9.6","9.49","9.5","-0.84 %","57,800.00"
"SIGS2","2024-12-17","9.75","9.75","9.58","9.58","-0.73 %","10,300.00"
"SIGS2","2024-12-16","9.66","9.66","9.51","9.65","-2.03 %","16,900.00"
"SIGS2","2024-12-12","9.6","9.85","9.6","9.85","1.23 %","39,800.00"
"SIGS2","2024-12-11","9.89","9.89","9.7","9.73","0.10 %","4,650.00"
"SIGS2","2024-12-10","9.72","9.72","9.72","9.72","-1.72 %","1,072.00"
"SIGS2","2024-12-09","9.83","9.89","9.83","9.89","2.59 %","300.00"
"SIGS2","2024-12-08","9.96","9.96","9.64","9.64","-1.93 %","700.00"
"SIGS2","2024-12-05","9.79","10","9.79","9.83","-1.50 %","11,400.00"
"SIGS2","2024-12-04","10","10","9.86","9.98","-0.20 %","6,200.00"
"SIGS2","2024-12-03","10","10.13","10","10","0.00 %","20,600.00"
"SIGS2","2024-12-02","9.95","10","9.84","10","0.00 %","2,501,350.00"
"SIGS2","2024-12-01","10","10","9.82","10","0.20 %","103,000.00"
"SIGS2","2024-11-28","9.75","9.98","9.75","9.98","1.32 %","39,590.00"
