"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SPIL","2025-01-07","794","816","794","807","0.37 %","14,171.00"
"SPIL","2025-01-06","787","808.9","787","804","1.26 %","6,249.00"
"SPIL","2025-01-05","788.8","797","787","794","-0.63 %","10,100.00"
"SPIL","2025-01-02","809.1","809.1","785.2","799","0.58 %","9,578.00"
"SPIL","2025-01-01","799.9","804.9","783.3","794.4","0.30 %","3,515.00"
"SPIL","2024-12-31","792","800","778","792","-1.00 %","9,657.00"
"SPIL","2024-12-29","794","800","786.1","800","0.76 %","5,142.00"
"SPIL","2024-12-26","790","798","785.1","794","0.13 %","5,249.00"
"SPIL","2024-12-24","790","799","778","793","0.38 %","6,637.00"
"SPIL","2024-12-23","795","795","778.2","790","-0.25 %","6,024.00"
"SPIL","2024-12-22","795","805","787.9","792","-0.38 %","8,022.00"
"SPIL","2024-12-19","791.2","806","791","795","-0.50 %","13,603.00"
"SPIL","2024-12-18","809","809","793","799","-1.24 %","6,306.00"
"SPIL","2024-12-17","800","809","790.3","809","1.13 %","5,456.00"
"SPIL","2024-12-16","808","810","794","800","-0.62 %","9,198.00"
"SPIL","2024-12-12","835.6","835.9","805","805","-1.75 %","5,827.00"
"SPIL","2024-12-11","810","819.8","808","819.3","0.52 %","6,944.00"
"SPIL","2024-12-10","836","836","813","815.1","-0.60 %","4,368.00"
"SPIL","2024-12-09","825.1","845","820","820","-2.14 %","13,827.00"
"SPIL","2024-12-08","835.4","845","825.1","837.9","-1.31 %","28,611.00"
"SPIL","2024-12-05","864","877","835","849","-1.27 %","19,408.00"
"SPIL","2024-12-04","845.1","863.2","845.1","859.9","0.10 %","11,428.00"
"SPIL","2024-12-03","868","868","842.8","859","-1.15 %","18,928.00"
"SPIL","2024-12-02","865","877","850","869","0.46 %","10,774.00"
"SPIL","2024-12-01","845","866","845","865","0.35 %","13,622.00"
"SPIL","2024-11-28","867","867","850.1","862","-0.35 %","20,964.00"
"SPIL","2024-11-27","868","868","852.1","865","1.65 %","13,543.00"
"SPIL","2024-11-26","835","883.8","833","851","0.47 %","5,872.00"
"SPIL","2024-11-25","832.3","900","832.3","847","1.77 %","9,119.00"
"SPIL","2024-11-24","840","844","830","832.3","-1.39 %","10,732.00"
"SPIL","2024-11-21","852","858","837.5","844","-0.12 %","23,143.00"
"SPIL","2024-11-20","853","869","833","845","-0.59 %","13,717.00"
"SPIL","2024-11-19","863.1","875","850","850","-3.41 %","25,436.00"
"SPIL","2024-11-17","907.5","907.5","870.5","880","-1.12 %","19,997.00"
"SPIL","2024-11-14","904","904","880","890","0.34 %","16,702.00"
"SPIL","2024-11-13","895","896.2","885.3","887","-0.89 %","9,249.00"
"SPIL","2024-11-12","912","912.9","890","895","-0.22 %","14,334.00"
"SPIL","2024-11-11","891","905","890","897","0.91 %","45,013.00"
"SPIL","2024-11-10","870.1","890","870.1","888.9","2.17 %","20,770.00"
"SPIL","2024-11-06","872.2","885","866","870","-2.25 %","12,502.00"
"SPIL","2024-11-05","895","900","870","890","0.53 %","12,238.00"
"SPIL","2024-10-30","867","900","867","885.3","0.26 %","15,729.00"
"SPIL","2024-10-29","865","915","850","883","3.88 %","18,360.00"
"SPIL","2024-10-28","864","864","846.9","850","0.24 %","5,046.00"
"SPIL","2024-10-27","848","862.9","842.5","848","-0.82 %","3,850.00"
"SPIL","2024-10-24","870","878","845","855","-0.93 %","12,710.00"
"SPIL","2024-10-23","888","888","852.5","863","-0.92 %","4,488.00"
"SPIL","2024-10-22","846.1","876","846.1","871","1.40 %","6,569.00"
"SPIL","2024-10-21","855","862","847.1","859","-0.35 %","7,182.00"
"SPIL","2024-10-20","879","880","861","862","-2.05 %","7,584.00"
"SPIL","2024-10-17","887","887","860.1","880","0.88 %","12,502.00"
"SPIL","2024-10-16","882.3","895","871","872.3","0.84 %","4,608.00"
"SPIL","2024-10-15","860","869","850.2","865","0.58 %","920.00"
"SPIL","2024-10-09","848","882.3","848","860","-0.58 %","7,900.00"
"SPIL","2024-10-08","870","885","865","865","-2.15 %","16,162.00"
"SPIL","2024-10-07","885.9","900","860","884","1.73 %","17,294.00"
"SPIL","2024-10-06","843.1","875","843.1","869","1.05 %","9,342.00"
"SPIL","2024-10-02","887","889","857","860","-3.26 %","17,976.00"
"SPIL","2024-10-01","895","905.7","863","889","1.25 %","15,277.00"
"SPIL","2024-09-30","868","883.9","850.1","878","1.16 %","13,065.00"
"SPIL","2024-09-29","834","899","834","867.9","2.07 %","24,572.00"
"SPIL","2024-09-26","860","867","846.7","850.3","0.39 %","16,563.00"
"SPIL","2024-09-25","830","847","830","847","1.19 %","16,333.00"
"SPIL","2024-09-24","830.1","848","830.1","837","-1.18 %","8,624.00"
"SPIL","2024-09-23","870","880","847","847","-3.64 %","11,826.00"
"SPIL","2024-09-22","880","889","866.1","879","0.80 %","84,446.00"
"SPIL","2024-09-18","851","875","851","872","1.35 %","33,212.00"
"SPIL","2024-09-16","859","880","859","860.4","-1.80 %","16,675.00"
"SPIL","2024-09-15","894","917","876.2","876.2","-2.64 %","22,946.00"
"SPIL","2024-09-12","885","900","878","900","0.78 %","23,412.00"
"SPIL","2024-09-11","881","899.6","864.5","893","1.25 %","18,124.00"
"SPIL","2024-09-10","890","905","865.5","882","0.80 %","29,513.00"
"SPIL","2024-09-09","890.1","890.1","870","875","-1.69 %","33,604.00"
"SPIL","2024-09-08","903","918","890","890","-3.26 %","16,066.00"
"SPIL","2024-09-05","908.1","920","891","920","-0.54 %","25,222.00"
"SPIL","2024-09-04","960.1","963.9","913.4","925","-3.14 %","50,883.00"
"SPIL","2024-09-03","927.8","964.9","915","955","3.58 %","75,890.00"
"SPIL","2024-09-02","880","948","871.1","922","4.89 %","37,661.00"
"SPIL","2024-09-01","872.3","889","861","879","0.80 %","42,511.00"
