Symbol,Date,Open,High,Low,Close,Percent Change,Volume
SRBLD83,2025-01-08,"1,110.00","1,110.00","1,110.00","1,110.00",-1.77 %,190.00
SRBLD83,2025-01-23,"1,089.00","1,089.00","1,089.00","1,089.00",-1.89 %,30.00
SRBLD83,2025-01-26,"1,069.10","1,070.00","1,051.00","1,051.00",-3.49 %,"1,195.00"
SRBLD83,2025-01-27,"1,060.00","1,060.00","1,060.00","1,060.00",0.86 %,25.00
SRBLD83,2025-01-28,"1,048.00","1,069.00","1,047.70","1,069.00",0.85 %,75.00
SRBLD83,2025-02-02,"1,055.00","1,055.00","1,048.30","1,048.30",-1.94 %,50.00
SRBLD83,2025-02-03,"1,053.00","1,053.00","1,040.00","1,040.00",-0.79 %,700.00
SRBLD83,2025-02-04,"1,050.00","1,050.00","1,050.00","1,050.00",0.96 %,20.00
SRBLD83,2025-02-09,"1,071.00","1,071.00","1,068.00","1,068.00",1.71 %,65.00
SRBLD83,2025-02-10,"1,070.00","1,070.00","1,070.00","1,070.00",0.19 %,100.00
SRBLD83,2025-02-16,"1,079.00","1,079.00","1,079.00","1,079.00",0.84 %,10.00
SRBLD83,2025-02-23,"1,057.50","1,057.50","1,057.50","1,057.50",-1.99 %,15.00
SRBLD83,2025-03-04,"1,050.00","1,050.00","1,050.00","1,050.00",-0.71 %,25.00
SRBLD83,2025-03-10,"1,043.50","1,043.50","1,037.30","1,037.30",-1.21 %,100.00
SRBLD83,2025-03-12,"1,058.00","1,058.00","1,058.00","1,058.00",2.00 %,2.00
