"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"TVCL","2025-01-07","661.5","697","614","660.5","-2.15 %","96,661.00"
"TVCL","2025-01-06","661.9","695","636.5","675","4.01 %","92,757.00"
"TVCL","2025-01-05","635.8","649","614","649","0.05 %","133,516.00"
"TVCL","2025-01-02","620.4","650","609.3","648.7","6.64 %","109,721.00"
"TVCL","2025-01-01","542","608.3","542","608.3","10.00 %","157,182.00"
"TVCL","2024-12-31","547","558","543","553","-0.18 %","68,601.00"
"TVCL","2024-12-29","563","564","546","554","-0.22 %","40,716.00"
"TVCL","2024-12-26","568.8","580","555","555.2","-1.91 %","56,206.00"
"TVCL","2024-12-24","547","578","547","566","3.28 %","81,626.00"
"TVCL","2024-12-23","536.7","552.8","536.7","548","0.07 %","34,635.00"
"TVCL","2024-12-22","561","568","545.2","547.6","-0.44 %","50,061.00"
"TVCL","2024-12-19","530.2","561","530.2","550","1.66 %","66,021.00"
"TVCL","2024-12-18","561","561","539","541","-1.64 %","42,444.00"
"TVCL","2024-12-17","555","561","538.2","550","0.55 %","49,282.00"
"TVCL","2024-12-16","571.2","571.2","544","547","-2.32 %","83,620.00"
"TVCL","2024-12-12","505.9","565.9","505.9","560","8.55 %","145,696.00"
"TVCL","2024-12-11","500.5","516","500.5","515.9","1.38 %","9,607.00"
"TVCL","2024-12-10","500.6","520.8","500.6","508.9","-0.22 %","9,023.00"
"TVCL","2024-12-09","501.1","522","501.1","510","-0.20 %","9,729.00"
"TVCL","2024-12-08","507","521.9","501","511","-0.20 %","25,432.00"
"TVCL","2024-12-05","530","530","508.9","512","-2.10 %","25,956.00"
"TVCL","2024-12-04","506.6","534.9","506.6","523","1.26 %","51,560.00"
"TVCL","2024-12-03","496.6","535.8","496.6","516.5","2.05 %","16,359.00"
"TVCL","2024-12-02","500.6","531","500.6","506.1","-0.76 %","16,450.00"
"TVCL","2024-12-01","499.8","515","497.1","510","0.00 %","13,933.00"
"TVCL","2024-11-28","528","528","507","510","-1.73 %","11,495.00"
"TVCL","2024-11-27","509","529.3","509","519","0.00 %","24,180.00"
"TVCL","2024-11-26","503","520","500","519","3.18 %","21,652.00"
"TVCL","2024-11-25","500.7","510","498","503","-0.93 %","13,834.00"
"TVCL","2024-11-24","516.9","520","499.1","507.7","-1.80 %","15,438.00"
"TVCL","2024-11-21","519","530","511","517","0.78 %","49,571.00"
"TVCL","2024-11-20","502.2","519","495","513","0.59 %","28,649.00"
"TVCL","2024-11-19","529.9","531","491","510","-2.30 %","42,944.00"
"TVCL","2024-11-17","503","529","495.3","522","5.67 %","76,281.00"
"TVCL","2024-11-14","476.7","497.9","476.7","494","2.17 %","32,791.00"
"TVCL","2024-11-13","481","485.5","480.2","483.5","-1.33 %","14,219.00"
"TVCL","2024-11-12","503.9","503.9","481","490","-1.21 %","14,662.00"
"TVCL","2024-11-11","513","513","486.1","496","-1.76 %","26,542.00"
"TVCL","2024-11-10","499","504.9","490.2","504.9","3.04 %","25,362.00"
"TVCL","2024-11-06","474.9","504","471","490","3.70 %","54,359.00"
"TVCL","2024-11-05","466.8","480.4","466.1","472.5","1.42 %","9,221.00"
"TVCL","2024-10-30","468","475.3","460","465.9","-1.08 %","9,775.00"
"TVCL","2024-10-29","475","475","468","471","0.64 %","9,489.00"
"TVCL","2024-10-28","456","471","456","468","1.74 %","10,723.00"
"TVCL","2024-10-27","453.5","461.9","453.5","460","0.00 %","12,871.00"
"TVCL","2024-10-24","453","469","451.8","460","-0.22 %","6,125.00"
"TVCL","2024-10-23","459","466","452","461","0.22 %","15,229.00"
"TVCL","2024-10-22","465","469","457.1","460","-0.15 %","8,739.00"
"TVCL","2024-10-21","489","489","460.7","460.7","-4.00 %","10,637.00"
"TVCL","2024-10-20","474.3","487.6","473","479.9","-0.83 %","14,186.00"
"TVCL","2024-10-17","475","504.5","470.1","483.9","1.66 %","27,742.00"
"TVCL","2024-10-16","468","478","462","476","3.48 %","11,964.00"
"TVCL","2024-10-15","460","465","455","460","0.00 %","3,399.00"
"TVCL","2024-10-09","456","473.1","456","460","-1.05 %","4,905.00"
