"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"VLUCL","2025-01-07","705","709","679.2","699.8","-0.17 %","54,006.00"
"VLUCL","2025-01-06","677.2","705","677.2","701","2.05 %","74,424.00"
"VLUCL","2025-01-05","670","693","666","686.9","3.32 %","44,271.00"
"VLUCL","2025-01-02","640.3","665","640.3","664.8","2.31 %","21,310.00"
"VLUCL","2025-01-01","627","652","627","649.8","2.77 %","22,807.00"
"VLUCL","2024-12-31","655","656.1","630.1","632.3","-3.76 %","41,888.00"
"VLUCL","2024-12-29","650","669.9","645","657","-0.90 %","50,165.00"
"VLUCL","2024-12-26","660","669.9","640","663","-1.34 %","35,154.00"
"VLUCL","2024-12-24","671","682","665","672","-0.30 %","23,369.00"
"VLUCL","2024-12-23","647","674","647","674","4.01 %","16,276.00"
"VLUCL","2024-12-22","640","665","638","648","-0.03 %","18,509.00"
"VLUCL","2024-12-19","678.9","683","648","648.2","-3.96 %","25,200.00"
"VLUCL","2024-12-18","670","678","662.3","674.9","0.73 %","16,744.00"
"VLUCL","2024-12-17","675","680","664.2","670","-1.02 %","30,720.00"
"VLUCL","2024-12-16","689.7","700","657","676.9","-3.81 %","51,360.00"
"VLUCL","2024-12-12","693","722","693","703.7","1.69 %","127,011.00"
"VLUCL","2024-12-11","677","695","658","692","3.45 %","37,490.00"
"VLUCL","2024-12-10","672","676.9","660","668.9","0.00 %","16,000.00"
"VLUCL","2024-12-09","689","689","657","668.9","-1.30 %","18,958.00"
"VLUCL","2024-12-08","691","698","667","677.7","-2.77 %","46,518.00"
"VLUCL","2024-12-05","680","721","680","697","2.50 %","141,337.00"
"VLUCL","2024-12-04","663","692","651.2","680","3.05 %","57,726.00"
"VLUCL","2024-12-03","660","673","643","659.9","1.84 %","15,706.00"
"VLUCL","2024-12-02","643","673","643","648","-1.20 %","18,023.00"
"VLUCL","2024-12-01","646","659.9","643.2","655.9","0.08 %","14,654.00"
"VLUCL","2024-11-28","677","685","654","655.4","-2.73 %","21,060.00"
"VLUCL","2024-11-27","677.9","684","667.3","673.8","1.03 %","26,383.00"
"VLUCL","2024-11-26","650","670","650","666.9","3.24 %","30,532.00"
"VLUCL","2024-11-25","643","664","643","646","0.62 %","22,443.00"
"VLUCL","2024-11-24","665","670","642","642","-3.47 %","23,284.00"
"VLUCL","2024-11-21","672.3","690","665","665.1","-3.05 %","28,742.00"
"VLUCL","2024-11-20","633","695","633","686","6.21 %","71,189.00"
"VLUCL","2024-11-19","651","660","638.6","645.9","-2.43 %","71,640.00"
"VLUCL","2024-11-17","657","682","656","662","-1.05 %","40,766.00"
