datetime,title,source,link,top_sentiment,sentiment_score
"June 5, 2024 ",Himalayan Laghubitta Appoints Himalayan Capital as Registrar to Share (RTS),Stock Market,https://www.investopaper.com/news/himalayan-laghubitta-share-registrar/,negative,0.36870965361595154
"June 7, 2024 ",Upper Tamor Semi-reservoir Hydropower Project (285 MW) Secures Rs. 38.6 Billion in Investment,NEWS,https://www.investopaper.com/news/upper-tamor-semi-reservoir-hydropower-project-285-mw-secures-rs-38-6-billion-in-investment/,neutral,0.4248276352882385
"June 9, 2024 ",Panchthar Power Company Conducting 8th AGM Today,Stock Market,https://www.investopaper.com/news/panchthar-power-company-agm/,negative,0.36151397228240967
"June 9, 2024 ",400 kV Hetauda Substation Completed,NEWS,https://www.investopaper.com/news/400-kv-hetauda-substation-completed/,negative,0.36128368973731995
"June 9, 2024 ",Rs.112 Kharba Investment Needed to Grow Nepal’s GDP to Rs.103 Kharba by 2085/86,NEWS,https://www.investopaper.com/news/rs-112-kharba-investment-needed-to-grow-nepals-gdp-to-rs-103-kharba-by-2085-86/,neutral,0.45184552669525146
"June 10, 2024 ",IME Life Insurance Organizing 7th AGM Today | To Endorse 26.32 Percent Dividend,Stock Market,https://www.investopaper.com/news/ime-life-insurance-agm/,negative,0.37962833046913147
"June 13, 2024 ",Cement & Clinker Exports to India Grows to Rs. 3.33 Billion,NEWS,https://www.investopaper.com/news/cement-clinker-exports-to-india-grows-to-rs-3-33-billion/,neutral,0.48098024725914
"June 14, 2024 ",20.27 Percent of Population Below Poverty Line in Nepal,NEWS,https://www.investopaper.com/news/20-27-percent-of-population-below-poverty-line-in-nepal/,positive,0.3935037851333618
"June 14, 2024 ",Shree Distillery Limited to Float IPO | Appoints Prabhu Capital as Issue Manager,Stock Market,https://www.investopaper.com/news/shree-distillery-limited-ipo/,negative,0.38713034987449646
"June 16, 2024 ",Karnali State Government Brings a Budget of Rs 31.41 Billion,NEWS,https://www.investopaper.com/news/karnali-state-government-budget/,neutral,0.4543377161026001
"June 16, 2024 ",Koshi Province Presents Budget of Rs. 35.27 Billion,NEWS,https://www.investopaper.com/news/state-1-government-budget/,negative,0.3745933771133423
"June 16, 2024 ",Sudurpaschim State Unveils Budget of Rs 31.63 Billion for FY 2081/82,NEWS,https://www.investopaper.com/news/sudurpaschim-state-government-budget/,negative,0.38336843252182007
"June 16, 2024 ",Lumbini Province Brings Budget of Rs. 38.97 Billion,NEWS,https://www.investopaper.com/news/state-5-government-budget/,neutral,0.39250341057777405
"June 16, 2024 ",Gandaki State Unveils a Budget of Rs. 33 Billion for FY 2081/82,NEWS,https://www.investopaper.com/news/gandaki-state-government-budget/,negative,0.3742377460002899
"June 16, 2024 ",Madhes State Government Announces Budget of Rs 43.89 Billion for FY 2081/82,NEWS,https://www.investopaper.com/news/state-2-government-budget/,negative,0.3784964680671692
"June 16, 2024 ",Bagmati State Government Presents a Budget of Rs 64.54 Billion,NEWS,https://www.investopaper.com/news/bagmati-state-government-budget/,neutral,0.3829635977745056
"June 16, 2024 ",Capital Expenditure at Only 44 Percent in 11 Months,NEWS,https://www.investopaper.com/news/capital-expenditure-of-nepal/,negative,0.388821542263031
"June 18, 2024 ",Vijaya Laghubitta to Skip Dividend from FY 2079/80,Stock Market,https://www.investopaper.com/news/vijaya-laghubitta-dividend/,negative,0.41223180294036865
"June 18, 2024 ",FDI Commitments in Nepal Amounting to Rs. 44 Billion This Year,NEWS,https://www.investopaper.com/news/fdi-commitments-in-nepal-amounting-to-rs-44-billion-this-year/,neutral,0.41829025745391846
"June 19, 2024 ",Nvidia Becomes Most Valuable Company in the World,NEWS,https://www.investopaper.com/news/nvidia-becomes-most-valuable-company-in-the-world/,neutral,0.4605630040168762
"June 19, 2024 ",Aadar Multi-Investment Company to Issue IPO | Appoints Muktinath Capital as Issue Manager,Stock Market,https://www.investopaper.com/news/aadar-multi-investment-company-ipo/,negative,0.3722568154335022
"June 19, 2024 ",Himalayan Bank to Float FPO | Appoints Citizens Capital as Issue Manager,Stock Market,https://www.investopaper.com/news/himalayan-bank-fpo/,negative,0.3815591335296631
"June 21, 2024 ",Guheshwori Merchant Banking and Finance to Float 2.6 Lakh Units of “Guheshwori Debenture 2089”,Stock Market,https://www.investopaper.com/news/guheshwori-debenture-2089/,negative,0.3708816170692444
"June 21, 2024 ",Nepal’s Outstanding Public Debt Grows to Rs. 2.43 Trillion,NEWS,https://www.investopaper.com/news/nepals-outstanding-public-debt-grows-to-rs-2-43-trillion/,neutral,0.3862377405166626
