"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"CGH","2025-01-07","919","924","907","914","-0.42 %","11,281.00"
"CGH","2025-01-06","902","919.9","897","917.9","1.76 %","14,747.00"
"CGH","2025-01-05","890","904","880","902","1.65 %","11,438.00"
"CGH","2025-01-02","880","890","880","887.4","0.38 %","17,446.00"
"CGH","2025-01-01","885","895","882","884","-0.56 %","8,315.00"
"CGH","2024-12-31","900","904.9","882.1","889","-1.22 %","19,880.00"
"CGH","2024-12-29","906","913.5","900","900","-0.60 %","17,732.00"
"CGH","2024-12-26","918","918","905.3","905.4","-1.37 %","17,207.00"
"CGH","2024-12-24","907.2","925","900","918","0.88 %","15,444.00"
"CGH","2024-12-23","925.1","925.1","905","910","0.33 %","11,288.00"
"CGH","2024-12-22","914.9","915","903.2","907","0.21 %","20,392.00"
"CGH","2024-12-19","912.3","930","905.1","905.1","-0.78 %","24,632.00"
"CGH","2024-12-18","915","925","911","912.2","-0.20 %","9,664.00"
"CGH","2024-12-17","925","925","907","914","0.22 %","10,635.00"
"CGH","2024-12-16","920","924","910","912","-0.76 %","21,295.00"
"CGH","2024-12-12","947.9","948","917.2","919","-1.50 %","23,893.00"
"CGH","2024-12-11","922.1","935","921","933","1.19 %","7,753.00"
"CGH","2024-12-10","927","942.4","918","922","-0.43 %","16,448.00"
"CGH","2024-12-09","948","948","925","926","-0.96 %","14,936.00"
"CGH","2024-12-08","937.2","950","921","935","-0.03 %","25,162.00"
"CGH","2024-12-05","955","965","935","935.3","-1.86 %","36,805.00"
"CGH","2024-12-04","960","979","953","953","-1.95 %","29,329.00"
"CGH","2024-12-03","993.4","993.4","962.5","972","-0.21 %","29,306.00"
"CGH","2024-12-02","929.8","1000","929.8","974","2.67 %","76,378.00"
"CGH","2024-12-01","967","967","938","948.7","-1.89 %","27,739.00"
"CGH","2024-11-28","977","977.8","956.5","967","-1.02 %","40,831.00"
"CGH","2024-11-27","956","980","952.5","977","2.30 %","57,431.00"
"CGH","2024-11-26","927.4","962","927.4","955","0.92 %","38,668.00"
"CGH","2024-11-25","940","959","930","946.3","1.43 %","33,056.00"
"CGH","2024-11-24","945","960","933","933","-1.27 %","31,999.00"
"CGH","2024-11-21","989","989","941","945","-3.08 %","80,450.00"
"CGH","2024-11-20","998.5","998.5","974.6","975","-0.41 %","59,373.00"
"CGH","2024-11-19","1020","1039","972","979","-3.17 %","119,975.00"
"CGH","2024-11-17","999.6","1030.1","995","1011","3.16 %","135,288.00"
"CGH","2024-11-14","962","998.5","958","980","3.05 %","73,697.00"
"CGH","2024-11-13","946","964","945","951","0.42 %","38,908.00"
"CGH","2024-11-12","968.8","968.8","940","947","-0.31 %","33,941.00"
"CGH","2024-11-11","962.7","962.7","945","949.9","0.64 %","43,281.00"
"CGH","2024-11-10","930","945.7","920.1","943.9","2.04 %","41,176.00"
"CGH","2024-11-06","925","933","923.3","925","-0.96 %","17,242.00"
"CGH","2024-11-05","940","949.5","928","934","-0.37 %","21,077.00"
"CGH","2024-10-30","942","960","935","937.5","0.06 %","30,925.00"
"CGH","2024-10-29","925","940","918","936.9","2.39 %","46,844.00"
"CGH","2024-10-28","924","924","910","915","0.99 %","19,287.00"
"CGH","2024-10-27","904","915","904","906","0.27 %","25,675.00"
"CGH","2024-10-24","910","916","902","903.6","-0.70 %","22,386.00"
"CGH","2024-10-23","910.1","925","905.1","910","-0.44 %","31,036.00"
"CGH","2024-10-22","910","921","903.2","914","0.44 %","37,095.00"
"CGH","2024-10-21","916.3","927","895","910","-1.83 %","53,511.00"
"CGH","2024-10-20","935","943","917","927","-1.37 %","64,174.00"
"CGH","2024-10-17","966.9","966.9","937","939.9","-0.85 %","53,658.00"
"CGH","2024-10-16","955.8","955.8","937","948","1.16 %","59,905.00"
"CGH","2024-10-15","944","944","925","937.1","-0.73 %","44,527.00"
"CGH","2024-10-09","963","963","935.5","944","-0.74 %","27,706.00"
"CGH","2024-10-08","970","970.5","932","951","-0.11 %","45,846.00"
"CGH","2024-10-07","920","969","900","952","5.19 %","286,213.00"
"CGH","2024-10-06","906","920","888","905","0.00 %","77,506.00"
"CGH","2024-10-02","940","957","890","905","-3.00 %","83,595.00"
"CGH","2024-10-01","918","949","905","933","3.67 %","80,145.00"
"CGH","2024-09-30","880","900","871","900","4.05 %","18,309.00"
"CGH","2024-09-29","870","890","858.5","865","-1.26 %","24,846.00"
"CGH","2024-09-26","909","909","869.7","876","-2.56 %","25,736.00"
"CGH","2024-09-25","859","900","850.1","899","3.93 %","29,996.00"
"CGH","2024-09-24","885","900","864","865","-2.04 %","28,213.00"
