"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"CITY","2025-01-07","901","917.9","897","901","-0.66 %","12,960.00"
"CITY","2025-01-06","875","918","875","907","3.65 %","12,123.00"
"CITY","2025-01-05","867","887.7","867","875.1","-0.78 %","7,943.00"
"CITY","2025-01-02","866","884.9","857.2","882","1.85 %","9,777.00"
"CITY","2025-01-01","854","871.5","850","866","1.31 %","1,916.00"
"CITY","2024-12-31","855.1","860","840","854.8","-1.18 %","12,261.00"
"CITY","2024-12-29","879","892","865","865","-1.49 %","8,557.00"
"CITY","2024-12-26","870.1","885","870","878.1","0.14 %","4,930.00"
"CITY","2024-12-24","872","888.9","870","876.9","0.56 %","9,903.00"
"CITY","2024-12-23","870","872","855","872","1.41 %","4,800.00"
"CITY","2024-12-22","858.3","880","851","859.9","-0.36 %","9,805.00"
"CITY","2024-12-19","889","889","863","863","-1.03 %","14,929.00"
"CITY","2024-12-18","890","906","869","872","-0.23 %","15,372.00"
"CITY","2024-12-17","866","892","866","874","-0.68 %","5,442.00"
"CITY","2024-12-16","902","902","875.1","880","-2.44 %","17,167.00"
"CITY","2024-12-12","910.5","936","902","902","-2.91 %","9,209.00"
"CITY","2024-12-11","910.1","931","910","929","0.87 %","6,725.00"
"CITY","2024-12-10","912","922","907.5","921","0.99 %","8,045.00"
"CITY","2024-12-09","900","922.9","900","912","0.77 %","10,415.00"
"CITY","2024-12-08","921","938","905","905","-1.74 %","19,069.00"
"CITY","2024-12-05","935","952.8","920.1","921","-2.85 %","15,208.00"
"CITY","2024-12-04","972","977","948","948","-2.47 %","21,334.00"
"CITY","2024-12-03","1000","1002","960","972","-2.10 %","21,704.00"
"CITY","2024-12-02","963","1025","950","992.9","4.53 %","74,336.00"
"CITY","2024-12-01","932.2","969","922","949.9","3.93 %","67,386.00"
"CITY","2024-11-28","920","947","901.6","914","-2.45 %","14,780.00"
"CITY","2024-11-27","945.9","945.9","927.1","937","0.97 %","10,062.00"
"CITY","2024-11-26","915","930","905","928","3.34 %","15,621.00"
"CITY","2024-11-25","900","918","878.1","898","0.90 %","18,293.00"
"CITY","2024-11-24","904","905","880.1","890","-1.11 %","21,979.00"
"CITY","2024-11-21","929","930","896.8","900","-2.28 %","20,904.00"
"CITY","2024-11-20","909","921","892","921","2.91 %","17,378.00"
"CITY","2024-11-19","930.1","940","895","895","-5.49 %","38,900.00"
"CITY","2024-11-17","965","985.8","942","947","-0.21 %","25,601.00"
"CITY","2024-11-14","946.4","966","935","949","0.53 %","37,284.00"
"CITY","2024-11-13","905.1","965","905.1","944","2.61 %","53,834.00"
"CITY","2024-11-12","905","930","902","920","2.20 %","35,727.00"
"CITY","2024-11-11","899","918","897","900.2","0.13 %","17,241.00"
"CITY","2024-11-10","877","899","876.1","899","2.51 %","16,147.00"
"CITY","2024-11-06","876","877","850","877","1.98 %","4,632.00"
"CITY","2024-11-05","889","889","860","860","-1.94 %","4,435.00"
"CITY","2024-10-30","860","879","855.1","877","3.15 %","19,292.00"
"CITY","2024-10-29","837","877","837","850.2","1.82 %","22,421.00"
"CITY","2024-10-28","826.5","837","818","835","3.05 %","7,340.00"
"CITY","2024-10-27","796.3","816","789.9","810.3","0.53 %","6,423.00"
"CITY","2024-10-24","795.2","817","795.2","806","0.12 %","8,989.00"
"CITY","2024-10-23","825","835","804.1","805","-2.07 %","11,422.00"
"CITY","2024-10-22","815","835","800","822","1.41 %","11,804.00"
"CITY","2024-10-21","825","832","810","810.6","-2.34 %","10,106.00"
"CITY","2024-10-20","843","877","830","830","-3.50 %","12,485.00"
"CITY","2024-10-17","857","890.8","857","860.1","-1.36 %","10,245.00"
"CITY","2024-10-16","860","892","860","872","1.99 %","9,344.00"
"CITY","2024-10-15","840","873","840","855","-0.23 %","5,909.00"
"CITY","2024-10-09","861","867.3","848","857","-0.35 %","6,530.00"
"CITY","2024-10-08","896","896","851","860","-2.26 %","7,674.00"
"CITY","2024-10-07","874","891","845","879.9","2.67 %","33,643.00"
"CITY","2024-10-06","818.6","861","818.6","857","2.88 %","12,195.00"
"CITY","2024-10-02","850","860","820","833","-1.65 %","18,867.00"
"CITY","2024-10-01","780","847","780","847","10.00 %","28,731.00"
"CITY","2024-09-30","746.2","770","736","770","3.20 %","7,296.00"
"CITY","2024-09-29","740","755","737.3","746.1","0.27 %","5,287.00"
"CITY","2024-09-26","772","789","744.1","744.1","-1.70 %","10,773.00"
"CITY","2024-09-25","748","769","732.9","757","1.47 %","11,408.00"
"CITY","2024-09-24","771.1","785.9","744.4","746","-3.87 %","10,690.00"
"CITY","2024-09-23","805","805","770","776","-3.00 %","9,751.00"
"CITY","2024-09-22","790","819.8","790","800","1.51 %","18,258.00"
"CITY","2024-09-18","787","814","784.2","788.1","-1.49 %","10,802.00"
"CITY","2024-09-16","821","837.4","795.1","800","-2.56 %","15,265.00"
"CITY","2024-09-15","885","885","821","821","-5.41 %","17,132.00"
"CITY","2024-09-12","838.1","870","838.1","868","2.00 %","10,004.00"
"CITY","2024-09-11","870","885","850","851","-0.23 %","12,916.00"
"CITY","2024-09-10","886","902.9","852.6","853","-1.84 %","9,713.00"
"CITY","2024-09-09","861","889","835","869","-0.93 %","18,661.00"
"CITY","2024-09-08","853","897","853","877.2","0.83 %","19,489.00"
"CITY","2024-09-05","863","880","846","870","0.93 %","13,951.00"
"CITY","2024-09-04","905","919","860","862","-4.75 %","15,764.00"
"CITY","2024-09-03","924","929","900","905","-0.11 %","35,913.00"
"CITY","2024-09-02","882.3","910","862.3","906","4.74 %","14,841.00"
"CITY","2024-09-01","885","899","862","865","-2.59 %","23,053.00"
"CITY","2024-08-29","887","910","877.1","888","-0.89 %","27,652.00"
"CITY","2024-08-28","915","935","882","896","-0.33 %","38,916.00"
"CITY","2024-08-27","950","977","890","899","-4.36 %","48,889.00"
"CITY","2024-08-25","974","1054","935.3","940","-3.49 %","34,089.00"
"CITY","2024-08-22","948","993","948","974","2.74 %","34,644.00"
"CITY","2024-08-21","975","985.1","941","948","-4.15 %","33,392.00"
"CITY","2024-08-18","1030","1060.8","960","989","-3.04 %","87,619.00"
"CITY","2024-08-15","1012.1","1080","992","1020","0.01 %","71,817.00"
"CITY","2024-08-14","1058.9","1058.9","1015","1019.9","-3.68 %","39,467.00"
"CITY","2024-08-13","1090","1139.3","1033.9","1058.9","-1.41 %","41,556.00"
"CITY","2024-08-12","1075.2","1122","1050","1074","0.10 %","96,212.00"
"CITY","2024-08-11","1060","1112.1","1030","1072.9","1.70 %","68,499.00"
"CITY","2024-08-08","1085","1142","1055","1055","-2.13 %","55,646.00"
"CITY","2024-08-07","985","1078","985","1078","10.00 %","111,011.00"
"CITY","2024-08-06","1083.5","1168.5","974.2","980","-7.75 %","256,472.00"
"CITY","2024-08-05","985.1","1062.3","985.1","1062.3","9.99 %","25,051.00"
"CITY","2024-08-01","880","965.8","880","965.8","10.00 %","100,145.00"
"CITY","2024-07-31","856.1","916","856.1","878","2.56 %","83,717.00"
"CITY","2024-07-30","799.7","875","799.7","856.1","4.91 %","91,616.00"
"CITY","2024-07-29","823","838","800","816","-0.73 %","58,744.00"
"CITY","2024-07-28","833.3","849","810","822","0.61 %","27,096.00"
"CITY","2024-07-25","815","833","805","817","-0.49 %","34,161.00"
"CITY","2024-07-24","840","864","817","821","-3.30 %","63,013.00"
"CITY","2024-07-23","818","861","818","849","3.68 %","64,026.00"
"CITY","2024-07-22","845","845","810","818.9","-1.81 %","48,633.00"
"CITY","2024-07-21","832","844.5","800","834","2.21 %","72,271.00"
"CITY","2024-07-18","821","844","815","816","-2.28 %","65,514.00"
"CITY","2024-07-17","795","840","781","835","7.05 %","89,263.00"
"CITY","2024-07-16","750","781","746","780","4.84 %","49,310.00"
"CITY","2024-07-15","760","770","744","744","-2.36 %","48,950.00"
"CITY","2024-07-14","770","774.9","755","762","0.29 %","48,196.00"
"CITY","2024-07-11","745.1","770","745.1","759.8","-0.03 %","31,037.00"
"CITY","2024-07-10","740","760","731.1","760","2.29 %","35,487.00"
"CITY","2024-07-09","740","766","740","743","-1.07 %","36,599.00"
"CITY","2024-07-08","750","770","743","751","-1.18 %","77,637.00"
"CITY","2024-07-07","742","780","730","760","2.43 %","106,789.00"
"CITY","2024-07-04","708","744","700","742","5.29 %","70,276.00"
"CITY","2024-07-03","690","714","690","704.7","0.10 %","32,263.00"
"CITY","2024-07-02","703.2","746.1","691","704","2.10 %","36,555.00"
"CITY","2024-07-01","676","689.5","673.1","689.5","2.00 %","14,865.00"
"CITY","2024-06-30","683","689.9","675","676","-0.44 %","14,286.00"
"CITY","2024-06-27","692","692","675.1","679","-0.44 %","18,533.00"
"CITY","2024-06-26","685.6","710","682","682","-2.50 %","21,035.00"
"CITY","2024-06-25","680","707","678","699.5","2.87 %","29,794.00"
"CITY","2024-06-24","680","693.8","676","680","0.59 %","19,298.00"
"CITY","2024-06-23","680.5","694","675.1","676","-2.03 %","29,211.00"
"CITY","2024-06-20","710","710","689.9","690","-2.02 %","39,205.00"
"CITY","2024-06-19","706.2","720","699","704.2","-0.54 %","24,961.00"
"CITY","2024-06-18","734.9","735.6","708","708","-2.21 %","41,750.00"
"CITY","2024-06-16","710","749.9","710","724","1.97 %","63,018.00"
"CITY","2024-06-13","711.1","728","700.1","710","-0.15 %","78,968.00"
"CITY","2024-06-12","700","737.4","684","711.1","1.88 %","92,586.00"
"CITY","2024-06-11","690.3","710","690.3","698","-0.14 %","22,663.00"
"CITY","2024-06-10","727","741","692.5","699","-1.94 %","56,910.00"
"CITY","2024-06-09","655","712.8","651","712.8","10.00 %","199,071.00"
"CITY","2024-06-06","638.1","654.9","637","648","1.41 %","19,106.00"
"CITY","2024-06-05","642.3","654","635.2","639","-0.47 %","13,962.00"
"CITY","2024-06-04","655.7","657","640","642","-0.14 %","25,717.00"
"CITY","2024-06-03","668","668","642.9","642.9","-2.00 %","18,850.00"
"CITY","2024-06-02","638.2","668","638.2","656","0.77 %","20,474.00"
"CITY","2024-05-30","682","682","647","651","-2.97 %","38,189.00"
"CITY","2024-05-29","669.1","694.6","659","670.9","2.27 %","44,460.00"
"CITY","2024-05-27","677","677","646.8","656","-2.09 %","78,847.00"
"CITY","2024-05-26","619","674.2","619","670","8.24 %","105,921.00"
"CITY","2024-05-22","611","637","608","619","0.98 %","71,150.00"
"CITY","2024-05-21","601","613","601","613","2.00 %","11,637.00"
"CITY","2024-05-20","611.9","614.3","600.1","601","0.17 %","18,332.00"
"CITY","2024-05-19","599.9","611","590","600","1.87 %","20,561.00"
"CITY","2024-05-16","600.1","607","588.3","589","-1.83 %","19,722.00"
"CITY","2024-05-15","615","615","596.1","600","-2.12 %","12,698.00"
"CITY","2024-05-14","610","620","599","613","1.14 %","26,048.00"
"CITY","2024-05-13","609.9","615.9","600","606.1","-1.29 %","18,325.00"
"CITY","2024-05-12","630","632.4","606","614","-1.29 %","39,791.00"
"CITY","2024-05-09","586","623","580","622","7.99 %","86,649.00"
"CITY","2024-05-08","570","578.6","567.3","576","0.00 %","1,404.00"
"CITY","2024-05-07","579","582","569.4","576","-0.69 %","5,009.00"
"CITY","2024-05-06","567.1","580","562","580","0.35 %","6,880.00"
"CITY","2024-05-05","580","590","575","578","-2.03 %","5,410.00"
"CITY","2024-05-02","606.9","606.9","581","590","-0.84 %","8,223.00"
"CITY","2024-04-30","589.8","599","570","595","2.76 %","16,505.00"
"CITY","2024-04-29","578","591.6","577","579","-0.69 %","2,560.00"
"CITY","2024-04-28","568","587.1","568","583","1.18 %","2,833.00"
"CITY","2024-04-25","576.1","586","576","576.2","-1.32 %","2,376.00"
"CITY","2024-04-24","580","595.8","576.1","583.9","-0.51 %","3,658.00"
"CITY","2024-04-22","582.1","590","581","586.9","-0.69 %","2,041.00"
"CITY","2024-04-21","576","594.8","565.1","591","2.59 %","4,245.00"
"CITY","2024-04-18","580.2","589.7","576.1","576.1","-1.86 %","6,843.00"
"CITY","2024-04-16","585","591","580","587","0.34 %","4,527.00"
"CITY","2024-04-15","603","603","585","585","-1.27 %","4,671.00"
"CITY","2024-04-14","603","604.9","587.3","592.5","-0.42 %","3,873.00"
"CITY","2024-04-10","605","616.9","590.3","595","-1.65 %","6,833.00"
"CITY","2024-04-09","609","610","590","605","1.00 %","20,696.00"
"CITY","2024-04-07","575.1","599.8","575.1","599","2.99 %","11,418.00"
"CITY","2024-04-04","580","585.4","576.1","581.6","0.90 %","4,204.00"
"CITY","2024-04-03","590","600","575.1","576.4","-2.31 %","16,524.00"
"CITY","2024-04-02","588","599","588","590","0.34 %","7,558.00"
"CITY","2024-04-01","600","604.9","586.1","588","-1.01 %","4,661.00"
"CITY","2024-03-31","605.2","605.2","586","594","0.10 %","4,694.00"
"CITY","2024-03-28","592","605","592","593.4","-0.60 %","5,390.00"
"CITY","2024-03-27","619.9","619.9","596","597","-1.94 %","2,846.00"
"CITY","2024-03-26","590.1","609.9","590","608.8","2.66 %","7,380.00"
"CITY","2024-03-25","593.1","599.9","590","593","-1.98 %","7,054.00"
"CITY","2024-03-21","599","608","596.1","605","-0.17 %","6,401.00"
"CITY","2024-03-20","600","621","595","606","-0.49 %","6,461.00"
"CITY","2024-03-19","617","617","600","609","0.66 %","5,417.00"
"CITY","2024-03-18","605","610","598.1","605","0.82 %","7,743.00"
"CITY","2024-03-17","608","619","600.1","600.1","-1.30 %","5,121.00"
"CITY","2024-03-14","624","631","607","608","-2.56 %","11,793.00"
"CITY","2024-03-13","628","640","620","624","-2.04 %","12,983.00"
"CITY","2024-03-12","612.9","637","590","637","5.99 %","23,974.00"
"CITY","2024-03-10","608","612","590.1","601","0.67 %","8,404.00"
"CITY","2024-03-07","605.9","606","585","597","0.34 %","8,354.00"
"CITY","2024-03-06","586.1","606","579","595","1.69 %","17,089.00"
"CITY","2024-03-05","613","613","585.1","585.1","-2.65 %","9,558.00"
"CITY","2024-03-04","581","601","581","601","5.48 %","50.00"
