"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"HRL","2025-01-07","815","830","810","825","1.23 %","98,799.00"
"HRL","2025-01-06","809","821","793.1","815","2.64 %","81,135.00"
"HRL","2025-01-05","791","798","787","794","0.38 %","56,720.00"
"HRL","2025-01-02","787","796.8","787","791","-0.25 %","61,166.00"
"HRL","2025-01-01","790","798","782","793","0.38 %","48,282.00"
"HRL","2024-12-31","811.9","811.9","785","790","-0.75 %","69,381.00"
"HRL","2024-12-29","801","805","793","796","-0.50 %","57,077.00"
"HRL","2024-12-26","801","814","796","800","-0.31 %","54,712.00"
"HRL","2024-12-24","795","810","795","802.5","0.84 %","63,100.00"
"HRL","2024-12-23","787.1","798.6","781","795.8","1.11 %","52,947.00"
"HRL","2024-12-22","792","800","782.3","787.1","-0.56 %","62,708.00"
"HRL","2024-12-19","785","810","785","791.5","-1.19 %","69,267.00"
"HRL","2024-12-18","809","815","800.3","801","-0.99 %","75,351.00"
"HRL","2024-12-17","808","820","802","809","0.02 %","66,294.00"
"HRL","2024-12-16","820","820","805","808.8","-1.37 %","188,460.00"
"HRL","2024-12-12","839.8","839.8","819","820","-0.41 %","92,638.00"
"HRL","2024-12-11","819.8","830","813","823.4","0.44 %","75,709.00"
"HRL","2024-12-10","817","830","815.2","819.8","-0.02 %","51,818.00"
"HRL","2024-12-09","824","837.4","817","820","-0.49 %","81,286.00"
"HRL","2024-12-08","839","844","820","824","-1.08 %","117,257.00"
"HRL","2024-12-05","841.1","848","830","833","-0.95 %","137,241.00"
"HRL","2024-12-04","859","860","841","841","-0.24 %","107,864.00"
"HRL","2024-12-03","847","852","841","843","0.12 %","84,526.00"
"HRL","2024-12-02","845","855","840","842","-0.36 %","84,649.00"
"HRL","2024-12-01","850","854","842.5","845","-1.19 %","166,608.00"
"HRL","2024-11-28","870","880","855.2","855.2","-1.70 %","111,120.00"
"HRL","2024-11-27","848","881.2","848","870","0.58 %","89,279.00"
"HRL","2024-11-26","850","869.9","850","865","2.00 %","83,993.00"
"HRL","2024-11-25","855","863","836.5","848","1.06 %","103,463.00"
"HRL","2024-11-24","850","860","838","839.1","-0.93 %","106,931.00"
"HRL","2024-11-21","861","867.9","845.2","847","-1.63 %","121,493.00"
