"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"KSY","2025-01-07","8.79","8.85","8.78","8.85","-1.12 %","1,550.00"
"KSY","2025-01-06","8.86","9.02","8.7","8.95","1.47 %","2,500.00"
"KSY","2025-01-05","8.65","9.15","8.65","8.82","0.11 %","2,750.00"
"KSY","2025-01-02","9","9.15","8.81","8.81","-1.78 %","3,400.00"
"KSY","2025-01-01","9.1","9.1","8.97","8.97","-0.88 %","1,800.00"
"KSY","2024-12-31","8.82","9.05","8.82","9.05","0.56 %","2,200.00"
"KSY","2024-12-29","8.84","9.19","8.84","9","0.00 %","1,910.00"
"KSY","2024-12-26","8.82","9.1","8.8","9","0.00 %","2,850.00"
"KSY","2024-12-24","9.01","9.19","9","9","-0.11 %","16,900.00"
"KSY","2024-12-23","9.05","9.05","9.01","9.01","-0.55 %","200.00"
"KSY","2024-12-22","9.24","9.24","8.93","9.06","0.00 %","400.00"
"KSY","2024-12-19","8.96","9.24","8.96","9.06","0.00 %","1,082.00"
"KSY","2024-12-18","9.06","9.07","9.06","9.06","-1.95 %","1,700.00"
"KSY","2024-12-17","9.06","9.24","9.06","9.24","0.00 %","13,200.00"
"KSY","2024-12-16","8.9","9.24","8.9","9.24","5.00 %","400.00"
"KSY","2024-12-12","8.91","9.11","8.78","8.8","-1.46 %","22,950.00"
"KSY","2024-12-11","9.06","9.1","8.88","8.93","-3.25 %","1,800.00"
"KSY","2024-12-10","9.04","9.23","9.03","9.23","0.33 %","1,600.00"
"KSY","2024-12-09","9.18","9.54","9","9.2","-1.71 %","2,700.00"
"KSY","2024-12-08","9.28","9.36","9.28","9.36","0.86 %","10,000.00"
"KSY","2024-12-05","9.01","9.28","9","9.28","1.98 %","400.00"
"KSY","2024-12-04","9","9.1","9","9.1","-0.76 %","500.00"
"KSY","2024-12-03","9.27","9.35","9.17","9.17","-2.96 %","1,200.00"
"KSY","2024-12-02","9.16","9.45","9.1","9.45","4.30 %","16,348.00"
"KSY","2024-12-01","9.2","9.2","9.03","9.06","-3.41 %","700.00"
"KSY","2024-11-28","9.2","9.55","9.2","9.38","0.43 %","1,000.00"
"KSY","2024-11-27","9.31","9.34","9.31","9.34","-1.68 %","500.00"
"KSY","2024-11-26","9.28","9.7","9.28","9.5","0.42 %","7,100.00"
"KSY","2024-11-25","9.47","9.65","9.46","9.46","-0.11 %","1,100.00"
"KSY","2024-11-24","9.61","9.61","9.29","9.47","0.42 %","7,800.00"
"KSY","2024-11-21","9.2","9.43","9.13","9.43","2.72 %","1,200.00"
"KSY","2024-11-20","9.15","9.31","9.15","9.18","0.55 %","6,300.00"
"KSY","2024-11-19","9.27","9.62","9.13","9.13","-3.39 %","6,400.00"
"KSY","2024-11-17","9.27","9.45","9.27","9.45","3.96 %","300.00"
"KSY","2024-11-14","8.91","9.09","8.91","9.09","2.02 %","400.00"
"KSY","2024-11-13","9.09","9.99","8.91","8.91","-1.98 %","24,800.00"
"KSY","2024-11-12","9","9.11","8.92","9.09","-0.76 %","3,700.00"
"KSY","2024-11-11","9.01","9.16","8.98","9.16","-0.11 %","900.00"
"KSY","2024-11-10","9.03","9.73","8.85","9.17","-0.33 %","5,800.00"
"KSY","2024-11-06","9.11","9.2","9.11","9.2","0.22 %","3,300.00"
"KSY","2024-11-05","9.01","9.18","9","9.18","0.00 %","1,200.00"
"KSY","2024-10-30","9","9.18","9","9.18","0.22 %","600.00"
"KSY","2024-10-29","9.47","9.47","9.16","9.16","-1.40 %","700.00"
"KSY","2024-10-28","8.95","9.29","8.94","9.29","5.81 %","26,260.00"
"KSY","2024-10-27","8.96","8.96","8.78","8.78","-1.57 %","5,600.00"
"KSY","2024-10-24","9.05","9.05","8.87","8.92","-3.25 %","2,800.00"
"KSY","2024-10-23","9.58","9.58","9.22","9.22","-2.02 %","3,000.00"
"KSY","2024-10-22","9.02","9.41","8.67","9.41","2.28 %","7,450.00"
"KSY","2024-10-21","9.2","9.2","9.02","9.2","1.55 %","2,675.00"
"KSY","2024-10-20","8.86","9.22","8.86","9.06","0.22 %","7,350.00"
"KSY","2024-10-17","8.91","9.04","8.9","9.04","0.00 %","700.00"
"KSY","2024-10-16","9.2","9.2","9.04","9.04","0.00 %","600.00"
"KSY","2024-10-15","9.04","9.04","9.04","9.04","-1.95 %","200.00"
"KSY","2024-10-09","8.87","9.4","8.87","9.22","5.98 %","500.00"
"KSY","2024-10-08","8.8","8.8","8.7","8.7","0.81 %","900.00"
"KSY","2024-10-07","9.14","9.14","8.62","8.63","-7.40 %","19,511.00"
"KSY","2024-10-06","10.09","10.09","9.32","9.32","-9.43 %","1,650.00"
"KSY","2024-10-02","10.9","10.9","10.29","10.29","-3.83 %","775.00"
"KSY","2024-10-01","9.73","10.91","8.92","10.7","7.86 %","4,550.00"
"KSY","2024-09-30","8.84","9.92","8.51","9.92","9.98 %","2,400.00"
"KSY","2024-09-29","8.47","9.02","8.47","9.02","6.49 %","1,100.00"
"KSY","2024-09-26","8.63","8.8","8.47","8.47","-3.75 %","2,700.00"
"KSY","2024-09-25","8.62","8.8","8.61","8.8","1.15 %","2,601.00"
"KSY","2024-09-24","8.85","8.87","8.68","8.7","0.00 %","9,600.00"
"KSY","2024-09-23","8.75","8.75","8.61","8.7","-0.57 %","1,650.00"
"KSY","2024-09-22","8.58","8.75","8.5","8.75","1.98 %","801.00"
"KSY","2024-09-18","8.58","8.58","8.43","8.58","0.00 %","700.00"
"KSY","2024-09-16","8.5","8.58","8.42","8.58","0.82 %","900.00"
"KSY","2024-09-15","8.61","8.61","8.45","8.51","-3.08 %","920.00"
"KSY","2024-09-12","8.44","8.95","8.44","8.78","2.09 %","1,201.00"
"KSY","2024-09-11","8.78","8.78","8.51","8.6","-3.91 %","700.00"
"KSY","2024-09-10","8.77","8.95","8.77","8.95","4.07 %","1,740.00"
"KSY","2024-09-09","8.75","8.78","8.46","8.6","-3.59 %","4,150.00"
"KSY","2024-09-08","9.18","9.3","8.92","8.92","-2.83 %","9,600.00"
"KSY","2024-09-05","9.03","9.18","9","9.18","1.55 %","2,950.00"
"KSY","2024-09-04","9.21","9.21","9.04","9.04","-3.73 %","2,700.00"
"KSY","2024-09-03","9.39","9.39","9.39","9.39","-1.98 %","2,200.00"
"KSY","2024-09-02","9.25","9.58","9.25","9.58","3.57 %","8,700.00"
"KSY","2024-09-01","9.3","9.3","9.2","9.25","-0.32 %","3,200.00"
"KSY","2024-08-29","9.1","9.28","9.1","9.28","0.00 %","5,851.00"
"KSY","2024-08-28","9.28","9.28","9.1","9.28","0.00 %","3,310.00"
"KSY","2024-08-27","8.93","9.28","8.93","9.28","1.87 %","2,350.00"
"KSY","2024-08-25","9.1","9.25","9.1","9.11","-1.73 %","610.00"
"KSY","2024-08-22","9.2","9.7","9.02","9.27","-1.17 %","6,800.00"
"KSY","2024-08-21","9.28","9.46","9.28","9.38","-0.85 %","2,350.00"
"KSY","2024-08-18","9.41","9.5","9.41","9.46","0.53 %","14,100.00"
"KSY","2024-08-15","9.3","9.6","9.18","9.41","-0.42 %","9,220.00"
"KSY","2024-08-14","9.3","9.61","9.25","9.45","2.16 %","17,900.00"
"KSY","2024-08-13","9","9.25","9","9.25","2.55 %","528,750.00"
"KSY","2024-08-12","9.35","9.35","9.02","9.02","-3.32 %","20,900.00"
"KSY","2024-08-11","8.95","9.33","8.95","9.33","6.14 %","6,700.00"
"KSY","2024-08-08","8.83","8.83","8.72","8.79","-0.45 %","1,300.00"
"KSY","2024-08-07","8.8","8.9","8.8","8.83","-1.23 %","2,400.00"
"KSY","2024-08-06","9","9.01","8.94","8.94","-1.97 %","8,400.00"
"KSY","2024-08-05","9.21","9.21","9.03","9.12","-2.88 %","3,850.00"
"KSY","2024-08-01","9.3","9.39","9.13","9.39","2.74 %","27,710.00"
"KSY","2024-07-31","9.1","9.15","8.98","9.14","0.44 %","62,480.00"
"KSY","2024-07-30","9","9.18","9","9.1","1.11 %","36,320.00"
"KSY","2024-07-29","9.1","9.12","8.95","9","-0.11 %","3,250.00"
"KSY","2024-07-28","9","9.18","9","9.01","-0.99 %","4,190.00"
"KSY","2024-07-25","9.1","9.1","8.9","9.1","0.00 %","1,200.00"
"KSY","2024-07-24","8.83","9.1","8.66","9.1","1.00 %","4,900.00"
"KSY","2024-07-23","8.83","9.3","8.83","9.01","0.00 %","900.00"
"KSY","2024-07-22","9.13","9.13","8.95","9.01","-1.31 %","900.00"
"KSY","2024-07-21","9.5","9.5","9.13","9.13","-2.14 %","3,450.00"
"KSY","2024-07-18","9.71","9.71","9.33","9.33","-5.76 %","2,750.00"
"KSY","2024-07-17","10","10.1","9.9","9.9","-1.00 %","3,200.00"
"KSY","2024-07-15","9.75","10.04","9.28","10","3.31 %","32,780.00"
"KSY","2024-07-14","9.5","9.68","9.3","9.68","3.53 %","5,020.00"
"KSY","2024-07-11","8.87","9.4","8.87","9.35","7.47 %","9,800.00"
"KSY","2024-07-10","8.36","8.7","8.36","8.7","4.19 %","1,300.00"
"KSY","2024-07-09","8.06","8.45","8.06","8.35","1.83 %","3,700.00"
"KSY","2024-07-08","8.09","8.2","8.09","8.2","-0.49 %","1,100.00"
"KSY","2024-07-07","8.24","8.56","8.09","8.24","-1.90 %","2,520.00"
"KSY","2024-07-04","8.08","8.4","8.08","8.4","2.44 %","3,000.00"
"KSY","2024-07-03","7.97","8.2","7.97","8.2","3.14 %","1,000.00"
"KSY","2024-07-02","7.87","8","7.87","7.95","-1.00 %","500.00"
"KSY","2024-07-01","8.17","8.17","8.03","8.03","-3.60 %","500.00"
"KSY","2024-06-30","8.17","8.33","8.17","8.33","0.00 %","200.00"
"KSY","2024-06-27","8","8.64","8","8.33","3.35 %","10,930.00"
"KSY","2024-06-26","8","8.22","8","8.06","0.00 %","1,500.00"
"KSY","2024-06-25","7.98","8.35","7.96","8.06","0.37 %","1,600.00"
"KSY","2024-06-24","7.95","8.16","7.95","8.03","0.88 %","1,100.00"
"KSY","2024-06-23","7.95","7.96","7.95","7.96","0.51 %","550.00"
"KSY","2024-06-20","7.77","7.92","7.77","7.92","0.13 %","1,300.00"
"KSY","2024-06-19","8","8","7.91","7.91","-3.06 %","300.00"
"KSY","2024-06-18","8.14","8.16","8","8.16","-1.69 %","1,300.00"
"KSY","2024-06-16","8.3","8.3","8.3","8.3","-1.89 %","100.00"
"KSY","2024-06-13","8.45","8.62","8.29","8.46","0.71 %","6,400.00"
"KSY","2024-06-12","8.45","8.45","8.15","8.4","0.48 %","2,410.00"
"KSY","2024-06-11","8.11","8.36","8.11","8.36","1.95 %","720.00"
"KSY","2024-06-10","8.02","8.2","7.86","8.2","0.24 %","7,100.00"
"KSY","2024-06-09","8.5","8.5","8.02","8.18","-1.92 %","1,900.00"
"KSY","2024-06-06","8.15","8.34","7.99","8.34","2.33 %","2,800.00"
"KSY","2024-06-05","8.15","8.15","8.15","8.15","-1.93 %","500.00"
"KSY","2024-06-04","8.01","8.31","8.01","8.31","2.21 %","1,200.00"
"KSY","2024-06-03","8.2","8.22","8.1","8.13","0.62 %","1,250.00"
"KSY","2024-06-02","7.99","8.21","7.99","8.08","-0.62 %","2,800.00"
"KSY","2024-05-30","8.18","8.5","8.02","8.13","-2.52 %","1,700.00"
"KSY","2024-05-29","8.5","8.5","8.34","8.34","-3.81 %","500.00"
"KSY","2024-05-27","8.19","8.67","8.19","8.67","5.86 %","2,200.00"
"KSY","2024-05-26","8.35","8.35","8.19","8.19","-3.87 %","200.00"
"KSY","2024-05-22","8.04","8.52","8.04","8.52","3.90 %","1,400.00"
"KSY","2024-05-21","8.05","8.2","8.05","8.2","-0.12 %","1,400.00"
"KSY","2024-05-20","8","8.53","8","8.21","1.99 %","2,400.00"
"KSY","2024-05-19","8","8.05","8","8.05","0.25 %","3,400.00"
"KSY","2024-05-16","8","8.04","8","8.03","-0.99 %","3,100.00"
