"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MLBBL","2025-01-07","1600","1660","1600","1613","-0.98 %","7,201.00"
"MLBBL","2025-01-06","1570","1664.9","1570","1629","1.81 %","7,343.00"
"MLBBL","2025-01-05","1565.1","1650","1565.1","1600","0.76 %","12,730.00"
"MLBBL","2025-01-02","1545","1589.5","1545","1588","0.95 %","8,839.00"
"MLBBL","2025-01-01","1532","1592","1532","1573","1.09 %","11,162.00"
"MLBBL","2024-12-31","1555","1623","1545","1556","-1.82 %","7,184.00"
"MLBBL","2024-12-29","1535","1610","1535","1584.9","1.27 %","14,612.00"
"MLBBL","2024-12-26","1537.3","1595.2","1537.3","1565","3.83 %","12,601.00"
"MLBBL","2024-12-24","1650","1736","1650","1722","2.62 %","17,189.00"
"MLBBL","2024-12-23","1640","1684.9","1640","1678","2.94 %","11,266.00"
"MLBBL","2024-12-22","1607","1647.8","1607","1630","-0.55 %","4,783.00"
"MLBBL","2024-12-19","1620","1677","1620","1639","-0.67 %","5,274.00"
"MLBBL","2024-12-18","1622","1697","1622","1650","-0.24 %","6,519.00"
"MLBBL","2024-12-17","1620","1669.9","1620","1654","0.12 %","4,891.00"
"MLBBL","2024-12-16","1627","1655","1610","1652","-0.48 %","11,740.00"
"MLBBL","2024-12-12","1670","1699.6","1651","1660","-2.24 %","6,488.00"
"MLBBL","2024-12-11","1642","1705","1642","1698","1.37 %","5,015.00"
"MLBBL","2024-12-10","1649","1697.9","1649","1675","-0.42 %","5,128.00"
"MLBBL","2024-12-09","1674","1740","1674","1682","-1.52 %","5,001.00"
"MLBBL","2024-12-08","1632","1715","1632","1708","2.59 %","16,020.00"
"MLBBL","2024-12-05","1662","1690","1640.3","1664.9","-1.78 %","9,700.00"
"MLBBL","2024-12-04","1655","1720","1655","1695","0.41 %","7,159.00"
"MLBBL","2024-12-03","1666","1699","1660","1688","-0.71 %","4,381.00"
"MLBBL","2024-12-02","1650","1705","1650","1700","1.13 %","10,732.00"
"MLBBL","2024-12-01","1671","1700","1648","1681","-1.41 %","18,114.00"
"MLBBL","2024-11-28","1729","1788","1695","1705","-3.34 %","37,622.00"
"MLBBL","2024-11-27","1920.8","1920.8","1764","1764","-10.00 %","76,453.00"
"MLBBL","2024-11-26","1752.3","1960","1720","1960","9.62 %","50,190.00"
"MLBBL","2024-11-25","1776","1818","1772","1788","-1.32 %","7,382.00"
"MLBBL","2024-11-24","1843","1917","1808","1812","-3.62 %","13,854.00"
"MLBBL","2024-11-21","1755","1950","1755","1880","5.04 %","56,211.00"
"MLBBL","2024-11-20","1740","1795","1705.6","1789.8","0.83 %","20,875.00"
"MLBBL","2024-11-19","1795","1803.9","1725","1775","0.30 %","6,932.00"
"MLBBL","2024-11-17","1725","1866","1725","1769.7","0.55 %","17,523.00"
"MLBBL","2024-11-14","1730","1819.9","1730","1760.1","0.47 %","11,057.00"
"MLBBL","2024-11-13","1736","1786","1736","1751.9","-1.08 %","5,741.00"
"MLBBL","2024-11-12","1754.2","1889","1754.2","1771.1","-1.06 %","4,898.00"
"MLBBL","2024-11-11","1695.4","1799","1695.4","1790","3.47 %","12,767.00"
"MLBBL","2024-11-10","1800","1800","1720","1730","-4.16 %","26,835.00"
"MLBBL","2024-11-06","1815","1839","1805","1805","-2.43 %","8,060.00"
