"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NICFC","2025-01-07","9.01","9.15","9.01","9.08","-0.22 %","2,800.00"
"NICFC","2025-01-06","8.96","9.3","8.96","9.1","-0.22 %","2,450.00"
"NICFC","2025-01-05","8.93","9.27","8.93","9.12","0.22 %","9,700.00"
"NICFC","2025-01-02","9","9.23","9","9.1","-0.11 %","8,450.00"
"NICFC","2025-01-01","8.85","9.14","8.85","9.11","1.00 %","3,200.00"
"NICFC","2024-12-31","8.93","9.1","8.93","9.02","-0.99 %","1,700.00"
"NICFC","2024-12-29","8.99","9.18","8.99","9.11","-0.44 %","1,800.00"
"NICFC","2024-12-26","9.11","9.2","9.1","9.15","0.55 %","3,300.00"
"NICFC","2024-12-24","9","9.18","8.92","9.1","1.11 %","1,950.00"
"NICFC","2024-12-23","8.92","9.3","8.92","9","-1.10 %","2,820.00"
"NICFC","2024-12-22","9.07","9.1","9","9.1","-1.62 %","1,900.00"
"NICFC","2024-12-19","9.25","9.26","9.25","9.25","-1.60 %","1,600.00"
"NICFC","2024-12-18","9.25","9.4","9.25","9.4","0.00 %","1,300.00"
"NICFC","2024-12-17","9.11","9.4","9.11","9.4","1.40 %","1,200.00"
"NICFC","2024-12-16","9.17","9.27","9.17","9.27","-0.64 %","2,400.00"
"NICFC","2024-12-12","9.22","9.42","9.22","9.33","-0.21 %","4,180.00"
"NICFC","2024-12-11","9.18","9.35","9.18","9.35","0.21 %","8,400.00"
"NICFC","2024-12-10","9.22","9.47","9.22","9.33","-0.74 %","3,000.00"
"NICFC","2024-12-09","9.58","9.58","9.4","9.4","0.00 %","7,020.00"
"NICFC","2024-12-08","9.57","9.8","9.4","9.4","0.00 %","5,300.00"
"NICFC","2024-12-05","9.37","9.55","9.37","9.4","-1.16 %","32,800.00"
"NICFC","2024-12-04","9.5","9.51","9.5","9.51","0.11 %","2,900.00"
"NICFC","2024-12-03","9.5","9.67","9.5","9.5","-1.55 %","11,800.00"
"NICFC","2024-12-02","9.39","9.65","9.39","9.65","2.88 %","5,600.00"
"NICFC","2024-12-01","9.34","9.4","9.33","9.38","-1.26 %","1,300.00"
"NICFC","2024-11-28","9.35","9.5","9.35","9.5","-0.31 %","13,300.00"
"NICFC","2024-11-27","9.27","9.58","9.27","9.53","1.17 %","4,850.00"
"NICFC","2024-11-26","9.25","9.5","9.25","9.42","0.21 %","4,800.00"
"NICFC","2024-11-25","9.32","9.5","9.32","9.4","-1.05 %","3,200.00"
"NICFC","2024-11-24","9.51","9.51","9.45","9.5","-2.06 %","3,320.00"
"NICFC","2024-11-21","9.7","9.9","9.51","9.7","-0.92 %","25,880.00"
"NICFC","2024-11-20","9.41","9.79","9.31","9.79","1.98 %","3,100.00"
"NICFC","2024-11-19","9.51","9.6","9.51","9.6","-1.03 %","1,500.00"
"NICFC","2024-11-17","9.8","9.89","9.7","9.7","-2.90 %","5,650.00"
"NICFC","2024-11-14","9.8","10.18","9.61","9.99","0.00 %","118,140.00"
"NICFC","2024-11-13","9.54","10.28","9.36","9.99","4.72 %","800.00"
"NICFC","2024-11-12","9.17","9.73","8.99","9.54","2.03 %","57,915.00"
"NICFC","2024-11-11","9.54","9.55","9.22","9.35","-0.11 %","6,775.00"
"NICFC","2024-11-10","8.95","9.55","8.95","9.36","3.08 %","12,287.00"
"NICFC","2024-11-06","8.9","9.08","8.9","9.08","0.00 %","3,575.00"
"NICFC","2024-11-05","9.83","9.83","9.08","9.08","-5.91 %","17,725.00"
"NICFC","2024-10-30","9.16","9.77","9.16","9.65","4.66 %","2,400.00"
"NICFC","2024-10-29","9.1","9.22","9.03","9.22","1.32 %","1,300.00"
"NICFC","2024-10-28","9.33","9.33","9.02","9.1","-0.55 %","1,100.00"
"NICFC","2024-10-27","8.74","9.33","8.74","9.15","2.69 %","6,135.00"
"NICFC","2024-10-24","8.83","9.13","8.8","8.91","-0.67 %","1,125.00"
"NICFC","2024-10-23","9.29","9.29","8.6","8.97","-3.55 %","8,925.00"
"NICFC","2024-10-22","9.28","9.31","9.28","9.3","0.22 %","2,940.00"
"NICFC","2024-10-21","9.28","9.46","9.28","9.28","0.00 %","10,800.00"
"NICFC","2024-10-20","9.28","9.48","9.28","9.28","-0.22 %","6,390.00"
"NICFC","2024-10-17","9.1","9.45","9.1","9.3","2.65 %","84,075.00"
"NICFC","2024-10-16","8.71","9.17","8.71","9.06","2.03 %","13,550.00"
"NICFC","2024-10-15","8.83","9.02","8.82","8.88","-1.11 %","4,200.00"
"NICFC","2024-10-09","8.66","8.98","8.36","8.98","2.05 %","20,225.00"
"NICFC","2024-10-08","9.09","9.09","8.6","8.8","-5.07 %","13,300.00"
"NICFC","2024-10-07","8.37","9.27","8.37","9.27","8.80 %","47,765.00"
"NICFC","2024-10-06","8.5","8.67","8.5","8.52","0.00 %","24,775.00"
"NICFC","2024-10-02","8.28","8.67","8.28","8.52","1.91 %","7,700.00"
"NICFC","2024-10-01","8.28","8.36","8.28","8.36","0.72 %","2,100.00"
"NICFC","2024-09-30","8.4","8.4","8.13","8.3","-2.70 %","12,250.00"
