"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NRM","2025-01-07","432.2","449.8","432.2","443","0.45 %","19,810.00"
"NRM","2025-01-06","432","442","422","441","3.28 %","26,300.00"
"NRM","2025-01-05","420","430","420","427","0.49 %","12,808.00"
"NRM","2025-01-02","430","430","421.5","424.9","0.00 %","11,497.00"
"NRM","2025-01-01","438","438.4","422.1","424.9","-1.19 %","14,111.00"
"NRM","2024-12-31","430.3","431","419.5","430","-2.03 %","35,170.00"
"NRM","2024-12-29","445","447.5","432.1","438.9","-0.25 %","9,071.00"
"NRM","2024-12-26","441","449","432.6","440","-2.18 %","43,117.00"
"NRM","2024-12-24","438","457.9","438","449.8","1.12 %","20,945.00"
"NRM","2024-12-23","430","445","430","444.8","2.51 %","16,757.00"
"NRM","2024-12-22","433","441.6","427","433.9","0.21 %","14,527.00"
"NRM","2024-12-19","433","440","428.1","433","-0.92 %","16,998.00"
"NRM","2024-12-18","438.5","447","430.1","437","-0.34 %","13,746.00"
"NRM","2024-12-17","435.3","448","435.3","438.5","-0.57 %","9,890.00"
"NRM","2024-12-16","450","450","440","441","-2.00 %","23,961.00"
"NRM","2024-12-12","474","474","448.9","450","-3.43 %","24,082.00"
"NRM","2024-12-11","444.1","466","444.1","466","2.87 %","16,853.00"
"NRM","2024-12-10","450","454","445.1","453","-0.22 %","11,808.00"
"NRM","2024-12-09","447","459","439.1","454","1.57 %","29,777.00"
"NRM","2024-12-08","451.1","461.9","445.1","447","-2.83 %","30,256.00"
"NRM","2024-12-05","462","470","451.1","460","-2.11 %","33,713.00"
"NRM","2024-12-04","461","483","461","469.9","-0.02 %","27,797.00"
"NRM","2024-12-03","472","479","466.2","470","0.00 %","32,565.00"
"NRM","2024-12-02","465","477.2","465","470","0.45 %","40,462.00"
"NRM","2024-12-01","465","473.2","460","467.9","0.06 %","44,365.00"
"NRM","2024-11-28","486.8","486.8","467","467.6","-2.56 %","31,529.00"
"NRM","2024-11-27","466.5","485","466.5","479.9","0.82 %","41,191.00"
"NRM","2024-11-26","465","482","455","476","2.61 %","36,238.00"
"NRM","2024-11-25","460","479.3","460","463.9","-0.02 %","36,690.00"
"NRM","2024-11-24","465.5","485","463.2","464","-2.32 %","58,369.00"
"NRM","2024-11-21","500","500","470","475","-4.04 %","67,871.00"
"NRM","2024-11-20","490.2","499","481","495","-1.00 %","112,264.00"
"NRM","2024-11-19","514","517.9","478","500","-1.57 %","100,691.00"
"NRM","2024-11-17","480","524","470","508","6.50 %","92,358.00"
"NRM","2024-11-14","452","478","452","477","3.72 %","43,744.00"
"NRM","2024-11-13","458","474","456","459.9","-1.31 %","23,633.00"
"NRM","2024-11-12","463","478.3","461","466","-0.64 %","23,088.00"
"NRM","2024-11-11","474","485","456.2","469","0.00 %","42,981.00"
