"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"PPCL","2025-01-07","288","293.7","280.2","286","-0.69 %","16,473.00"
"PPCL","2025-01-06","282.4","288","279","288","3.97 %","34,917.00"
"PPCL","2025-01-05","277","280.5","273","277","1.47 %","32,494.00"
"PPCL","2025-01-02","277.9","277.9","270","273","-0.11 %","22,878.00"
"PPCL","2025-01-01","272","277.1","268","273.3","0.48 %","13,257.00"
"PPCL","2024-12-31","277.9","280","268.5","272","-2.86 %","28,415.00"
"PPCL","2024-12-29","285","290","279","280","-2.44 %","25,809.00"
"PPCL","2024-12-26","289","294.7","284","287","0.35 %","24,809.00"
"PPCL","2024-12-24","296","296","286","286","-2.39 %","28,288.00"
"PPCL","2024-12-23","289.6","294.4","287.1","293","3.17 %","25,497.00"
"PPCL","2024-12-22","292","292","284","284","-1.05 %","42,963.00"
"PPCL","2024-12-19","302.6","303.5","286.1","287","-3.69 %","35,530.00"
"PPCL","2024-12-18","289","301","289","298","3.11 %","66,296.00"
"PPCL","2024-12-17","281","290.7","276.3","289","2.70 %","33,565.00"
"PPCL","2024-12-16","296.9","296.9","277.5","281.4","-3.40 %","37,431.00"
"PPCL","2024-12-12","297","301","286","291.3","-1.92 %","44,423.00"
"PPCL","2024-12-11","288.5","298.6","288.5","297","1.40 %","25,092.00"
"PPCL","2024-12-10","299.5","303","288","292.9","-0.34 %","38,385.00"
"PPCL","2024-12-09","288.2","307","288.2","293.9","-0.03 %","48,303.00"
"PPCL","2024-12-08","296.1","308","292","294","-2.65 %","39,768.00"
"PPCL","2024-12-05","304","319.2","301.5","302","-1.34 %","88,655.00"
"PPCL","2024-12-04","320.7","320.7","306","306.1","-2.67 %","74,599.00"
"PPCL","2024-12-03","308","321.8","308","314.5","0.80 %","102,506.00"
"PPCL","2024-12-02","320","327","308","312","-2.50 %","124,208.00"
"PPCL","2024-12-01","307.8","324.3","295","320","6.03 %","158,619.00"
"PPCL","2024-11-28","284.1","306.4","282","301.8","8.33 %","260,428.00"
"PPCL","2024-11-27","279.8","280","271","278.6","1.42 %","39,149.00"
"PPCL","2024-11-26","273.9","289.9","265","274.7","2.27 %","29,392.00"
"PPCL","2024-11-25","265","270","265","268.6","1.44 %","12,149.00"
"PPCL","2024-11-24","275","275","264.8","264.8","-2.75 %","21,113.00"
"PPCL","2024-11-21","277.79","277.79","265","272.3","-0.62 %","25,895.00"
"PPCL","2024-11-20","270.6","278","270.6","274","-0.72 %","25,948.00"
"PPCL","2024-11-19","284","284","270.5","276","-1.43 %","25,198.00"
"PPCL","2024-11-17","278","287.8","278","280","0.76 %","38,844.00"
"PPCL","2024-11-14","279","282","274","277.9","0.69 %","43,107.00"
"PPCL","2024-11-13","271","276","268","276","1.47 %","16,661.00"
"PPCL","2024-11-12","280","281","271.5","272","-2.86 %","21,229.00"
"PPCL","2024-11-11","287","287.7","276","280","-1.06 %","23,222.00"
"PPCL","2024-11-10","264.6","283.4","264.6","283","6.99 %","71,548.00"
"PPCL","2024-11-06","265","267","261.4","264.5","-0.23 %","12,038.00"
"PPCL","2024-11-05","272","272","263","265.1","-0.71 %","13,162.00"
"PPCL","2024-10-30","275.2","275.2","263.3","267","-1.07 %","20,772.00"
"PPCL","2024-10-29","263","278.7","261","269.9","2.47 %","40,696.00"
"PPCL","2024-10-28","253.1","264","253.1","263.4","2.09 %","12,485.00"
"PPCL","2024-10-27","256.6","265","256","258","-1.45 %","10,949.00"
"PPCL","2024-10-24","256.8","267","252.5","261.8","-0.08 %","12,469.00"
"PPCL","2024-10-23","267","269.3","258.5","262","-1.95 %","20,773.00"
"PPCL","2024-10-22","250","270.3","249","267.2","5.40 %","34,114.00"
"PPCL","2024-10-21","261","266.3","253.1","253.5","-2.91 %","28,157.00"
"PPCL","2024-10-20","269","269.9","259","261.1","-3.30 %","27,666.00"
"PPCL","2024-10-17","275","275","267","270","0.00 %","39,081.00"
"PPCL","2024-10-16","270","272","264.6","270","1.89 %","33,352.00"
"PPCL","2024-10-15","264","265","255","265","1.92 %","21,169.00"
"PPCL","2024-10-09","254.5","263.9","254","260","0.66 %","27,947.00"
"PPCL","2024-10-08","267","272.3","258","258.3","-4.16 %","26,211.00"
"PPCL","2024-10-07","253","275.5","253","269.5","7.58 %","80,812.00"
"PPCL","2024-10-06","249.9","253.5","235.5","250.5","1.75 %","32,262.00"
"PPCL","2024-10-02","248.2","253","243","246.2","-0.73 %","17,525.00"
"PPCL","2024-10-01","234","255.8","230.6","248","5.98 %","62,516.00"
"PPCL","2024-09-30","239.2","239.2","221.6","234","-4.10 %","84,439.00"
"PPCL","2024-09-29","270","270","244","244","-8.27 %","63,406.00"
"PPCL","2024-09-26","279.9","279.9","264.6","266","-3.94 %","23,602.00"
"PPCL","2024-09-25","270.2","277","270","276.9","1.06 %","15,041.00"
"PPCL","2024-09-24","280.4","280.5","270.2","274","-0.72 %","23,597.00"
"PPCL","2024-09-23","285","285","273","276","-1.43 %","16,745.00"
"PPCL","2024-09-22","284","295","277","280","-0.04 %","19,740.00"
"PPCL","2024-09-18","292.7","292.7","280.1","280.1","-2.40 %","15,013.00"
"PPCL","2024-09-16","295.1","296","282","287","-2.71 %","25,731.00"
"PPCL","2024-09-15","304","310.9","295","295","-2.64 %","63,358.00"
"PPCL","2024-09-12","292.1","307","290.1","303","3.80 %","29,957.00"
"PPCL","2024-09-11","291","299","290","291.9","-0.71 %","18,189.00"
"PPCL","2024-09-10","304","311","294","294","-1.97 %","26,727.00"
"PPCL","2024-09-09","305.5","305.5","293","299.9","-1.67 %","57,215.00"
"PPCL","2024-09-08","306","313","300.4","305","1.33 %","64,663.00"
"PPCL","2024-09-05","301","307.9","298","301","1.35 %","92,436.00"
