"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SMPDA","2025-01-07","921.4","955","915","948","0.85 %","4,733.00"
"SMPDA","2025-01-06","911.1","965","911.1","940","1.18 %","2,684.00"
"SMPDA","2025-01-05","900.1","963.9","900.1","929","1.95 %","4,997.00"
"SMPDA","2025-01-02","901.8","942","888.8","911.2","0.57 %","2,444.00"
"SMPDA","2025-01-01","925","927","900.1","906","-2.05 %","3,220.00"
"SMPDA","2024-12-31","922","958","897","925","-1.60 %","7,321.00"
"SMPDA","2024-12-29","928","964.9","911.1","940","-0.63 %","5,790.00"
"SMPDA","2024-12-26","930.1","946","930","946","-0.30 %","1,521.00"
"SMPDA","2024-12-24","930.6","968","930.6","948.8","-0.07 %","4,060.00"
"SMPDA","2024-12-23","937","951.6","910.3","949.5","2.32 %","2,843.00"
"SMPDA","2024-12-22","898","971.8","898","928","1.98 %","4,857.00"
"SMPDA","2024-12-19","938.4","938.4","905","910","-1.09 %","7,327.00"
"SMPDA","2024-12-18","943.5","943.5","910","920","-0.54 %","4,842.00"
"SMPDA","2024-12-17","920","954.9","920","925","-1.39 %","5,251.00"
"SMPDA","2024-12-16","950","951","925.1","938","-1.99 %","6,434.00"
"SMPDA","2024-12-12","989.4","1009","952.2","957","-1.34 %","3,013.00"
"SMPDA","2024-12-11","979.2","1018","965","970","1.04 %","3,610.00"
"SMPDA","2024-12-10","998.6","998.6","958","960","-1.95 %","7,792.00"
"SMPDA","2024-12-09","975.2","1035.8","970","979.1","-1.60 %","7,476.00"
"SMPDA","2024-12-08","1011.4","1030","980.1","995","-3.59 %","13,041.00"
"SMPDA","2024-12-05","1048.6","1091","1025","1032","-3.55 %","21,633.00"
"SMPDA","2024-12-04","1075.1","1205","1070","1070","-2.46 %","37,324.00"
"SMPDA","2024-12-03","1103.6","1148","1060","1097","1.39 %","19,113.00"
"SMPDA","2024-12-02","1045.5","1110","1015","1082","5.56 %","32,691.00"
"SMPDA","2024-12-01","1004.5","1031.3","995","1025","0.00 %","13,436.00"
"SMPDA","2024-11-28","1054","1055","1010","1025","-0.97 %","13,325.00"
"SMPDA","2024-11-27","978.1","1060","978.1","1035","3.71 %","34,433.00"
"SMPDA","2024-11-26","990","1000","975.1","998","0.81 %","6,339.00"
"SMPDA","2024-11-25","972.7","997","972.7","990","-0.25 %","2,890.00"
"SMPDA","2024-11-24","1000","1012.9","970","992.5","-0.75 %","10,328.00"
"SMPDA","2024-11-21","942.4","1019.9","942.4","1000","3.99 %","32,192.00"
"SMPDA","2024-11-20","939.3","981.2","939.3","961.6","0.48 %","5,991.00"
"SMPDA","2024-11-19","1000","1000","945.8","957","-3.14 %","13,609.00"
"SMPDA","2024-11-17","975","1000","961","988","2.92 %","17,027.00"
"SMPDA","2024-11-14","959.8","997","931","960","2.02 %","8,220.00"
"SMPDA","2024-11-13","955","958","936","941","-1.52 %","4,711.00"
"SMPDA","2024-11-12","975","988.5","955","955.5","-1.39 %","4,434.00"
"SMPDA","2024-11-11","926.1","1006","926.1","969","2.54 %","22,164.00"
"SMPDA","2024-11-10","925","948.7","918","945","2.16 %","5,388.00"
"SMPDA","2024-11-06","929","942","921.1","925","-0.43 %","1,861.00"
"SMPDA","2024-11-05","934.9","935","916.4","929","0.65 %","1,386.00"
"SMPDA","2024-10-30","917","936","917","923","0.65 %","3,922.00"
"SMPDA","2024-10-29","920","932","907","917","1.38 %","4,372.00"
