"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MATRI","2025-01-07","1231","1256","1231","1250","1.03 %","1,637.00"
"MATRI","2025-01-06","1258","1260","1236","1237.3","0.11 %","2,441.00"
"MATRI","2025-01-05","1232.5","1256.9","1232.3","1236","-1.59 %","1,732.00"
"MATRI","2025-01-02","1278","1278","1233","1256","-0.08 %","2,781.00"
"MATRI","2025-01-01","1260","1260","1235","1257","-0.24 %","1,750.00"
"MATRI","2024-12-31","1254.4","1289","1240.1","1260","-1.56 %","2,095.00"
"MATRI","2024-12-29","1255","1320","1247.1","1280","1.99 %","4,833.00"
"MATRI","2024-12-26","1250","1257","1245.3","1255","0.40 %","1,375.00"
"MATRI","2024-12-24","1240","1260","1240","1250","0.81 %","2,082.00"
"MATRI","2024-12-23","1269.4","1269.4","1235","1240","-0.37 %","833.00"
"MATRI","2024-12-22","1246","1255","1223.2","1244.6","-1.14 %","4,739.00"
"MATRI","2024-12-19","1250","1275","1245","1258.9","-0.48 %","2,708.00"
"MATRI","2024-12-18","1262","1283","1250.1","1265","0.56 %","3,517.00"
"MATRI","2024-12-17","1254","1270","1245","1258","0.32 %","1,501.00"
"MATRI","2024-12-16","1299.5","1299.5","1250.5","1254","-1.58 %","2,604.00"
"MATRI","2024-12-12","1282.5","1310","1274.1","1274.1","-0.65 %","2,389.00"
"MATRI","2024-12-11","1267","1290","1242","1282.5","0.35 %","2,648.00"
"MATRI","2024-12-10","1317","1317","1275","1278","-1.08 %","4,118.00"
"MATRI","2024-12-09","1290","1301","1281","1292","-0.62 %","1,897.00"
"MATRI","2024-12-08","1315.5","1315.5","1295","1300","-1.14 %","2,719.00"
"MATRI","2024-12-05","1337","1337","1315","1315","-1.57 %","3,071.00"
"MATRI","2024-12-04","1345","1355","1335","1336","-0.45 %","3,991.00"
"MATRI","2024-12-03","1350","1360","1341.1","1342","-0.37 %","1,473.00"
"MATRI","2024-12-02","1343","1369.8","1340","1347","0.30 %","2,783.00"
"MATRI","2024-12-01","1345","1360","1341","1343","-2.11 %","2,391.00"
"MATRI","2024-11-28","1391","1394","1370","1372","-1.15 %","3,348.00"
