"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NMLBBL","2025-01-07","664.7","680","658.2","679.8","2.27 %","9,738.00"
"NMLBBL","2025-01-06","652","667","646","664.7","3.05 %","15,594.00"
"NMLBBL","2025-01-05","650","660","641.1","645","-0.83 %","15,232.00"
"NMLBBL","2025-01-02","652","656","650","650.4","-0.70 %","6,818.00"
"NMLBBL","2025-01-01","651","670","650","655","0.46 %","6,670.00"
"NMLBBL","2024-12-31","684","684","645.2","652","-3.55 %","20,921.00"
"NMLBBL","2024-12-29","675","689","675","676","0.15 %","13,459.00"
"NMLBBL","2024-12-26","680","690","673","675","-0.74 %","11,659.00"
"NMLBBL","2024-12-24","679.9","684","675","680","1.34 %","8,707.00"
"NMLBBL","2024-12-23","667.9","671","660","671","1.36 %","7,991.00"
"NMLBBL","2024-12-22","661","670","655","662","-0.30 %","4,994.00"
"NMLBBL","2024-12-19","660.1","668.9","660.1","664","0.15 %","6,857.00"
"NMLBBL","2024-12-18","675","678","663","663","-0.75 %","7,738.00"
"NMLBBL","2024-12-17","680","680","668","668","-0.60 %","9,845.00"
"NMLBBL","2024-12-16","681","690","670","672","-2.34 %","11,168.00"
"NMLBBL","2024-12-12","690","700","687","688.1","-0.28 %","12,990.00"
"NMLBBL","2024-12-11","677","690","676.5","690","0.44 %","7,153.00"
"NMLBBL","2024-12-10","681","694.6","680","687","0.88 %","5,714.00"
"NMLBBL","2024-12-09","699","699","677.3","681","-0.74 %","8,672.00"
"NMLBBL","2024-12-08","699.9","700","686","686.1","-1.97 %","10,362.00"
"NMLBBL","2024-12-05","712","715","698.1","699.9","-1.42 %","10,528.00"
"NMLBBL","2024-12-04","716","720","705","710","0.57 %","11,020.00"
"NMLBBL","2024-12-03","717","729","706","706","-0.14 %","11,804.00"
"NMLBBL","2024-12-02","720","722.6","706","707","-0.70 %","13,540.00"
"NMLBBL","2024-12-01","724","725","712","712","-1.93 %","17,419.00"
"NMLBBL","2024-11-28","718.1","746","718.1","726","-0.75 %","16,171.00"
"NMLBBL","2024-11-27","730","735","724.7","731.5","1.18 %","11,501.00"
"NMLBBL","2024-11-26","723.1","725","714","723","0.56 %","12,184.00"
"NMLBBL","2024-11-25","720","729","717","719","0.28 %","5,533.00"
"NMLBBL","2024-11-24","728","733","717","717","-0.42 %","11,858.00"
"NMLBBL","2024-11-21","735","742.5","714","720","-2.70 %","44,113.00"
