Symbol,Date,Open,High,Low,Close,Percent Change,Volume
PHCL,2025-01-08,566.00,579.00,560.00,577.70,2.07 %,"205,830.00"
PHCL,2025-01-09,589.00,589.00,566.10,572.00,-0.99 %,"144,729.00"
PHCL,2025-01-12,572.00,574.10,555.00,566.00,-1.05 %,"101,101.00"
PHCL,2025-01-13,555.00,571.00,550.80,557.00,-1.59 %,"60,119.00"
PHCL,2025-01-15,568.00,601.00,559.00,595.00,6.82 %,"305,421.00"
PHCL,2025-01-16,601.00,601.00,581.00,588.00,-1.18 %,"123,309.00"
PHCL,2025-01-19,581.00,609.00,581.00,609.00,3.57 %,"214,848.00"
PHCL,2025-01-20,601.00,618.00,593.00,595.10,-2.28 %,"118,250.00"
PHCL,2025-01-21,586.00,592.00,575.00,576.00,-3.21 %,"109,427.00"
PHCL,2025-01-22,587.50,587.50,572.00,584.70,1.51 %,"88,342.00"
PHCL,2025-01-23,596.30,596.30,566.00,572.00,-2.17 %,"73,607.00"
PHCL,2025-01-26,583.00,590.00,570.00,574.00,0.35 %,"82,930.00"
PHCL,2025-01-27,580.00,591.00,574.00,575.10,0.19 %,"72,025.00"
PHCL,2025-01-28,586.60,594.00,576.10,584.00,1.55 %,"73,131.00"
PHCL,2025-02-02,590.00,599.90,577.10,579.00,-0.86 %,"116,177.00"
PHCL,2025-02-03,590.50,590.50,563.60,574.00,-0.86 %,"79,154.00"
PHCL,2025-02-04,585.40,606.00,566.00,601.00,4.70 %,"320,453.00"
PHCL,2025-02-05,595.00,615.00,595.00,600.00,-0.17 %,"143,256.00"
PHCL,2025-02-06,597.00,621.00,590.00,600.00,0.00 %,"166,475.00"
PHCL,2025-02-09,612.00,625.00,603.00,608.00,1.33 %,"173,943.00"
PHCL,2025-02-10,601.00,613.00,590.90,592.20,-2.60 %,"97,777.00"
PHCL,2025-02-11,592.00,637.00,582.00,616.00,4.02 %,"254,250.00"
PHCL,2025-02-12,620.00,654.00,620.00,641.00,4.06 %,"259,601.00"
PHCL,2025-02-13,648.00,679.30,641.30,649.80,1.37 %,"152,893.00"
PHCL,2025-02-16,636.90,701.20,636.90,701.20,7.91 %,"255,340.00"
PHCL,2025-02-17,687.20,687.20,668.00,680.00,-3.02 %,"225,228.00"
PHCL,2025-02-18,680.00,745.60,667.00,745.60,9.65 %,"421,383.00"
