"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"RNLI","2025-01-07","507","516","505.7","515","1.58 %","47,641.00"
"RNLI","2025-01-06","500","509","497","507","1.77 %","34,052.00"
"RNLI","2025-01-05","493","501","493","498.2","-0.52 %","15,619.00"
"RNLI","2025-01-02","495","503","492.1","500.8","1.21 %","16,004.00"
"RNLI","2025-01-01","495","495","490.1","494.8","-0.02 %","12,359.00"
"RNLI","2024-12-31","485.9","495.6","485.9","494.9","-0.18 %","25,897.00"
"RNLI","2024-12-29","494","500","493.8","495.8","-0.64 %","21,638.00"
"RNLI","2024-12-26","503.8","505.8","495.1","499","-0.95 %","18,280.00"
"RNLI","2024-12-24","496.6","507","496.6","503.8","0.66 %","22,033.00"
"RNLI","2024-12-23","495","505","492.3","500.5","1.05 %","18,605.00"
"RNLI","2024-12-22","499.6","504","495.3","495.3","-0.94 %","24,847.00"
"RNLI","2024-12-19","500","505","499.5","500","-0.99 %","50,963.00"
"RNLI","2024-12-18","500","510","500","505","-0.24 %","20,015.00"
"RNLI","2024-12-17","506","510","500.3","506.2","-0.14 %","17,408.00"
"RNLI","2024-12-16","507.3","513","505.3","506.9","-1.21 %","30,117.00"
"RNLI","2024-12-12","520","522.2","512","513.1","-1.33 %","34,927.00"
"RNLI","2024-12-11","520","523","508","520","1.27 %","22,016.00"
"RNLI","2024-12-10","526.2","526.3","512","513.5","-0.48 %","23,492.00"
"RNLI","2024-12-09","512","520.1","512","516","0.02 %","44,413.00"
"RNLI","2024-12-08","516","524.9","511.1","515.9","-0.98 %","52,931.00"
"RNLI","2024-12-05","518","526.5","518","521","-0.38 %","54,710.00"
"RNLI","2024-12-04","517","530","514.2","523","1.16 %","56,469.00"
"RNLI","2024-12-03","515","528.4","515","517","-0.58 %","41,703.00"
"RNLI","2024-12-02","510","526","510","520","0.68 %","38,879.00"
"RNLI","2024-12-01","511","517","511","516.5","-0.48 %","29,970.00"
"RNLI","2024-11-28","535","535","517.5","519","-1.70 %","32,225.00"
"RNLI","2024-11-27","508.1","542","508.1","528","2.58 %","48,720.00"
"RNLI","2024-11-26","509","516.6","505","514.7","1.12 %","31,414.00"
"RNLI","2024-11-25","503.6","513.6","503.6","509","0.20 %","24,154.00"
"RNLI","2024-11-24","515","518","506","508","-0.78 %","36,443.00"
"RNLI","2024-11-21","517","524","511","512","-1.35 %","41,105.00"
"RNLI","2024-11-20","522","525","516","519","-0.75 %","33,315.00"
"RNLI","2024-11-19","547","547","520.3","522.9","-2.63 %","58,069.00"
"RNLI","2024-11-17","540.5","551","535.1","537","1.32 %","80,827.00"
"RNLI","2024-11-14","515.1","535","515.1","530","0.99 %","47,050.00"
"RNLI","2024-11-13","520.4","531","520.4","524.8","-1.17 %","40,924.00"
"RNLI","2024-11-12","527.1","546","527.1","531","-1.12 %","38,778.00"
"RNLI","2024-11-11","535","549.9","526.1","537","0.37 %","95,279.00"
"RNLI","2024-11-10","517","545","514","535","3.48 %","67,584.00"
"RNLI","2024-11-06","523.9","523.9","512.2","517","0.60 %","45,572.00"
"RNLI","2024-11-05","507","518","505.2","513.9","0.69 %","22,017.00"
"RNLI","2024-10-30","508","517.9","505.2","510.4","0.24 %","29,858.00"
"RNLI","2024-10-29","498","515","498","509.2","1.64 %","40,082.00"
"RNLI","2024-10-28","495","505","495","501","1.09 %","29,286.00"
"RNLI","2024-10-27","485.2","510","485.2","495.6","1.14 %","25,444.00"
"RNLI","2024-10-24","492","495","489","490","-1.41 %","14,570.00"
"RNLI","2024-10-23","496","514","494","497","0.61 %","27,266.00"
"RNLI","2024-10-22","492","500","484","494","-0.40 %","62,021.00"
"RNLI","2024-10-21","500.1","505","493","496","-1.78 %","40,000.00"
"RNLI","2024-10-20","505","516","500","505","-1.75 %","42,842.00"
"RNLI","2024-10-17","508.5","520","508.5","514","0.35 %","38,152.00"
"RNLI","2024-10-16","512","517.5","506","512.2","0.87 %","26,041.00"
"RNLI","2024-10-15","496","510","496","507.8","1.16 %","9,759.00"
"RNLI","2024-10-09","495.1","504.8","490.3","502","0.40 %","15,526.00"
"RNLI","2024-10-08","512","512.9","497.1","500","-1.96 %","20,798.00"
