"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"BNL","2025-01-07","15700","15700","15700","15700","-1.94 %","10.00"
"BNL","2025-01-05","16012","16012","16011","16011","-1.98 %","20.00"
"BNL","2025-01-02","16335","16335","16335","16335","2.00 %","10.00"
"BNL","2024-12-31","16014.8","16014.8","16014.8","16014.8","-2.00 %","10.00"
"BNL","2024-12-29","16500","16500","16341.6","16341.6","-2.00 %","20.00"
"BNL","2024-12-24","16700","16700","16660","16675","-1.91 %","39.00"
"BNL","2024-12-23","16500","17000","16500","17000","1.80 %","103.00"
"BNL","2024-12-16","16500","16793","16500","16700","1.43 %","53.00"
"BNL","2024-12-12","16464","16464","16464","16464","-2.00 %","10.00"
"BNL","2024-12-09","16999","17000","16800","16800","0.63 %","40.00"
"BNL","2024-12-08","16367","16694","16050","16694","1.98 %","50.00"
"BNL","2024-12-05","16700","16700","16370","16370","-1.39 %","32.00"
"BNL","2024-12-04","16600","16600","16600","16600","0.00 %","68.00"
"BNL","2024-12-03","16350","16600","16350","16600","1.97 %","110.00"
"BNL","2024-12-02","16200","16280","16200","16280","0.49 %","58.00"
"BNL","2024-12-01","16200","16200","16200","16200","0.00 %","10.00"
"BNL","2024-11-28","16300","16300","16200","16200","-0.61 %","81.00"
"BNL","2024-11-27","16210","16600","16209.2","16300","-1.45 %","252.00"
"BNL","2024-11-26","16550","16550","16540","16540","-0.06 %","43.00"
"BNL","2024-11-25","16550","16550","16550","16550","-0.90 %","10.00"
"BNL","2024-11-24","16400","16700","16400","16700","1.83 %","20.00"
"BNL","2024-11-21","16700","16700","16366","16400","-1.57 %","110.00"
"BNL","2024-11-19","16800","16800","16662","16662","-1.99 %","21.00"
"BNL","2024-11-14","17340","17686","17000","17000","0.00 %","50.00"
"BNL","2024-11-13","17100","17100","17000","17000","-1.16 %","29.00"
"BNL","2024-11-12","17002","17200","17001","17200","0.00 %","30.00"
"BNL","2024-11-11","17200","17200","17200","17200","-0.58 %","21.00"
"BNL","2024-11-10","17093","17300","17093","17300","3.23 %","20.00"
"BNL","2024-11-06","17100","17100","16758","16758","-1.42 %","20.00"
