"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"GCIL","2025-01-07","496","510","496","501","1.01 %","42,500.00"
"GCIL","2025-01-06","489","500","486","496","1.22 %","28,056.00"
"GCIL","2025-01-05","492","502","483","490","-2.39 %","43,934.00"
"GCIL","2025-01-02","476.1","502","476.1","502","3.93 %","26,248.00"
"GCIL","2025-01-01","484","488","474.4","483","-1.02 %","26,011.00"
"GCIL","2024-12-31","495","495","477.1","488","-0.83 %","44,753.00"
"GCIL","2024-12-29","501","505","492","492.1","-1.78 %","39,275.00"
"GCIL","2024-12-26","493.7","505","493.7","501","-0.52 %","36,249.00"
"GCIL","2024-12-24","521.2","521.2","501","503.6","-1.45 %","53,577.00"
"GCIL","2024-12-23","514","514","500","511","1.39 %","94,968.00"
"GCIL","2024-12-22","479.4","506.9","479.4","504","7.23 %","137,603.00"
"GCIL","2024-12-19","480","480","469","470","-1.30 %","29,378.00"
"GCIL","2024-12-18","486","486","476","476.2","-1.00 %","12,352.00"
"GCIL","2024-12-17","476","483.9","475.2","481","-0.21 %","20,764.00"
"GCIL","2024-12-16","485","493","478","482","-1.23 %","25,255.00"
"GCIL","2024-12-12","480","504.9","480","488","1.06 %","71,100.00"
"GCIL","2024-12-11","475","484.5","475","482.9","1.62 %","10,796.00"
"GCIL","2024-12-10","479","480.5","472","475.2","-0.59 %","18,519.00"
"GCIL","2024-12-09","474","480.9","472.1","478","1.04 %","27,257.00"
"GCIL","2024-12-08","475","484","471","473.1","-0.82 %","28,042.00"
"GCIL","2024-12-05","481","487","476","477","-1.24 %","23,753.00"
"GCIL","2024-12-04","494.7","494.7","483","483","-0.41 %","30,912.00"
"GCIL","2024-12-03","484.5","494","481","485","0.12 %","25,870.00"
"GCIL","2024-12-02","480","492","480","484.4","0.50 %","32,544.00"
"GCIL","2024-12-01","480.1","485","477.1","482","-0.82 %","34,221.00"
"GCIL","2024-11-28","500","500","486","486","-2.39 %","26,253.00"
"GCIL","2024-11-27","489","498.7","486.2","497.9","1.82 %","27,349.00"
"GCIL","2024-11-26","485","498","480.3","489","1.45 %","26,133.00"
"GCIL","2024-11-25","492","492","480","482","-0.41 %","24,665.00"
"GCIL","2024-11-24","480","487","475","484","1.19 %","26,560.00"
"GCIL","2024-11-21","485","490","478","478.3","-1.38 %","31,530.00"
"GCIL","2024-11-20","480","489.6","477.7","485","0.00 %","30,400.00"
"GCIL","2024-11-19","496.2","497","483","485","-2.22 %","59,304.00"
"GCIL","2024-11-17","503","507","495.3","496","-3.29 %","119,156.00"
"GCIL","2024-11-14","513.9","517","505.1","512.9","-0.19 %","30,735.00"
"GCIL","2024-11-13","510","523","508.1","513.9","-0.58 %","36,444.00"
"GCIL","2024-11-12","516","530","514","516.9","0.31 %","41,024.00"
"GCIL","2024-11-11","515","528","509.6","515.3","0.06 %","61,117.00"
"GCIL","2024-11-10","495.1","515","495.1","515","3.31 %","45,900.00"
"GCIL","2024-11-06","500","501","495","498.5","0.28 %","8,413.00"
"GCIL","2024-11-05","508","508","496","497.1","-0.58 %","13,305.00"
"GCIL","2024-10-30","506","506","499.1","500","-1.21 %","21,031.00"
"GCIL","2024-10-29","509.8","509.8","492","506.1","1.24 %","13,788.00"
"GCIL","2024-10-28","480","521","476.5","499.9","3.71 %","23,449.00"
"GCIL","2024-10-27","492.2","499.9","481.4","482","-2.09 %","28,437.00"
"GCIL","2024-10-24","490","502.9","490","492.3","-1.14 %","17,990.00"
"GCIL","2024-10-23","500.1","506","496","498","-1.15 %","19,042.00"
"GCIL","2024-10-22","496","503.8","490.1","503.8","1.98 %","34,473.00"
"GCIL","2024-10-21","499.1","508","492","494","-2.22 %","36,865.00"
"GCIL","2024-10-20","516.5","525","505.2","505.2","-4.14 %","55,680.00"
"GCIL","2024-10-17","518.7","541","515.4","527","1.60 %","69,316.00"
"GCIL","2024-10-16","507","525","507","518.7","2.51 %","35,913.00"
"GCIL","2024-10-15","501","514","500","506","0.98 %","12,956.00"
"GCIL","2024-10-09","511","511","497","501.1","0.02 %","21,490.00"
"GCIL","2024-10-08","507","515","498.3","501","-2.72 %","34,865.00"
"GCIL","2024-10-07","517","526.3","507","515","-0.19 %","36,001.00"
"GCIL","2024-10-06","505.7","525.8","502","516","1.82 %","41,599.00"
"GCIL","2024-10-02","525","525","504.9","506.8","-3.26 %","50,599.00"
"GCIL","2024-10-01","525","525","514","523.9","1.12 %","64,163.00"
"GCIL","2024-09-30","492","518.1","490","518.1","6.82 %","99,908.00"
"GCIL","2024-09-29","465.2","496.9","465.2","485","3.43 %","44,461.00"
"GCIL","2024-09-26","470","483.4","467","468.9","-1.08 %","41,078.00"
"GCIL","2024-09-25","465.6","481","465.6","474","0.64 %","21,271.00"
"GCIL","2024-09-24","477","484.5","468","471","-1.24 %","37,861.00"
"GCIL","2024-09-23","480.1","489","472","476.9","-1.16 %","30,340.00"
"GCIL","2024-09-22","492","496","481","482.5","0.00 %","24,747.00"
"GCIL","2024-09-18","479.6","490.1","478","482.5","0.10 %","25,787.00"
"GCIL","2024-09-16","492","495","475","482","-1.65 %","48,470.00"
"GCIL","2024-09-15","518.9","519","490","490.1","-3.90 %","46,798.00"
"GCIL","2024-09-12","496","516","488","510","2.82 %","38,025.00"
"GCIL","2024-09-11","510","510","495","496","-1.76 %","42,268.00"
"GCIL","2024-09-10","515","518","501","504.9","-0.57 %","41,971.00"
"GCIL","2024-09-09","510","515","500.2","507.8","-0.43 %","50,293.00"
"GCIL","2024-09-08","516.1","525","510","510","-0.97 %","46,662.00"
"GCIL","2024-09-05","510","526.7","510","515","-0.62 %","46,070.00"
"GCIL","2024-09-04","544","546","517","518.2","-4.74 %","83,963.00"
"GCIL","2024-09-03","550","553","529.3","544","0.00 %","69,150.00"
"GCIL","2024-09-02","529","553.9","514","544","4.51 %","69,114.00"
"GCIL","2024-09-01","530.8","541","520","520.5","-2.89 %","51,175.00"
"GCIL","2024-08-29","537","544","531","536","-0.04 %","56,818.00"
"GCIL","2024-08-28","545","562","536","536.2","-0.74 %","89,758.00"
"GCIL","2024-08-27","567","572","540.2","540.2","-4.73 %","98,629.00"
"GCIL","2024-08-25","585","590","565","567","-3.08 %","107,834.00"
"GCIL","2024-08-22","575","601","572.3","585","2.45 %","135,160.00"
"GCIL","2024-08-21","570","580.2","561","571","0.37 %","119,386.00"
"GCIL","2024-08-18","595","595","566","568.9","-4.71 %","192,787.00"
"GCIL","2024-08-15","623","630","596","597","-4.17 %","161,610.00"
"GCIL","2024-08-14","602.7","635","580","623","1.30 %","350,010.00"
"GCIL","2024-08-13","628","639","607","615","-2.07 %","221,127.00"
"GCIL","2024-08-12","639","640","618.5","628","-1.72 %","246,070.00"
"GCIL","2024-08-11","625","668","615.1","639","4.26 %","316,951.00"
"GCIL","2024-08-08","550","612.9","550","612.9","10.00 %","427,554.00"
"GCIL","2024-08-07","548.2","569.9","530.2","557.2","3.67 %","119,196.00"
"GCIL","2024-08-06","584.9","585","535.1","537.5","-6.36 %","228,934.00"
"GCIL","2024-08-05","573","587.1","560.4","574","0.17 %","172,755.00"
"GCIL","2024-08-01","576.5","597","570","573","-2.05 %","199,858.00"
"GCIL","2024-07-31","568","607.9","567","585","3.54 %","265,065.00"
"GCIL","2024-07-30","567.8","572.2","549.1","565","1.49 %","126,072.00"
"GCIL","2024-07-29","549","584.4","544","556.7","1.40 %","315,974.00"
"GCIL","2024-07-28","546.7","568.6","538.1","549","2.43 %","148,282.00"
"GCIL","2024-07-25","541","551","535.1","536","-2.01 %","100,230.00"
"GCIL","2024-07-24","563","575","539.2","547","-3.68 %","183,152.00"
"GCIL","2024-07-23","551","570","546","567.9","3.07 %","165,571.00"
"GCIL","2024-07-22","540","559.9","532.6","551","2.15 %","184,175.00"
"GCIL","2024-07-21","524","547","515","539.4","2.94 %","260,015.00"
"GCIL","2024-07-18","535","542.9","518.6","524","-1.87 %","146,874.00"
"GCIL","2024-07-17","522","545","522","534","2.30 %","141,879.00"
"GCIL","2024-07-16","505.9","523","494","522","5.24 %","137,524.00"
"GCIL","2024-07-15","517.1","517.1","493.1","496","-2.17 %","116,190.00"
"GCIL","2024-07-14","503","513","492","507","2.65 %","95,737.00"
"GCIL","2024-07-11","494.8","494.8","484","493.9","1.81 %","70,435.00"
"GCIL","2024-07-10","480","490","478.5","485.1","0.02 %","62,507.00"
"GCIL","2024-07-09","487","488","481.5","485","-0.41 %","29,568.00"
"GCIL","2024-07-08","490","494","484","487","0.21 %","24,985.00"
"GCIL","2024-07-07","486","490.9","477.5","486","1.89 %","73,235.00"
"GCIL","2024-07-04","467","486.9","467","477","0.63 %","58,258.00"
"GCIL","2024-07-03","470","481","470","474","-0.84 %","26,159.00"
"GCIL","2024-07-02","477.3","514","471.1","478","2.14 %","39,967.00"
"GCIL","2024-07-01","462","471","460","468","0.43 %","23,247.00"
"GCIL","2024-06-30","460.6","476","460","466","-0.15 %","66,426.00"
"GCIL","2024-06-27","470","475","465","466.7","-1.10 %","20,744.00"
"GCIL","2024-06-26","484.6","484.6","470","471.9","-0.67 %","15,249.00"
"GCIL","2024-06-25","463.5","488","463.5","475.1","0.47 %","81,771.00"
"GCIL","2024-06-24","473.1","478","470.1","472.9","-0.23 %","22,752.00"
"GCIL","2024-06-23","476.6","480","472.7","474","-0.44 %","25,986.00"
