"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"ILI","2025-01-07","485","488","480.1","485","0.00 %","26,560.00"
"ILI","2025-01-06","475","486","475","485","1.70 %","24,690.00"
"ILI","2025-01-05","470.1","479.5","470.1","476.9","1.04 %","27,462.00"
"ILI","2025-01-02","469","473","466","472","1.07 %","18,038.00"
"ILI","2025-01-01","467","470","465.4","467","0.04 %","14,224.00"
"ILI","2024-12-31","473","473","465.2","466.8","-0.79 %","23,402.00"
"ILI","2024-12-29","470","472","465","470.5","0.11 %","15,152.00"
"ILI","2024-12-26","470","472","468","470","-0.42 %","17,721.00"
"ILI","2024-12-24","469","479.4","469","472","0.64 %","22,250.00"
"ILI","2024-12-23","460","470","459","469","1.30 %","14,308.00"
"ILI","2024-12-22","461","467","460","463","0.43 %","16,296.00"
"ILI","2024-12-19","463.1","469.7","460","461","-1.71 %","34,806.00"
"ILI","2024-12-18","466.3","472","466.3","469","-0.21 %","13,813.00"
"ILI","2024-12-17","470","473.8","465.9","470","-0.04 %","21,729.00"
"ILI","2024-12-16","478","478","470","470.2","-1.84 %","23,486.00"
"ILI","2024-12-12","489","489","478","479","-1.01 %","25,553.00"
"ILI","2024-12-11","477","483.9","471","483.9","1.45 %","12,088.00"
"ILI","2024-12-10","479.7","482","469","477","-0.52 %","38,827.00"
"ILI","2024-12-09","476","485","476","479.5","-0.10 %","25,182.00"
"ILI","2024-12-08","485","490","478.1","480","-1.23 %","32,322.00"
"ILI","2024-12-05","494","499","485.5","486","-1.62 %","23,779.00"
"ILI","2024-12-04","491.1","501","490","494","0.61 %","29,082.00"
"ILI","2024-12-03","499.9","500","490","491","-0.41 %","32,024.00"
"ILI","2024-12-02","492","498.9","492","493","0.41 %","24,663.00"
"ILI","2024-12-01","487.5","494","485","491","-0.41 %","22,797.00"
"ILI","2024-11-28","513","513","493","493","-1.99 %","32,864.00"
"ILI","2024-11-27","495","504.7","490","503","1.64 %","32,614.00"
"ILI","2024-11-26","495","500","485.8","494.9","1.83 %","23,126.00"
"ILI","2024-11-25","492","495","485.2","486","-0.18 %","16,574.00"
"ILI","2024-11-24","484.1","494.9","484.1","486.9","-0.23 %","22,705.00"
"ILI","2024-11-21","485.1","501","485.1","488","-1.41 %","30,806.00"
"ILI","2024-11-20","498.8","499","490","495","-0.76 %","25,486.00"
"ILI","2024-11-19","513","513","497","498.8","-1.42 %","54,548.00"
"ILI","2024-11-17","500","519","500","506","0.40 %","41,830.00"
"ILI","2024-11-14","501","507.8","500.2","504","0.52 %","37,349.00"
"ILI","2024-11-13","515.6","519","501","501.4","-1.67 %","26,047.00"
"ILI","2024-11-12","514","519","508.2","509.9","-0.80 %","32,423.00"
"ILI","2024-11-11","518","528","509.9","514","-0.77 %","51,104.00"
"ILI","2024-11-10","505","522","502","518","3.60 %","63,817.00"
"ILI","2024-11-06","494.1","503","494","500","1.19 %","28,616.00"
"ILI","2024-11-05","490","504","490","494.1","-0.38 %","14,238.00"
"ILI","2024-10-30","501","504","495","496","-0.74 %","25,432.00"
"ILI","2024-10-29","484","499.9","484","499.7","2.82 %","23,683.00"
"ILI","2024-10-28","475.1","486","475","486","1.67 %","15,021.00"
"ILI","2024-10-27","480","485","478","478","-0.81 %","18,635.00"
"ILI","2024-10-24","490","490.1","480","481.9","-0.33 %","31,274.00"
"ILI","2024-10-23","490","495","483","483.5","-0.51 %","28,570.00"
"ILI","2024-10-22","484","490","477","486","0.41 %","26,033.00"
"ILI","2024-10-21","493.1","495","483.1","484","-2.42 %","35,209.00"
"ILI","2024-10-20","500.9","508","491.1","496","-2.95 %","49,459.00"
"ILI","2024-10-17","508","520.2","508","511.1","-1.05 %","31,146.00"
"ILI","2024-10-16","510","519.1","510","516.5","1.81 %","26,096.00"
"ILI","2024-10-15","496","508","495.2","507.3","1.06 %","16,606.00"
"ILI","2024-10-09","505","505","493","502","0.40 %","15,486.00"
"ILI","2024-10-08","501.1","506","496","500","-0.99 %","23,159.00"
"ILI","2024-10-07","494","510","494","505","2.02 %","24,403.00"
"ILI","2024-10-06","485","495","482.3","495","2.06 %","25,001.00"
"ILI","2024-10-02","500","505.8","482","485","-2.22 %","42,536.00"
"ILI","2024-10-01","472","497","472","496","5.08 %","46,591.00"
"ILI","2024-09-30","461","474","455.1","472","2.01 %","17,565.00"
"ILI","2024-09-29","470","470","461","462.7","-1.55 %","25,343.00"
"ILI","2024-09-26","482.3","482.3","466","470","-0.63 %","28,573.00"
"ILI","2024-09-25","457","475","456","473","2.16 %","32,905.00"
"ILI","2024-09-24","470","475","460.1","463","-2.11 %","47,382.00"
"ILI","2024-09-23","487","487","471","473","-2.87 %","35,432.00"
"ILI","2024-09-22","494","500","485","487","0.41 %","24,529.00"
"ILI","2024-09-18","496","504","478.3","485","-0.41 %","38,610.00"
"ILI","2024-09-16","500","500","485","487","-1.62 %","45,347.00"
"ILI","2024-09-15","512.6","512.6","492","495","-1.51 %","58,684.00"
"ILI","2024-09-12","490.5","505","486.2","502.6","2.47 %","48,484.00"
"ILI","2024-09-11","493","505","490","490.5","-1.90 %","43,785.00"
"ILI","2024-09-10","509.3","509.3","495","500","0.10 %","54,992.00"
"ILI","2024-09-09","506","514","498","499.5","-2.12 %","64,116.00"
"ILI","2024-09-08","513","523.2","510","510.3","-0.53 %","43,591.00"
"ILI","2024-09-05","505.1","519.9","505.1","513","-0.39 %","52,153.00"
"ILI","2024-09-04","540","542","512","515","-4.45 %","87,690.00"
"ILI","2024-09-03","530","547","528","539","2.47 %","119,725.00"
"ILI","2024-09-02","503","526","493.5","526","4.47 %","82,631.00"
"ILI","2024-09-01","512","526","500","503.5","-2.23 %","96,477.00"
"ILI","2024-08-29","528","529.3","510.5","515","-0.77 %","86,343.00"
"ILI","2024-08-28","515","537","515","519","0.33 %","112,108.00"
"ILI","2024-08-27","546","549","515.1","517.3","-5.77 %","161,994.00"
"ILI","2024-08-25","569","574","549","549","-3.51 %","127,067.00"
"ILI","2024-08-22","567","575","563","569","0.35 %","122,440.00"
"ILI","2024-08-21","575","584","566","567","-1.05 %","122,994.00"
"ILI","2024-08-18","580","597","570","573","-1.24 %","244,725.00"
"ILI","2024-08-15","586","599","580","580.2","-0.74 %","193,473.00"
"ILI","2024-08-14","595.5","606","570","584.5","0.09 %","200,697.00"
"ILI","2024-08-13","600","602","571","584","-1.68 %","237,031.00"
"ILI","2024-08-12","568.1","598.7","560","594","6.64 %","231,206.00"
"ILI","2024-08-11","535","559.1","535","557","3.15 %","166,215.00"
"ILI","2024-08-08","546","560","536","540","-1.10 %","108,750.00"
"ILI","2024-08-07","521.6","548","512","546","4.68 %","126,086.00"
"ILI","2024-08-06","565","565","520","521.6","-7.27 %","162,390.00"
"ILI","2024-08-05","560","570","553.7","562.5","0.90 %","135,792.00"
"ILI","2024-08-01","535","576","535","557.5","4.40 %","205,682.00"
"ILI","2024-07-31","520","536","520","534","3.29 %","137,537.00"
"ILI","2024-07-30","508","525.3","500.1","517","1.39 %","97,569.00"
"ILI","2024-07-29","525","535","509.9","509.9","-2.88 %","99,097.00"
"ILI","2024-07-28","521.2","542","510","525","2.74 %","116,725.00"
"ILI","2024-07-25","510","520","500","511","0.59 %","101,036.00"
"ILI","2024-07-24","511","525","500","508","-0.39 %","138,092.00"
"ILI","2024-07-23","491","513","483","510","4.34 %","123,772.00"
"ILI","2024-07-22","491","494.9","480","488.8","-0.06 %","80,876.00"
"ILI","2024-07-21","485","493","478","489.1","0.89 %","101,903.00"
"ILI","2024-07-18","478","493","475","484.8","1.85 %","158,020.00"
"ILI","2024-07-17","466","479","466","476","2.59 %","80,965.00"
"ILI","2024-07-16","451","465","450","464","2.43 %","44,588.00"
"ILI","2024-07-15","472","472","450","453","-2.16 %","64,337.00"
"ILI","2024-07-14","458","475","457","463","3.10 %","59,154.00"
"ILI","2024-07-11","445","451.9","443","449.1","2.07 %","53,396.00"
"ILI","2024-07-10","446","446","438","440","0.57 %","21,743.00"
"ILI","2024-07-09","430","444","430","437.5","0.30 %","15,267.00"
"ILI","2024-07-08","445","449","435","436.2","-1.76 %","34,406.00"
"ILI","2024-07-07","439.5","448.7","433.2","444","2.30 %","59,031.00"
"ILI","2024-07-04","420","437.4","420","434","2.92 %","47,546.00"
"ILI","2024-07-03","420","425","420","421.7","-1.01 %","10,580.00"
"ILI","2024-07-02","423.8","441","423","426","2.53 %","29,807.00"
"ILI","2024-07-01","413.1","417","412.5","415.5","0.10 %","18,771.00"
"ILI","2024-06-30","417.1","418","414.7","415.1","-0.50 %","24,867.00"
"ILI","2024-06-27","421","421","415.4","417.2","-1.11 %","14,978.00"
"ILI","2024-06-26","420","423","419.9","421.9","-0.26 %","15,373.00"
"ILI","2024-06-25","420","425","418.4","423","0.48 %","16,081.00"
"ILI","2024-06-24","421.5","425","419","421","-0.82 %","29,240.00"
"ILI","2024-06-23","425.1","427","423.5","424.5","-0.70 %","26,198.00"
"ILI","2024-06-20","427.4","430","427","427.5","-0.81 %","15,945.00"
"ILI","2024-06-19","429","433.9","427.3","431","0.47 %","15,052.00"
"ILI","2024-06-18","428.2","433.7","428","429","-0.23 %","18,854.00"
"ILI","2024-06-16","440","440","430","430","-0.97 %","24,901.00"
"ILI","2024-06-13","431","439.9","431","434.2","-0.87 %","18,280.00"
"ILI","2024-06-12","444","445.9","438","438","0.02 %","21,838.00"
"ILI","2024-06-11","421","439.7","421","437.9","2.05 %","26,984.00"
"ILI","2024-06-10","428.6","433.4","427","429.1","0.12 %","24,269.00"
"ILI","2024-06-09","433","434","428","428.6","-1.02 %","28,353.00"
"ILI","2024-06-06","433.8","439","431","433","-0.18 %","21,354.00"
"ILI","2024-06-05","428","437","428","433.8","-0.53 %","14,390.00"
"ILI","2024-06-04","432.1","440","432.1","436.1","0.72 %","22,340.00"
"ILI","2024-06-03","437","440","432.1","433","-0.71 %","22,021.00"
"ILI","2024-06-02","432","443","432","436.1","-0.11 %","26,453.00"
"ILI","2024-05-30","446","447.7","436","436.6","-2.33 %","38,876.00"
"ILI","2024-05-29","466","466.1","441","447","-2.19 %","58,070.00"
"ILI","2024-05-27","451","461","447","457","2.01 %","100,189.00"
"ILI","2024-05-26","578","578","559.7","560","-1.41 %","277,933.00"
"ILI","2024-05-22","569","570","561","568","0.35 %","81,103.00"
"ILI","2024-05-21","573.4","573.4","556","566","0.68 %","67,587.00"
"ILI","2024-05-20","575.2","575.2","562","562.2","-0.32 %","84,495.00"
"ILI","2024-05-19","549.7","565","548","564","4.64 %","142,502.00"
"ILI","2024-05-16","539","544","538.2","539","-0.35 %","23,111.00"
"ILI","2024-05-15","550","554","539","540.9","-1.12 %","34,487.00"
"ILI","2024-05-14","529.2","550","529.2","547","1.30 %","30,195.00"
"ILI","2024-05-13","538","546.9","537","540","0.37 %","23,919.00"
"ILI","2024-05-12","541","546","537","538","0.37 %","39,181.00"
"ILI","2024-05-09","535","541.5","535","536","-0.06 %","36,177.00"
"ILI","2024-05-08","551.4","551.4","536.3","536.3","-0.80 %","33,790.00"
"ILI","2024-05-07","540","548.9","538","540.6","-0.26 %","34,168.00"
"ILI","2024-05-06","563","563","537.2","542","-1.81 %","78,104.00"
"ILI","2024-05-05","560","565","550.3","552","-3.16 %","198,751.00"
"ILI","2024-05-02","584.4","606","567.4","570","-0.52 %","497,057.00"
"ILI","2024-04-30","566","575","560.2","573","1.61 %","97,644.00"
"ILI","2024-04-29","571","571","559.6","563.9","-0.19 %","79,874.00"
"ILI","2024-04-28","572","575","563","565","-0.86 %","101,125.00"
"ILI","2024-04-25","560","570","551.1","569.9","3.39 %","134,774.00"
"ILI","2024-04-24","549","557","544","551.2","0.22 %","55,992.00"
"ILI","2024-04-22","549","560","541.2","550","0.18 %","84,484.00"
"ILI","2024-04-21","540","550","536","549","1.67 %","48,814.00"
"ILI","2024-04-18","545","554","540","540","-1.82 %","33,910.00"
"ILI","2024-04-16","557","557","545.3","550","-0.54 %","50,286.00"
"ILI","2024-04-15","540","559","540","553","1.43 %","72,790.00"
"ILI","2024-04-14","550.4","560","545","545.2","-0.94 %","30,447.00"
"ILI","2024-04-10","560","561","550","550.4","-1.20 %","69,514.00"
"ILI","2024-04-09","555","563","550","557.1","1.48 %","85,802.00"
"ILI","2024-04-07","526","552","525.6","549","4.57 %","79,530.00"
"ILI","2024-04-04","521","530","521","525","0.19 %","22,748.00"
"ILI","2024-04-03","529.7","535","521.9","524","0.89 %","30,851.00"
"ILI","2024-04-02","519","524.7","518.3","519.4","0.13 %","20,311.00"
"ILI","2024-04-01","533.4","533.4","517","518.7","-0.82 %","25,098.00"
"ILI","2024-03-31","525","529.5","521","523","-1.19 %","17,913.00"
"ILI","2024-03-28","535","535","528","529.3","-0.69 %","19,063.00"
"ILI","2024-03-27","527.3","535","527.3","533","0.32 %","22,284.00"
"ILI","2024-03-26","526.8","536","526.8","531.3","-0.21 %","19,504.00"
"ILI","2024-03-25","538","539","532.1","532.4","-1.15 %","22,327.00"
"ILI","2024-03-21","542","544","538.4","538.6","-0.54 %","18,917.00"
"ILI","2024-03-20","543","546","540","541.5","-0.13 %","23,240.00"
"ILI","2024-03-19","545","552","542","542.2","-0.51 %","23,356.00"
"ILI","2024-03-18","547","553","543.1","545","-0.37 %","25,228.00"
"ILI","2024-03-17","541","555","541","547","0.37 %","53,186.00"
"ILI","2024-03-14","554","560","544","545","-1.94 %","48,617.00"
"ILI","2024-03-13","569.1","569.1","551.1","555.8","-0.39 %","50,077.00"
"ILI","2024-03-12","530","569","530","558","4.49 %","97,113.00"
"ILI","2024-03-10","530","535.5","524.1","534","2.10 %","29,787.00"
"ILI","2024-03-07","520","530","520","523","0.58 %","20,446.00"
"ILI","2024-03-06","511.3","526.8","511.3","520","0.00 %","29,200.00"
"ILI","2024-03-05","545","545","519","520","-3.53 %","49,088.00"
"ILI","2024-03-04","515","545","515","539","6.63 %","2,760.00"
"ILI","2024-03-03","512","513.1","505","505.5","-1.37 %","30,789.00"
"ILI","2024-02-29","524","528","510.3","512.5","-2.19 %","38,502.00"
"ILI","2024-02-28","520.2","527.8","520.2","524","-0.38 %","19,395.00"
"ILI","2024-02-27","522.2","530","522.1","526","0.00 %","14,805.00"
"ILI","2024-02-26","520.1","530","520.1","526","1.15 %","29,546.00"
"ILI","2024-02-25","514.9","546","514.9","520","0.99 %","51,268.00"
"ILI","2024-02-22","514","525","513","514.9","-1.15 %","42,540.00"
"ILI","2024-02-21","525","534","520","520.9","-0.80 %","26,334.00"
