"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NICGF","2025-01-07","10.8","10.81","10.59","10.81","1.98 %","164,425.00"
"NICGF","2025-01-06","10.6","10.6","10.4","10.6","1.44 %","15,800.00"
"NICGF","2025-01-05","10.37","10.45","10.37","10.45","-1.04 %","5,100.00"
"NICGF","2025-01-02","10.35","10.56","10.35","10.56","1.54 %","6,100.00"
"NICGF","2025-01-01","10.32","10.4","10.32","10.4","0.87 %","11,000.00"
"NICGF","2024-12-31","10.5","10.5","10.2","10.31","-0.19 %","103,000.00"
"NICGF","2024-12-29","10.33","10.33","10.33","10.33","-0.67 %","170.00"
"NICGF","2024-12-26","10.42","10.42","10.02","10.4","-2.16 %","264,980.00"
"NICGF","2024-12-24","10.6","10.63","10.29","10.63","0.00 %","239,775.00"
"NICGF","2024-12-23","10.79","10.79","10.63","10.63","0.28 %","600.00"
"NICGF","2024-12-22","10.43","10.6","10.43","10.6","0.00 %","32,404.00"
"NICGF","2024-12-19","10.56","10.6","10.56","10.6","-0.84 %","6,600.00"
"NICGF","2024-12-18","10.7","10.7","10.68","10.69","-0.56 %","12,500.00"
"NICGF","2024-12-17","10.81","10.84","10.7","10.75","-2.18 %","19,700.00"
"NICGF","2024-12-12","10.74","10.99","10.74","10.99","0.83 %","15,200.00"
"NICGF","2024-12-11","10.7","10.9","10.7","10.9","1.68 %","1,330.00"
"NICGF","2024-12-10","10.79","10.79","10.7","10.72","-0.65 %","23,160.00"
"NICGF","2024-12-09","10.79","10.81","10.79","10.79","-1.01 %","36,100.00"
"NICGF","2024-12-08","10.85","10.9","10.85","10.9","-0.09 %","7,326.00"
"NICGF","2024-12-05","11","11","10.91","10.91","-0.46 %","47,650.00"
"NICGF","2024-12-04","10.9","11","10.9","10.96","0.09 %","10,700.00"
"NICGF","2024-12-03","11","11.09","10.9","10.95","0.46 %","100,880.00"
"NICGF","2024-12-02","11.04","11.04","10.84","10.9","-1.27 %","7,800.00"
"NICGF","2024-12-01","11","11.1","11","11.04","0.36 %","8,958.00"
"NICGF","2024-11-28","11.01","11.01","11","11","-0.99 %","2,488.00"
"NICGF","2024-11-27","10.82","11.11","10.82","11.11","2.68 %","17,650.00"
"NICGF","2024-11-26","10.85","10.9","10.8","10.82","-0.28 %","2,150.00"
"NICGF","2024-11-25","10.9","10.94","10.85","10.85","-0.82 %","15,800.00"
"NICGF","2024-11-24","10.61","10.94","10.61","10.94","1.39 %","21,725.00"
"NICGF","2024-11-21","10.56","10.97","10.56","10.79","0.19 %","25,020.00"
"NICGF","2024-11-20","10.75","10.79","10.75","10.77","-1.01 %","86,000.00"
"NICGF","2024-11-19","10.8","10.88","10.8","10.88","0.28 %","4,900.00"
"NICGF","2024-11-17","10.7","10.9","10.7","10.85","-0.46 %","12,000.00"
"NICGF","2024-11-14","11.12","11.12","10.9","10.9","-0.09 %","5,400.00"
"NICGF","2024-11-13","10.82","11.03","10.82","10.91","-0.73 %","8,450.00"
"NICGF","2024-11-12","10.76","10.99","10.76","10.99","0.55 %","10,200.00"
"NICGF","2024-11-11","11","11.22","10.78","10.93","-0.64 %","7,100.00"
"NICGF","2024-11-10","10.98","11","10.91","11","0.92 %","4,251.00"
"NICGF","2024-11-06","10.7","10.9","10.6","10.9","1.21 %","11,050.00"
"NICGF","2024-11-05","10.98","10.98","10.77","10.77","-3.84 %","1,400.00"
"NICGF","2024-10-30","10.79","11.2","10.61","11.2","1.73 %","22,494.00"
"NICGF","2024-10-29","10.8","11.01","10.7","11.01","3.57 %","24,337.00"
"NICGF","2024-10-28","10.6","10.81","10.6","10.63","0.38 %","2,100.00"
"NICGF","2024-10-27","10.5","10.85","10.5","10.59","1.63 %","16,400.00"
"NICGF","2024-10-24","10.4","10.49","10.4","10.42","-1.33 %","20,700.00"
"NICGF","2024-10-23","10.63","10.63","10.42","10.56","-2.58 %","13,325.00"
"NICGF","2024-10-22","10.84","10.84","10.81","10.84","0.00 %","1,875.00"
"NICGF","2024-10-21","10.84","10.84","10.84","10.84","-1.19 %","29,385.00"
"NICGF","2024-10-20","10.79","10.97","10.7","10.97","1.95 %","351,123.00"
"NICGF","2024-10-17","10.83","10.9","10.72","10.76","1.22 %","65,250.00"
"NICGF","2024-10-16","10.59","10.69","10.59","10.63","0.19 %","25,570.00"
"NICGF","2024-10-15","10.68","10.69","10.61","10.61","-0.84 %","3,235.00"
"NICGF","2024-10-09","10.56","10.7","10.56","10.7","3.28 %","5,300.00"
"NICGF","2024-10-08","10.52","10.52","10.36","10.36","-3.45 %","12,100.00"
"NICGF","2024-10-07","10.6","10.74","10.6","10.73","2.00 %","176,105.00"
"NICGF","2024-10-06","10","10.52","10","10.52","3.65 %","114,130.00"
"NICGF","2024-10-02","10.15","10.15","10.15","10.15","1.50 %","3,000.00"
"NICGF","2024-10-01","10","10.19","10","10","-1.96 %","72,600.00"
"NICGF","2024-09-30","9.9","10.2","9.9","10.2","1.59 %","22,436.00"
"NICGF","2024-09-29","9.85","10.04","9.85","10.04","0.20 %","1,500.00"
"NICGF","2024-09-25","9.95","10.3","9.95","10.02","-1.28 %","78,345.00"
"NICGF","2024-09-24","10.1","10.35","10.1","10.15","1.50 %","127,380.00"
"NICGF","2024-09-23","10.12","10.21","10","10","-3.10 %","49,200.00"
"NICGF","2024-09-22","10.31","10.5","10.2","10.32","0.19 %","21,750.00"
"NICGF","2024-09-18","10.72","10.72","10.3","10.3","-5.76 %","26,350.00"
"NICGF","2024-09-16","10.72","10.93","10.19","10.93","0.00 %","14,450.00"
"NICGF","2024-09-15","10.95","11.16","10.53","10.93","-2.15 %","33,800.00"
"NICGF","2024-09-12","11.1","11.17","11","11.17","0.54 %","65,870.00"
"NICGF","2024-09-11","11.32","11.32","11.11","11.11","-0.80 %","22,300.00"
"NICGF","2024-09-10","11.3","11.3","11.08","11.2","-0.44 %","27,700.00"
"NICGF","2024-09-09","11.2","11.32","11.02","11.25","0.45 %","20,600.00"
