"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SARBTM","2025-01-07","742","759","736.1","749","1.77 %","62,032.00"
"SARBTM","2025-01-06","719.9","738","712","736","3.37 %","27,790.00"
"SARBTM","2025-01-05","710","720","710","712","-0.14 %","13,050.00"
"SARBTM","2025-01-02","711","715","708","713","-0.14 %","20,616.00"
"SARBTM","2025-01-01","705","715","705","714","1.28 %","16,927.00"
"SARBTM","2024-12-31","716","716.9","700","705","-1.67 %","32,480.00"
"SARBTM","2024-12-29","727.8","733","715.1","717","0.33 %","39,782.00"
"SARBTM","2024-12-26","751","769.9","751","764.7","-0.04 %","36,809.00"
"SARBTM","2024-12-24","796","796","765","765","-2.17 %","28,857.00"
"SARBTM","2024-12-23","772","788","765","782","1.56 %","62,486.00"
"SARBTM","2024-12-22","749.1","775.2","743","770","2.80 %","74,803.00"
"SARBTM","2024-12-19","764.9","767","746","749","-1.42 %","29,928.00"
"SARBTM","2024-12-18","769","769","753","759.8","0.11 %","22,413.00"
"SARBTM","2024-12-17","755","766.8","755","759","-0.13 %","30,069.00"
"SARBTM","2024-12-16","785","790","760","760","-2.56 %","33,788.00"
"SARBTM","2024-12-12","774","799.9","750","780","2.78 %","277,635.00"
"SARBTM","2024-12-11","750","758.9","747","758.9","0.78 %","31,999.00"
"SARBTM","2024-12-10","750.2","754","743","753","0.53 %","31,610.00"
"SARBTM","2024-12-09","769","769","749","749","-0.77 %","35,525.00"
"SARBTM","2024-12-08","765.9","765.9","745","754.8","0.52 %","34,111.00"
"SARBTM","2024-12-05","788","788","750.9","750.9","-2.86 %","39,248.00"
"SARBTM","2024-12-04","780.4","780.4","760","773","1.03 %","38,114.00"
"SARBTM","2024-12-03","773.9","774","761.1","765.1","-1.15 %","24,172.00"
"SARBTM","2024-12-02","790.5","790.5","754","774","-0.13 %","74,683.00"
"SARBTM","2024-12-01","752.8","775","752.8","775","1.71 %","62,184.00"
"SARBTM","2024-11-28","775","775","760","762","-1.42 %","42,600.00"
"SARBTM","2024-11-27","759.3","778.9","759.3","773","0.93 %","28,434.00"
"SARBTM","2024-11-26","772.1","772.1","755","765.9","1.18 %","33,065.00"
"SARBTM","2024-11-25","760","760","745","757","0.66 %","32,603.00"
"SARBTM","2024-11-24","752.6","759.9","747","752","0.53 %","39,338.00"
"SARBTM","2024-11-21","760","762","748","748","-1.58 %","44,466.00"
"SARBTM","2024-11-20","756","768.5","747.2","760","0.53 %","27,377.00"
"SARBTM","2024-11-19","778","785","754.6","756","-2.83 %","46,280.00"
"SARBTM","2024-11-17","780.1","790","774","778","-1.89 %","65,930.00"
"SARBTM","2024-11-14","797.9","805","787","793","0.38 %","32,063.00"
"SARBTM","2024-11-13","795","797","787","790","-0.63 %","30,141.00"
"SARBTM","2024-11-12","800","819","789.1","795","-0.50 %","60,013.00"
"SARBTM","2024-11-11","800","813.8","787","799","0.66 %","45,557.00"
"SARBTM","2024-11-10","770.1","795","770.1","793.8","3.32 %","63,205.00"
"SARBTM","2024-11-06","776","780","767","768.3","-0.99 %","36,138.00"
"SARBTM","2024-11-05","790","790","775","776","-0.26 %","12,413.00"
"SARBTM","2024-10-30","785","791","775.1","778","-0.88 %","19,763.00"
"SARBTM","2024-10-29","785","796.9","780","784.9","1.54 %","21,141.00"
"SARBTM","2024-10-28","766","777","755","773","2.93 %","33,637.00"
"SARBTM","2024-10-27","743","765","743","751","-0.91 %","22,751.00"
"SARBTM","2024-10-24","760","767","755","757.9","-0.41 %","21,922.00"
"SARBTM","2024-10-23","780","783.9","761","761","-1.17 %","38,901.00"
"SARBTM","2024-10-22","756","770.1","752","770","1.99 %","56,585.00"
"SARBTM","2024-10-21","775","785","755","755","-3.21 %","52,523.00"
"SARBTM","2024-10-20","790","800","779","780","-1.89 %","86,896.00"
"SARBTM","2024-10-17","823","834","795","795","-1.49 %","79,104.00"
"SARBTM","2024-10-16","803.7","825","786","807","2.41 %","77,725.00"
"SARBTM","2024-10-15","793.9","793.9","780","788","-0.25 %","15,994.00"
"SARBTM","2024-10-09","770.7","790","767","790","1.54 %","41,090.00"
"SARBTM","2024-10-08","790","790","770","778","-0.38 %","34,582.00"
"SARBTM","2024-10-07","804","804","780.4","781","-1.26 %","49,263.00"
"SARBTM","2024-10-06","765","800","760","791","4.08 %","74,197.00"
"SARBTM","2024-10-02","804","809","750","760","-5.47 %","131,490.00"
"SARBTM","2024-10-01","805","817.9","794","804","0.75 %","97,865.00"
"SARBTM","2024-09-30","730","799","725","798","9.47 %","227,371.00"
"SARBTM","2024-09-29","696.8","757","696.8","729","2.53 %","90,240.00"
"SARBTM","2024-09-26","730","737","698","711","-1.93 %","67,852.00"
"SARBTM","2024-09-25","727","748.3","715","725","0.00 %","72,755.00"
"SARBTM","2024-09-24","758","764","718.5","725","-3.97 %","67,328.00"
"SARBTM","2024-09-23","778","785","745","755","-2.04 %","57,522.00"
"SARBTM","2024-09-22","796","804","769","770.7","-1.45 %","54,088.00"
"SARBTM","2024-09-18","800","805","779.1","782","-2.13 %","23,753.00"
"SARBTM","2024-09-16","808","819","782","799","-1.11 %","34,613.00"
"SARBTM","2024-09-15","839.6","840","805","808","-2.53 %","34,954.00"
"SARBTM","2024-09-12","819","830","801.1","829","1.71 %","25,516.00"
"SARBTM","2024-09-11","830","830","812","815.1","-0.23 %","24,615.00"
"SARBTM","2024-09-10","821","836","805","817","-0.74 %","54,043.00"
"SARBTM","2024-09-09","833","844.5","821","823.1","-1.07 %","26,536.00"
"SARBTM","2024-09-08","841","860","824","832","0.85 %","39,533.00"
"SARBTM","2024-09-05","832","842","820","825","-0.84 %","29,257.00"
"SARBTM","2024-09-04","868","875","830","832","-3.26 %","33,770.00"
"SARBTM","2024-09-03","884.2","884.3","858","860","-1.60 %","33,274.00"
"SARBTM","2024-09-02","848","879","838","874","4.80 %","43,766.00"
"SARBTM","2024-09-01","826.1","860","826.1","834","-1.06 %","35,894.00"
"SARBTM","2024-08-29","861","870","840.2","842.9","-1.99 %","39,880.00"
"SARBTM","2024-08-28","880","900","853","860","-1.15 %","34,189.00"
"SARBTM","2024-08-27","885.1","908","861.1","870","-2.36 %","50,194.00"
"SARBTM","2024-08-25","905.1","930","889","891","-2.41 %","50,889.00"
"SARBTM","2024-08-22","936","942","910","913","-1.30 %","69,946.00"
"SARBTM","2024-08-21","974","974","914.5","925","-3.14 %","71,209.00"
"SARBTM","2024-08-18","989","989","930","955","-1.55 %","82,504.00"
"SARBTM","2024-08-15","1000","1012","955","970","-2.02 %","83,170.00"
"SARBTM","2024-08-14","975","1002.8","962","990","1.95 %","93,770.00"
"SARBTM","2024-08-13","996","1000","960.5","971.1","-1.92 %","89,549.00"
"SARBTM","2024-08-12","1017","1017","990","990.1","-2.55 %","118,519.00"
"SARBTM","2024-08-11","1009.8","1060","981.5","1016","2.63 %","157,686.00"
"SARBTM","2024-08-08","910","990","891","990","10.00 %","252,172.00"
"SARBTM","2024-08-07","888","907","864","900","3.33 %","68,964.00"
"SARBTM","2024-08-06","940","940","867","871","-5.74 %","116,061.00"
"SARBTM","2024-08-05","914","937.1","911","924","0.98 %","83,588.00"
"SARBTM","2024-08-01","941","963","910","915","-2.56 %","125,592.00"
"SARBTM","2024-07-31","915","959.9","911","939","3.07 %","106,833.00"
"SARBTM","2024-07-30","900","925","894","911","0.89 %","67,915.00"
"SARBTM","2024-07-29","900.2","938","890","903","0.33 %","150,207.00"
"SARBTM","2024-07-28","903.7","921","882.6","900","1.58 %","77,417.00"
"SARBTM","2024-07-25","877","907.6","877","886","-0.89 %","82,154.00"
"SARBTM","2024-07-24","920","938","882","894","-2.83 %","124,796.00"
"SARBTM","2024-07-23","875","921","863","920","6.49 %","109,560.00"
"SARBTM","2024-07-22","860.2","875.1","851","863.9","0.92 %","88,366.00"
"SARBTM","2024-07-21","850","873","842","856","1.04 %","85,066.00"
"SARBTM","2024-07-18","881","881","847.2","847.2","-1.94 %","80,598.00"
"SARBTM","2024-07-17","846","869","838","864","3.66 %","101,874.00"
"SARBTM","2024-07-16","805","836.1","805","833.5","3.35 %","49,647.00"
"SARBTM","2024-07-15","835","835","806","806.5","-1.90 %","43,262.00"
"SARBTM","2024-07-14","819","834.5","805","822.1","2.38 %","59,118.00"
"SARBTM","2024-07-11","807","813","800","803","-0.25 %","36,276.00"
"SARBTM","2024-07-10","792","809.9","791","805","0.88 %","47,301.00"
"SARBTM","2024-07-09","809","809","792.1","798","0.00 %","23,969.00"
"SARBTM","2024-07-08","815.9","819","795.1","798","-1.60 %","19,769.00"
"SARBTM","2024-07-07","792","815","790","811","2.66 %","53,304.00"
"SARBTM","2024-07-04","778.6","809","778.6","790","-0.55 %","26,950.00"
"SARBTM","2024-07-03","793.1","795.7","785.3","794.4","-0.70 %","20,091.00"
"SARBTM","2024-07-02","795.6","856.8","785.1","800","2.56 %","42,999.00"
"SARBTM","2024-07-01","769","781.9","768.4","780","1.04 %","12,859.00"
"SARBTM","2024-06-30","773","782","768.4","772","0.25 %","17,230.00"
"SARBTM","2024-06-27","781","783","770.1","770.1","-1.65 %","19,219.00"
"SARBTM","2024-06-26","805.8","805.8","775","783","-0.89 %","18,330.00"
"SARBTM","2024-06-25","793.5","793.5","770.2","790","1.54 %","21,578.00"
"SARBTM","2024-06-24","795.3","795.3","775.1","778","-0.23 %","23,180.00"
"SARBTM","2024-06-23","776","789.9","770.1","779.8","-0.54 %","18,688.00"
"SARBTM","2024-06-20","800","800","780","784","-0.63 %","22,490.00"
"SARBTM","2024-06-19","796","803","781","789","-0.50 %","26,249.00"
"SARBTM","2024-06-18","801.1","810","788.5","793","-1.31 %","45,563.00"
"SARBTM","2024-06-16","812","820","801","803.5","-1.41 %","36,880.00"
"SARBTM","2024-06-13","827","838.9","812.1","815","-1.45 %","34,512.00"
"SARBTM","2024-06-12","830.1","846","826","827","0.24 %","53,908.00"
"SARBTM","2024-06-11","815","828","810","825","1.59 %","27,488.00"
"SARBTM","2024-06-10","809.9","821","808","812.1","0.45 %","34,623.00"
"SARBTM","2024-06-09","811","819","807","808.5","0.19 %","33,305.00"
"SARBTM","2024-06-06","808.1","825","805.1","807","-0.25 %","48,669.00"
"SARBTM","2024-06-05","840.4","840.4","809","809","-1.82 %","40,046.00"
"SARBTM","2024-06-04","809.5","845","809.5","824","-0.24 %","30,969.00"
"SARBTM","2024-06-03","845","845","824","826","-1.08 %","39,665.00"
"SARBTM","2024-06-02","865.9","865.9","833","835","-1.65 %","54,789.00"
"SARBTM","2024-05-30","868","868","838","849","-0.96 %","59,600.00"
"SARBTM","2024-05-29","834.3","877.7","820","857.2","4.79 %","165,091.00"
"SARBTM","2024-05-27","814","845.5","806","818","1.61 %","70,092.00"
"SARBTM","2024-05-26","810","826.5","802","805","-0.65 %","48,335.00"
"SARBTM","2024-05-22","817","825","810","810.3","-0.15 %","40,109.00"
"SARBTM","2024-05-21","823.2","835.9","811.5","811.5","-1.04 %","48,249.00"
"SARBTM","2024-05-20","838","853.5","819","820","-1.20 %","121,905.00"
"SARBTM","2024-05-19","826.2","841.5","807.1","830","2.47 %","62,629.00"
"SARBTM","2024-05-16","787","815","787","810","2.53 %","61,620.00"
"SARBTM","2024-05-15","776","807","774","790","2.60 %","84,415.00"
"SARBTM","2024-05-14","779","779","765","770","0.65 %","22,078.00"
"SARBTM","2024-05-13","772.1","778","760.1","765","-0.92 %","17,153.00"
"SARBTM","2024-05-12","747","784.9","743","772.1","3.61 %","69,237.00"
"SARBTM","2024-05-09","750","760","745.2","745.2","-0.64 %","26,605.00"
"SARBTM","2024-05-08","758","760","741","750","-0.92 %","36,896.00"
"SARBTM","2024-05-07","781","781","755","757","-1.16 %","37,466.00"
"SARBTM","2024-05-06","762","775","760.2","765.9","-0.01 %","32,433.00"
"SARBTM","2024-05-05","776","789.9","760","766","-1.29 %","39,044.00"
"SARBTM","2024-05-02","788","798","775.9","776","-1.26 %","41,060.00"
"SARBTM","2024-04-30","790","800","777","785.9","0.63 %","51,416.00"
"SARBTM","2024-04-29","790.1","795.1","780.1","781","-1.14 %","26,742.00"
"SARBTM","2024-04-28","800","800","786.1","790","0.51 %","27,398.00"
"SARBTM","2024-04-25","815.8","815.8","785","786","-1.74 %","29,537.00"
"SARBTM","2024-04-24","796.5","814","791","799.9","0.43 %","34,086.00"
"SARBTM","2024-04-22","830","833","796","796.5","-2.63 %","71,892.00"
"SARBTM","2024-04-21","765","826.2","755.3","818","6.54 %","99,476.00"
"SARBTM","2024-04-18","794","797","767.8","767.8","-3.90 %","67,132.00"
"SARBTM","2024-04-16","804","814","797","799","-0.62 %","57,174.00"
"SARBTM","2024-04-15","821","835","801","804","-2.07 %","47,047.00"
"SARBTM","2024-04-14","832","845","819.3","821","-3.07 %","68,974.00"
"SARBTM","2024-04-10","877.2","877.2","842","847","-1.51 %","67,378.00"
"SARBTM","2024-04-09","895","895","856","860","-2.38 %","73,522.00"
"SARBTM","2024-04-07","830","897","829.9","881","4.50 %","115,268.00"
"SARBTM","2024-04-04","888","888","843","843.1","-5.85 %","211,907.00"
"SARBTM","2024-04-03","925","930","895.2","895.5","-3.19 %","139,901.00"
"SARBTM","2024-04-02","959.8","959.8","911.5","925","-1.70 %","103,439.00"
"SARBTM","2024-04-01","955.1","970","882","941","-3.44 %","514,411.00"
"SARBTM","2024-03-31","1061.1","1061.1","974.5","974.5","-9.99 %","290,136.00"
"SARBTM","2024-03-28","1004.2","1083","1004.2","1082.7","9.96 %","178,925.00"
"SARBTM","2024-03-27","913","984.6","913","984.6","10.00 %","22,885.00"
"SARBTM","2024-03-26","830","895.1","830","895.1","9.99 %","28,753.00"
"SARBTM","2024-03-25","754.6","813.8","754.6","813.8","9.99 %","26,885.00"
"SARBTM","2024-03-21","686.1","739.9","686.1","739.9","9.99 %","7,395.00"
"SARBTM","2024-03-20","619.7","672.7","619.7","672.7","9.99 %","2,256.00"
"SARBTM","2024-03-19","556","611.6","556","611.6","0.00 %","2,442.00"
SARBTM,2025-01-08,760.00,770.00,748.00,762.50,1.80 %,"80,622.00"
SARBTM,2025-01-09,765.00,765.00,752.10,754.00,-1.11 %,"26,853.00"
SARBTM,2025-01-12,746.10,760.00,742.00,745.00,-1.19 %,"12,300.00"
SARBTM,2025-01-13,750.00,750.00,725.20,730.00,-2.01 %,"52,269.00"
SARBTM,2025-01-15,730.00,755.50,728.00,737.00,0.96 %,"17,739.00"
SARBTM,2025-01-16,751.00,765.00,724.60,744.00,0.95 %,"28,106.00"
SARBTM,2025-01-19,755.00,755.00,741.00,748.80,0.65 %,"16,123.00"
SARBTM,2025-01-20,763.00,766.00,745.00,758.00,1.23 %,"34,748.00"
SARBTM,2025-01-21,765.00,798.90,755.10,785.10,3.58 %,"124,017.00"
SARBTM,2025-01-22,800.80,800.80,782.00,786.50,0.18 %,"60,712.00"
SARBTM,2025-01-23,802.20,802.20,775.00,781.00,-0.70 %,"50,980.00"
SARBTM,2025-01-26,781.00,798.50,779.00,785.80,0.61 %,"42,364.00"
SARBTM,2025-01-27,795.00,825.00,770.00,775.00,-1.37 %,"83,302.00"
SARBTM,2025-01-28,788.00,788.00,770.00,781.00,0.77 %,"38,924.00"
SARBTM,2025-02-02,795.00,850.60,781.10,840.00,7.55 %,"133,147.00"
SARBTM,2025-02-03,840.00,856.80,822.00,835.00,-0.60 %,"60,247.00"
SARBTM,2025-02-04,840.00,850.00,815.00,819.90,-1.81 %,"40,719.00"
SARBTM,2025-02-05,835.00,835.00,790.00,813.00,-0.84 %,"94,047.00"
SARBTM,2025-02-06,828.00,828.00,794.00,806.00,-0.86 %,"41,760.00"
SARBTM,2025-02-09,822.10,853.00,793.10,809.80,0.47 %,"43,896.00"
SARBTM,2025-02-10,813.00,813.00,793.00,798.00,-1.46 %,"61,503.00"
SARBTM,2025-02-11,813.90,820.00,800.00,802.00,0.50 %,"71,402.00"
SARBTM,2025-02-12,815.00,815.00,795.00,796.10,-0.74 %,"41,949.00"
SARBTM,2025-02-13,780.20,813.90,780.20,792.00,-0.52 %,"37,800.00"
SARBTM,2025-02-16,807.00,830.00,793.00,804.90,1.63 %,"61,710.00"
SARBTM,2025-02-17,820.90,820.90,805.00,814.00,1.13 %,"47,393.00"
SARBTM,2025-02-18,820.00,843.00,820.00,835.00,2.58 %,"89,074.00"
